Puzzle Number,Algorithm,Heuristic,Length of the Solution,Length of the Search Path,Execution Time (in seconds)
16,UCS,N/A,No solution,2882,68.10092949867249
16,GBFS,h1,No solution,2882,47.53928780555725
16,GBFS,h2,No solution,2882,51.63229966163635
16,GBFS,h3,No solution,2882,49.451427936553955
16,GBFS,h4,No solution,2882,50.64945602416992
16,A/A*,h1,No solution,3321,65.59377813339233
16,A/A*,h2,No solution,3079,61.42970538139343
16,A/A*,h3,No solution,3629,78.06948184967041
16,A/A*,h4,No solution,3415,72.65583729743958
17,UCS,N/A,No solution,616,6.64820408821106
17,GBFS,h1,No solution,616,5.904565811157227
17,GBFS,h2,No solution,616,6.134763479232788
17,GBFS,h3,No solution,616,5.767949342727661
17,GBFS,h4,No solution,616,6.197317123413086
17,A/A*,h1,No solution,616,7.070566654205322
17,A/A*,h2,No solution,616,6.684735298156738
17,A/A*,h3,No solution,616,6.845373153686523
17,A/A*,h4,No solution,619,6.674226522445679
18,UCS,N/A,No solution,28,0.057048797607421875
18,GBFS,h1,No solution,28,0.05304574966430664
18,GBFS,h2,No solution,28,0.05454730987548828
18,GBFS,h3,No solution,28,0.05554699897766113
18,GBFS,h4,No solution,28,0.052043914794921875
18,A/A*,h1,No solution,28,0.05704903602600098
18,A/A*,h2,No solution,28,0.057048797607421875
18,A/A*,h3,No solution,28,0.06205272674560547
18,A/A*,h4,No solution,28,0.06805849075317383
19,UCS,N/A,2,23,0.15763497352600098
19,GBFS,h1,2,5,0.03152728080749512
19,GBFS,h2,2,8,0.05454730987548828
19,GBFS,h3,2,5,0.03553032875061035
19,GBFS,h4,2,5,0.03502988815307617
19,A/A*,h1,2,5,0.033529043197631836
19,A/A*,h2,2,8,0.060552358627319336
19,A/A*,h3,2,5,0.033528804779052734
19,A/A*,h4,2,5,0.033028602600097656
20,UCS,N/A,5,193,1.3001153469085693
20,GBFS,h1,5,23,0.14912796020507812
20,GBFS,h2,5,19,0.13361454010009766
20,GBFS,h3,5,12,0.07706594467163086
20,GBFS,h4,5,19,0.12360620498657227
20,A/A*,h1,5,19,0.1276097297668457
20,A/A*,h2,5,19,0.13811874389648438
20,A/A*,h3,5,12,0.07656478881835938
20,A/A*,h4,5,19,0.12961173057556152
21,UCS,N/A,4,307,6.503580331802368
21,GBFS,h1,4,31,0.3753221035003662
21,GBFS,h2,4,69,0.9523167610168457
21,GBFS,h3,4,12,0.12610840797424316
21,GBFS,h4,4,22,0.26122379302978516
21,A/A*,h1,4,19,0.22219061851501465
21,A/A*,h2,4,33,0.39383769035339355
21,A/A*,h3,4,12,0.1251075267791748
21,A/A*,h4,4,27,0.37181901931762695
22,UCS,N/A,5,52,0.3998429775238037
22,GBFS,h1,5,35,0.2727339267730713
22,GBFS,h2,5,53,0.397841215133667
22,GBFS,h3,5,27,0.2181870937347412
22,GBFS,h4,5,28,0.2086799144744873
22,A/A*,h1,5,35,0.2877469062805176
22,A/A*,h2,5,52,0.4298686981201172
22,A/A*,h3,5,27,0.2206895351409912
22,A/A*,h4,5,28,0.23770403861999512
23,UCS,N/A,5,206,1.1404786109924316
23,GBFS,h1,5,37,0.17715191841125488
23,GBFS,h2,5,38,0.18465828895568848
23,GBFS,h3,5,18,0.09558224678039551
23,GBFS,h4,5,28,0.15813517570495605
23,A/A*,h1,5,33,0.17615056037902832
23,A/A*,h2,5,47,0.28074073791503906
23,A/A*,h3,5,18,0.09658288955688477
23,A/A*,h4,5,26,0.14112091064453125
24,UCS,N/A,3,27,0.1276094913482666
24,GBFS,h1,3,8,0.0490422248840332
24,GBFS,h2,3,8,0.04703998565673828
24,GBFS,h3,3,8,0.047040700912475586
24,GBFS,h4,3,10,0.05905008316040039
24,A/A*,h1,3,8,0.05304574966430664
24,A/A*,h2,3,8,0.05104398727416992
24,A/A*,h3,3,8,0.05054330825805664
24,A/A*,h4,3,10,0.06455540657043457
25,UCS,N/A,7,920,13.642704963684082
25,GBFS,h1,7,274,2.5561933517456055
25,GBFS,h2,7,519,5.493712902069092
25,GBFS,h3,7,116,1.298614263534546
25,GBFS,h4,7,175,1.7980425357818604
25,A/A*,h1,7,254,2.837435007095337
25,A/A*,h2,7,283,2.8569514751434326
25,A/A*,h3,7,115,1.4037041664123535
25,A/A*,h4,7,155,1.7530038356781006
26,UCS,N/A,15,1620,12.867040157318115
26,GBFS,h1,15,1315,9.69882082939148
26,GBFS,h2,15,1451,10.146205425262451
26,GBFS,h3,16,1025,7.911287546157837
26,GBFS,h4,15,969,7.490426778793335
26,A/A*,h1,15,1352,12.077862977981567
26,A/A*,h2,17,1749,13.41500997543335
26,A/A*,h3,17,1270,11.08701229095459
26,A/A*,h4,17,1449,13.938458681106567
27,UCS,N/A,14,727,6.5681352615356445
27,GBFS,h1,14,659,6.004151344299316
27,GBFS,h2,14,657,6.198317766189575
27,GBFS,h3,14,572,5.436664342880249
27,GBFS,h4,14,608,6.157783031463623
27,A/A*,h1,14,694,7.015519380569458
27,A/A*,h2,14,686,6.7733118534088135
27,A/A*,h3,14,641,7.03803825378418
27,A/A*,h4,15,717,7.113102674484253
28,UCS,N/A,No solution,1169,16.33551573753357
28,GBFS,h1,No solution,1169,13.776319742202759
28,GBFS,h2,No solution,1169,13.631695747375488
28,GBFS,h3,No solution,1169,14.024033069610596
28,GBFS,h4,No solution,1169,13.832868099212646
28,A/A*,h1,No solution,1368,18.349743843078613
28,A/A*,h2,No solution,1330,18.374765157699585
28,A/A*,h3,No solution,1526,22.451762914657593
28,A/A*,h4,No solution,1460,19.77646780014038
29,UCS,N/A,2,111,2.6132423877716064
29,GBFS,h1,2,5,0.04954266548156738
29,GBFS,h2,2,8,0.09458088874816895
29,GBFS,h3,2,5,0.04904294013977051
29,GBFS,h4,2,8,0.09157896041870117
29,A/A*,h1,2,5,0.058049917221069336
29,A/A*,h2,2,8,0.08857607841491699
29,A/A*,h3,2,5,0.047541141510009766
29,A/A*,h4,2,8,0.09758329391479492
30,UCS,N/A,5,722,20.786834001541138
30,GBFS,h1,5,106,2.134330987930298
30,GBFS,h2,5,357,7.886766195297241
30,GBFS,h3,5,38,0.6590654850006104
30,GBFS,h4,5,68,1.2040331363677979
30,A/A*,h1,5,73,1.5353169441223145
30,A/A*,h2,5,337,8.652924299240112
30,A/A*,h3,5,38,0.7426366806030273
30,A/A*,h4,5,62,1.2365610599517822
31,UCS,N/A,No solution,648,6.401992559432983
31,GBFS,h1,No solution,648,6.167291641235352
31,GBFS,h2,No solution,648,6.026170253753662
31,GBFS,h3,No solution,648,6.121251821517944
31,GBFS,h4,No solution,648,6.059699058532715
31,A/A*,h1,No solution,754,7.651564836502075
31,A/A*,h2,No solution,710,7.282748222351074
31,A/A*,h3,No solution,789,8.024384260177612
31,A/A*,h4,No solution,760,7.906283855438232
32,UCS,N/A,15,3106,57.549376487731934
32,GBFS,h1,15,1308,13.125261545181274
32,GBFS,h2,15,1335,13.503085374832153
32,GBFS,h3,15,1285,13.56313681602478
32,GBFS,h4,16,1146,12.178948879241943
32,A/A*,h1,15,1341,15.544336795806885
32,A/A*,h2,15,1379,15.627408504486084
32,A/A*,h3,15,1280,15.185528755187988
32,A/A*,h4,16,1158,13.913437604904175
33,UCS,N/A,5,1132,34.33395767211914
33,GBFS,h1,5,34,0.4538898468017578
33,GBFS,h2,5,53,0.7616531848907471
33,GBFS,h3,6,12,0.1351158618927002
33,GBFS,h4,5,14,0.16364002227783203
33,A/A*,h1,5,26,0.341292142868042
33,A/A*,h2,5,52,0.8232059478759766
33,A/A*,h3,6,12,0.14762663841247559
33,A/A*,h4,5,11,0.15012860298156738
34,UCS,N/A,4,232,2.504148483276367
34,GBFS,h1,4,11,0.08557319641113281
34,GBFS,h2,4,42,0.32728099822998047
34,GBFS,h3,4,9,0.07256221771240234
34,GBFS,h4,4,25,0.20267367362976074
34,A/A*,h1,4,9,0.0760650634765625
34,A/A*,h2,5,85,0.9242923259735107
34,A/A*,h3,4,9,0.07956862449645996
34,A/A*,h4,4,21,0.21918797492980957
35,UCS,N/A,7,4182,310.37980031967163
35,GBFS,h1,7,649,14.260235071182251
35,GBFS,h2,7,1093,31.50453019142151
35,GBFS,h3,7,329,7.259728908538818
35,GBFS,h4,7,335,6.240854263305664
35,A/A*,h1,7,399,9.04826307296753
35,A/A*,h2,7,803,21.9543354511261
35,A/A*,h3,8,650,20.39699959754944
35,A/A*,h4,7,446,11.7235586643219
36,UCS,N/A,No solution,394,4.750576019287109
36,GBFS,h1,No solution,394,4.690524339675903
36,GBFS,h2,No solution,394,4.6825172901153564
36,GBFS,h3,No solution,394,4.710041522979736
36,GBFS,h4,No solution,394,4.70403528213501
36,A/A*,h1,No solution,430,5.407640218734741
36,A/A*,h2,No solution,403,5.039823770523071
36,A/A*,h3,No solution,457,5.831503391265869
36,A/A*,h4,No solution,443,5.645343542098999
37,UCS,N/A,8,666,7.058055877685547
37,GBFS,h1,8,126,0.9543187618255615
37,GBFS,h2,8,155,1.359166145324707
37,GBFS,h3,8,92,0.7081079483032227
37,GBFS,h4,8,77,0.6050193309783936
37,A/A*,h1,8,127,1.0909361839294434
37,A/A*,h2,8,178,1.7314856052398682
37,A/A*,h3,8,86,0.7151131629943848
37,A/A*,h4,9,90,0.7871749401092529
38,UCS,N/A,9,8557,532.9112279415131
38,GBFS,h1,9,1504,46.51190662384033
38,GBFS,h2,9,2581,106.19661474227905
38,GBFS,h3,9,532,12.567783117294312
38,GBFS,h4,10,952,27.799352169036865
38,A/A*,h1,9,775,21.89078164100647
38,A/A*,h2,9,1591,61.92613172531128
38,A/A*,h3,9,528,15.177021503448486
38,A/A*,h4,10,885,33.572304487228394
39,UCS,N/A,3,80,0.735131025314331
39,GBFS,h1,3,13,0.1150979995727539
39,GBFS,h2,3,13,0.11259651184082031
39,GBFS,h3,3,13,0.11559867858886719
39,GBFS,h4,3,18,0.15763545036315918
39,A/A*,h1,3,13,0.12811017036437988
