9 0 9	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
7 1 6	BB....CCC.U..AA.UG.FFKUG...K.GEEEKTT K97 
8 2 6	.BB...CCC.U..AA.UG.FFKUG...K.GEEEKTT B99 K97 
8 2 6	..BB..CCC.U..AA.UG.FFKUG...K.GEEEKTT B98 K97 
8 2 6	...BB.CCC.U..AA.UG.FFKUG...K.GEEEKTT B97 K97 
8 2 6	BB....CCC.U..AA.UGFF.KUG...K.GEEEKTT K97 F99 
8 2 6	....BBCCC.U..AA.UG.FFKUG...K.GEEEKTT B96 K97 
8 2 6	BB....CCC.U.AA..UG.FFKUG...K.GEEEKTT K97 A99 
8 2 6	BB....CCC.UG.AA.UG.FFKUG...K..EEEKTT K97 G99 
8 2 6	BB...GCCC.UG.AA.UG.FFKU....K..EEEKTT K97 G98 
8 2 6	BB....CCC.U...AAUG.FFKUG...K.GEEEKTT K97 A99 
8 2 6	BB.....CCCU..AA.UG.FFKUG...K.GEEEKTT K97 C99 
8 2 6	BB....CCC....AA.UG.FFKUG...KUGEEEKTT K97 U99 
8 2 6	BB..U.CCC.U..AA.UG.FFK.G...K.GEEEKTT K97 U99 
9 3 6	.BB...CCC.U...AAUG.FFKUG...K.GEEEKTT B99 K97 A99 
9 3 6	.BB..GCCC.UG.AA.UG.FFKU....K..EEEKTT B99 K97 G98 
9 3 6	.BB...CCC.U..AA.UGFF.KUG...K.GEEEKTT B99 K97 F99 
9 3 6	....BBCCC.U...AAUG.FFKUG...K.GEEEKTT B96 K97 A99 
9 3 6	....BBCCC.UG.AA.UG.FFKUG...K..EEEKTT B96 K97 G99 
9 3 6	....BBCCC....AA.UG.FFKUG...KUGEEEKTT B96 K97 U99 
9 3 6	....BBCCC.U.AA..UG.FFKUG...K.GEEEKTT B96 K97 A99 
9 3 6	.BB...CCC.UG.AA.UG.FFKUG...K..EEEKTT B99 K97 G99 
9 3 6	....BB.CCCU..AA.UG.FFKUG...K.GEEEKTT B96 K97 C99 
9 3 6	BB....CCC.UG.AA.UGFF.KUG...K..EEEKTT K97 G99 F99 
9 3 6	BB...GCCC.UG.AA.UGFF.KU....K..EEEKTT K97 G98 F99 
9 3 6	.BB.U.CCC.U..AA.UG.FFK.G...K.GEEEKTT B99 K97 U99 
9 3 6	.BB...CCC.U.AA..UG.FFKUG...K.GEEEKTT B99 K97 A99 
9 3 6	BB....CCC.U.AA..UGFF.KUG...K.GEEEKTT K97 A99 F99 
9 3 6	BB....CCC.U...AAUGFF.KUG...K.GEEEKTT K97 A99 F99 
9 3 6	BB....CCC....AA.UGFF.KUG...KUGEEEKTT K97 U99 F99 
9 3 6	BB..U.CCC.U..AA.UGFF.K.G...K.GEEEKTT K97 U99 F99 
9 3 6	.BB....CCCU..AA.UG.FFKUG...K.GEEEKTT B99 K97 C99 
9 3 6	.BB...CCC....AA.UG.FFKUG...KUGEEEKTT B99 K97 U99 
9 3 6	BB.....CCCU..AA.UGFF.KUG...K.GEEEKTT K97 C99 F99 
9 3 6	....BBCCC.U..AA.UGFF.KUG...K.GEEEKTT B96 K97 F99 
9 3 6	...BB.CCC.U..AA.UGFF.KUG...K.GEEEKTT B97 K97 F99 
9 3 6	...BBGCCC.UG.AA.UG.FFKU....K..EEEKTT B97 K97 G98 
