4 3 1	OO.TTFYIIIPFYAA.P.MCCDD.M.UUUL.KKEEL O99 F99 U99 
4 3 1	OOTT.FYIIIPFYAA.P.MCCDD.MUUU.L.KKEEL O99 T99 F99 
4 2 2	YOOTT.YIIIP..AA.PFMCCDDFMUUU.L.KKEEL Y99 F99 
4 4 0	OOTTPFYIIIPFYAA...MCCDD.MUUU.L.KKEEL O99 T99 F99 P99 
4 2 2	.OOTT.YIIIPFYAA.PFMCCDD.M.UUULKK.EEL U99 K99 
4 2 2	.OO.TTYIIIPFYAA.PFMCCDD.M.UUUL.KKEEL T99 U99 
4 2 2	.OO.TTYIIIPFYAA.PFMCC.DDMUUU.L.KKEEL T99 D99 
4 2 2	.OOTT.YIIIPFYAA.PFMCC.DDMUUU.LKK.EEL D99 K99 
4 2 2	.OO.TTYIIIP.YAA.PFMCCDDFMUUU.L.KKEEL T99 F99 
4 2 2	..OOTTYIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 T99 
4 2 2	YOO.TTYIIIPF.AA.PFMCCDD.MUUU.L.KKEEL T99 Y99 
4 2 2	.OOTT.YIIIPFY.AAPFMCCDD.MUUU.LKK.EEL A99 K99 
4 2 2	OO.TT.YIIIPFYAA.PFMCCDD.M.UUUL.KKEEL O99 U99 
4 2 2	.OO.TTYIIIPFYAA.PFMCCDDLMUUU.L.KKEE. T99 L99 
4 2 2	.OOTT.YIIIPFYAA.PFMCC.DDM.UUUL.KKEEL D99 U99 
4 2 2	OO.TT.YIIIPFYAA.PFMCC.DDMUUU.L.KKEEL O99 D99 
4 2 2	.OOTT.YIIIP.YAA.PFMCCDDFMUUU.LKK.EEL F99 K99 
4 2 2	OO.TT.YIIIP.YAA.PFMCCDDFMUUU.L.KKEEL O99 F99 
4 2 2	OO..TTYIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 T99 
4 2 2	.OOTTFYIIIPFYAA.PLMCCDDLMUUU...KKEE. F99 L98 
4 2 2	.OO.TTYIIIPFYAA.PFMCCDD.MUUU.LKK.EEL T99 K99 
4 2 2	OOTT..YIIIPFYAA.PFMCCDD.MUUU.L.KKEEL O99 T99 
4 3 1	YOOTTFYIIIPF.AA.P.MCCDDLMUUU.L.KKEE. Y99 F99 L99 
4 2 2	OO.TT.YIIIPFYAA.PFMCCDD.MUUU.LKK.EEL O99 K99 
4 3 1	YOOTTFYIIIPF.AA.P.MCCDD.M.UUUL.KKEEL Y99 F99 U99 
4 3 1	YOOTTFYIIIPFMAA.P.MCCDD..UUU.L.KKEEL Y99 F99 M99 
4 2 2	.OOTT.YIIIPFYAA.PF.CCDD.M.UUULMKKEEL M99 U99 
4 3 1	YOOTTFYIIIPFAA..P.MCCDD.MUUU.L.KKEEL Y99 F99 A99 
4 3 1	.OOTTFYIIIPFY.AAP.MCCDDLMUUU.L.KKEE. F99 A99 L99 
4 2 2	.OOTT.YIIIP.YAA.PFMCCDDFM.UUUL.KKEEL F99 U99 
4 2 2	.OOTT.YIIIPFYAA.PF.CC.DDMUUU.LMKKEEL M99 D99 
4 3 1	.OOTTFYIIIPFY.AAP.MCCDD.M.UUUL.KKEEL F99 A99 U99 
4 3 1	YOOTTFYIIIPF..AAP.MCCDD.MUUU.L.KKEEL Y99 F99 A99 
4 2 2	.OOTT.YIIIPFYAA.PFCC.DD.MUUU.LMKKEEL M99 C99 
4 3 1	OO.TTFYIIIPFY.AAP.MCCDD.MUUU.L.KKEEL O99 F99 A99 
4 2 2	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.L.KK.EE L99 E99 
4 2 2	.OOTT.YIIIPFY.AAPFMCCDD.M.UUUL.KKEEL A99 U99 
4 2 2	.OOTT.YIIIPFY.AAPF.CCDD.MUUU.LMKKEEL A99 M99 
4 2 2	.OOTT.YIIIPFY.AAPFMCC.DDMUUU.L.KKEEL A99 D99 
4 2 2	.OOTT.YIIIP.Y.AAPFMCCDDFMUUU.L.KKEEL F99 A99 
5 3 2	.OOTTFYIIIPFYAA.PLMCCDDLM.UUU..KKEE. F99 U99 L98 
5 3 2	.OOTT.YIIIP.YAA.PF.CCDDFM.UUULMKKEEL F99 M99 U99 
5 4 1	.OOTTFYIIIPFYAA.P.MCCDDLM.UUUL.KK.EE F99 U99 L99 E99 
5 3 2	YOOTT.YIIIPFMAA.PFMCCDD.UUU..L.KKEEL Y99 M99 U99 
5 4 1	OOTT.FYIIIPFY.AAP.MCCDD.MUUU.L.KKEEL O99 T99 F99 A99 
5 5 0	OOTTPFYIIIPFY.AA..MCCDD.MUUU.L.KKEEL O99 T99 F99 P99 A99 
5 3 2	YOO.TTYIIIP..AA.PFMCCDDFMUUU.L.KKEEL T99 Y99 F99 
5 4 1	YOOTTFYIIIPFM.AAP.MCCDD..UUU.L.KKEEL Y99 F99 A99 M99 
5 4 1	.OOTTFYIIIPFYAA.P.MCCDDLMUUU.L..KKEE F99 L99 K99 E99 
5 3 2	YOOTT.YIIIPF.AA.PFMCCDD.MUUU.LKKEE.L Y99 K99 E99 
5 4 1	.OOTTFYIIIPFYAA.P..CCDDLMUUU.LMKK.EE F99 M99 L99 E99 
5 4 1	.OOTTFYIIIPFY.AAP.MCCDDLMUUU.L.KK.EE F99 A99 L99 E99 
5 4 1	OO.TTFYIIIPFY.AAP.MCCDD.M.UUUL.KKEEL O99 F99 A99 U99 
5 3 2	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.LKKEE.. L99 K99 E99 
5 3 2	.OOTT.YIIIPFY.AAPFMCCDDLMUUU.L.KK.EE A99 L99 E99 
5 4 1	YOOTTFYIIIPF.AA.P.MCCDDLMUUU.L.KK.EE Y99 F99 L99 E99 
5 4 1	OOTT.FYIIIPFYAA.P.MCCDD.M.UUUL.KKEEL O99 T99 F99 U99 
5 3 2	.OO.TTYIIIPFYAA.PFMCCDDLMUUU.LKK.EE. T99 L99 K99 
5 4 1	OO.TTFYIIIPFYAA.P.MCCDDLMUUU.L.KK.EE O99 F99 L99 E99 
5 3 2	.OOTT.YIIIPFYAA.PFMCCDDLM.UUULKK.EE. U99 L99 K99 
5 3 2	.OO.TTYIIIPFYAA.PFMCCDDLM.UUUL.KKEE. T99 U99 L99 
5 3 2	.OO.TTYIIIPFY.AAPFMCCDD.MUUU.LKK.EEL T99 A99 K99 
5 3 2	.OOTT.YIIIPFY.AAPFMCCDDLMUUU.LKK.EE. A99 L99 K99 
5 4 1	OOTT.FYIIIPFYAA.P.MCCDDLMUUU.L.KKEE. O99 T99 F99 L99 
5 3 2	YOO.TTYIIIPFAA..PFMCCDD.MUUU.L.KKEEL T99 Y99 A99 
5 3 2	.OOTT.YIIIPFY.AAPFMCCDDLM.UUUL.KKEE. A99 U99 L99 
5 4 1	YOOTTFYIIIPF.AA.P.MCCDDLM.UUUL.KKEE. Y99 F99 U99 L99 
5 4 1	OO.TTFYIIIPFYAA.P.MCCDDLM.UUUL.KKEE. O99 F99 L99 U99 
5 3 2	.OOTT.YIIIPFY.AAPF.CCDDLMUUU.LMKKEE. A99 M99 L99 
5 3 2	OO.TT.YIIIPFY.AAPFMCCDD.MUUU.LKK.EEL O99 A99 K99 
5 4 1	.OOTTFYIIIPFYAA.P..CCDDLM.UUULMKKEE. F99 M99 U99 L99 
5 3 2	.OOTT.YIIIPFYAA.PFM.CCDDMUUU.LKK.EEL C99 D99 K99 
5 4 1	YOOTTFYIIIPFAA..P.MCC.DDMUUU.L.KKEEL Y99 F99 A99 D99 
5 4 1	OO.TTFYIIIPFY.AAP.MCC.DDMUUU.L.KKEEL O99 F99 A99 D99 
5 3 2	YOOTT.YIIIPF..AAPFMCCDDLMUUU.L.KKEE. Y99 A99 L99 
5 3 2	.OOTT.YIIIPFYAA.PFM.CCDDM.UUUL.KKEEL C99 D99 U99 
5 3 2	.OOTT.YIIIPFYAA.PF..CCDDMUUU.LMKKEEL M99 C99 D99 
5 3 2	OO.TT.YIIIPFY.AAPFMCCDDLMUUU.L.KKEE. O99 A99 L99 
5 3 2	.OOTT..IIIPFYAA.PFYCCDDLMUUU.LMKKEE. Y99 M99 L99 
5 3 2	.OOTT.YIIIPFY.AAPFM.CCDDMUUU.L.KKEEL A99 C99 D99 
5 3 2	.OO.TTYIIIPFYAA.PFM.CCDDMUUU.L.KKEEL T99 C99 D99 
5 3 2	.OO.TTYIIIPFY.AAPFMCCDDLMUUU.L.KKEE. T99 A99 L99 
5 3 2	OO.TT.YIIIPFYAA.PFM.CCDDMUUU.L.KKEEL O99 C99 D99 
5 3 2	OO.TT.YIIIPFYAA.PFMCCDDLMUUU.LKK.EE. O99 L99 K99 
5 3 2	.OO.TTYIIIPFY.AAPFMCCDD.M.UUUL.KKEEL T99 A99 U99 
5 3 2	.OO.TTYIIIPFY.AAPFMCC.DDMUUU.L.KKEEL T99 A99 D99 
5 4 1	.OOTTFYIIIPFYAA.P...CCDDMUUU.LMKKEEL F99 M99 C99 D99 
5 3 2	OO.TT.YIIIPFYAA.PFMCCDDLM.UUUL.KKEE. O99 U99 L99 
5 3 2	OO..TTYIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 T99 L99 
5 3 2	.OOTT.YIIIPFYAA.PF.CCDDLMUUU.LMKK.EE M99 L99 E99 
5 3 2	OOTT..YIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 T99 L99 
5 4 1	YOOTTFYIIIPF.AA.P.M.CCDDMUUU.L.KKEEL Y99 F99 C99 D99 
5 3 2	.OO.TTYIIIPFY.AAPF.CCDD.MUUU.LMKKEEL T99 A99 M99 
5 3 2	.OO.TTYIIIPFYAA.PF.CCDDLMUUU.LMKKEE. T99 M99 L99 
5 4 1	OO.TTFYIIIPFYAA.P.M.CCDDMUUU.L.KKEEL O99 F99 C99 D99 
5 3 2	YOOTT.YIIIPF..AAPF.CCDD.MUUU.LMKKEEL Y99 A99 M99 
5 3 2	.OO.TTYIIIP.Y.AAPFMCCDDFMUUU.L.KKEEL T99 F99 A99 
5 4 1	OOTTP.YIIIPFYAA..FMCCDDLMUUU.L.KKEE. O99 T99 P99 L99 
5 3 2	YOOTT.YIIIPFAA..PF.CCDD.MUUU.LMKKEEL Y99 A99 M99 
5 4 1	.OOTTFYIIIPFY.AAP.MCC.DDM.UUUL.KKEEL F99 A99 D99 U99 
5 3 2	.OOTTFYIIIPFYAA.PL.CCDDLMUUU..MKKEE. F99 M99 L98 
5 3 2	YOO.TTYIIIPF..AAPFMCCDD.MUUU.L.KKEEL T99 Y99 A99 
5 3 2	OO.TT.YIIIPFYAA.PF.CCDD.M.UUULMKKEEL O99 M99 U99 
5 4 1	.OOTTFYIIIPFYAA.P.MCC.DDMUUU.LKKEE.L F99 D99 K99 E99 
5 4 1	OO.TTFYIIIPFYAA.P.MCC.DDM.UUUL.KKEEL O99 F99 D99 U99 
5 4 1	YOOTTFYIIIPF.AA.P.MCC.DDM.UUUL.KKEEL Y99 F99 D99 U99 
5 3 2	..OOTTYIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 T99 A99 
5 4 1	OOTT.FYIIIPFYAA.P.MCCDD.MUUU.LKK.EEL O99 T99 F99 K99 
5 3 2	.OOTTFYIIIPFYAA.PLMCCDDLMUUU..KK.EE. F99 L98 K99 
5 3 2	OO..TTYIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 T99 A99 
5 3 2	YOOTT.YIIIPFM.AAPFMCCDD..UUU.L.KKEEL Y99 A99 M99 
5 3 2	YOOTT.YIIIP.MAA.PFMCCDDF.UUU.L.KKEEL Y99 F99 M99 
5 3 2	.OOTT.YIIIPFYAA.PFMCCDD.M.UUULKKEE.L U99 K99 E99 
5 3 2	YOO.TTYIIIPFMAA.PFMCCDD..UUU.L.KKEEL T99 Y99 M99 
5 4 1	YOOTTFYIIIPFMAA.P.MCCDD..UUU.LKK.EEL Y99 F99 M99 K99 
5 3 2	.OOTT.YIIIPFYAA.PFMCC.DDMUUU.LKKEE.L D99 K99 E99 
5 3 2	.OOTT.YIIIPFY.AAPFMCCDD.MUUU.LKKEE.L A99 K99 E99 
5 4 1	YOOTTFYIIIPF.AA.P.MCCDD.MUUU.LKKEE.L Y99 F99 K99 E99 
5 4 1	YOOTTFYIIIPFAA..P.MCCDD.MUUU.LKK.EEL Y99 F99 A99 K99 
