3 3 0	.T.YYY.THHHDAAFFFDGGGG.DR.BBB.R...EE H99 D99 E97 
3 3 0	.T.YYY.THHH.AAFFFDRGGGGDR.BBBD.EE... H99 G99 R99 
3 3 0	.T.YYY.THHH.AAFFFD.GGGGDRBBB.DREE... H99 G99 B99 
3 3 0	.T.YYY.THHH.AAFFFD.GGGGDR.BBBDR.EE.. H99 G99 E99 
3 3 0	.T.YYY.THHH.AAFFFD.GGGGDR.BBBDR..EE. H99 G99 E98 
3 3 0	.T.YYY.THHH.AAFFFD.GGGGDR.BBBDR...EE H99 G99 E97 
3 3 0	.T.YYY.THHH.AAFFFDGGGG.DRBBB.DR.EE.. H99 B99 E99 
3 3 0	.T.YYY.THHH.AAFFFDGGGG.DRBBB.DR..EE. H99 B99 E98 
3 3 0	.T.YYY.THHH.AAFFFDGGGG.DRBBB.DR...EE H99 B99 E97 
3 3 0	.T.YYY.T.HHH.AA...GGGG.DR.BBBDREE..D A99 F99 D99 
3 3 0	.T.YYY.T.HHH..AA..GGGG.DR.BBBDREE..D A98 F99 D99 
3 3 0	.T.YYY.T.HHH...AA.GGGG.DR.BBBDREE..D A97 F99 D99 
3 3 0	.T.YYY.T.HHH....AAGGGG.DR.BBBDREE..D A96 F99 D99 
