0 0 0	...BYYGGGBS..AACS.F..C..F..CPPF.DDOO 
5 5 0	..YYS.GGGBS..AAB..F..C..F..CPPFDDCOO Y98 B99 S99 C99 D99 
5 5 0	.YYB..GGGBS..AA.S.F..C..F..CPPFDDCOO Y97 B98 C99 D99 
5 5 0	.YY.S.GGGBS..AAB..F..C..F..CPPFDDCOO Y97 B99 S99 C99 D99 
5 5 0	YY.B..GGGBS..AA.S.F..C..F..CPPFDDCOO Y96 B98 C99 D99 
5 5 0	YY..S.GGGBS..AAB..F..C..F..CPPFDDCOO Y96 B99 S99 C99 D99 
6 6 0	...YY.GGGB..AA.BS.F..CS.F..CPPFDDCOO Y99 B99 A99 S99 C99 D99 
6 6 0	..YY..GGGB..AA.BS.F..CS.F..CPPFDDCOO Y98 B99 A99 S99 C99 D99 
6 6 0	.YY...GGGB..AA.BS.F..CS.F..CPPFDDCOO Y97 B99 A99 S99 C99 D99 
6 6 0	YY....GGGB..AA.BS.F..CS.F..CPPFDDCOO Y96 B99 A99 S99 C99 D99 
6 6 0	...YY.GGGB..FAABS.F..CS.F..CPP.DDCOO Y99 B99 F99 S99 C99 D99 
6 6 0	..YY..GGGB..FAABS.F..CS.F..CPP.DDCOO Y98 B99 F99 S99 C99 D99 
6 6 0	.YY...GGGB..FAABS.F..CS.F..CPP.DDCOO Y97 B99 F99 S99 C99 D99 
6 6 0	YY....GGGB..FAABS.F..CS.F..CPP.DDCOO Y96 B99 F99 S99 C99 D99 
6 6 0	...YY.GGGB..FAABS.F..CS.F..CPPDD.COO Y99 B99 F99 S99 C99 D98 
6 6 0	..YY..GGGB..FAABS.F..CS.F..CPPDD.COO Y98 B99 F99 S99 C99 D98 
6 6 0	.YY...GGGB..FAABS.F..CS.F..CPPDD.COO Y97 B99 F99 S99 C99 D98 
6 6 0	YY....GGGB..FAABS.F..CS.F..CPPDD.COO Y96 B99 F99 S99 C99 D98 
6 6 0	.YYB..GGGB...AA.S.F..CS.F..CPPFDDCOO Y97 B98 S99 C99 D99 
6 6 0	YY.B..GGGB...AA.S.F..CS.F..CPPFDDCOO Y96 B98 S99 C99 D99 
6 6 0	..YYS.GGGBS.AA.B..F..C..F..CPPFDDCOO Y98 B99 S99 A99 C99 D99 
6 6 0	.YYB..GGGBS.AA..S.F..C..F..CPPFDDCOO Y97 B98 A99 C99 D99 
6 6 0	.YY.S.GGGBS.AA.B..F..C..F..CPPFDDCOO Y97 B99 S99 A99 C99 D99 
