3 3 0	...HHYC....YCFAADECFR.DE..RITTBB.IPP C99 H98 R99 
3 3 0	...HHYC....YCFAADECF.IDE..RITTBBR.PP C99 H98 I99 
3 3 0	.HH..YC....YCAA.DECF..DE.FRITTBBRIPP C99 F99 A99 
3 3 0	.HH..YC...DYC.AADECF...E.FRITTBBRIPP C99 F99 D99 
3 3 0	.HH.DYC...DYC.AA.ECF...E.FRITTBBRIPP C99 F99 D98 
3 3 0	.HH..YC....YC.AADECFR.DE.FRITTBB.IPP C99 F99 R99 
3 3 0	.HH..YC....YC.AADECF.IDE.FRITTBBR.PP C99 F99 I99 
3 3 0	.HH..YCF..DYCFAADEC....E..RITTBBRIPP C99 F99 D99 
3 3 0	.HH.DYCF..DYCFAA.EC....E..RITTBBRIPP C99 F99 D98 
3 3 0	.HH..YCF...YCFAADEC.R.DE..RITTBB.IPP C99 F99 R99 
3 3 0	.HH..YCF...YCFAADEC..IDE..RITTBBR.PP C99 F99 I99 
3 3 0	.HH..YC...DYCFAADECFR..E..RITTBB.IPP C99 D99 R99 
3 3 0	.HH..YC...DYCFAADECF.I.E..RITTBBR.PP C99 D99 I99 
3 3 0	.HH.DYC...DYCF.AAECF...E..RITTBBRIPP C99 A99 D98 
3 3 0	.HH.DYC...DYCFAA.ECFR..E..RITTBB.IPP C99 D98 R99 
3 3 0	.HH.DYC...DYCFAA.ECF.I.E..RITTBBR.PP C99 D98 I99 
3 3 0	.HH..YC....YCFAADECFRIDE..RITTBB..PP C99 R99 I99 
3 3 0	.HH..YC....YCFAADECFR.DE..RITT.BBIPP C99 R99 B99 
3 3 0	.HH..YC....YCFAADECF.IDE..RITTBBRPP. C99 I99 P99 
3 3 0	HH...Y.....YC.AADECF..DECFRITTBBRIPP H99 C98 F99 
3 3 0	HH...Y.F...YCFAADEC...DEC.RITTBBRIPP H99 C98 F99 
3 3 0	HH...Y....DYCFAADECF...EC.RITTBBRIPP H99 C98 D99 
3 3 0	HH..DY....DYCFAA.ECF...EC.RITTBBRIPP H99 C98 D98 
3 3 0	HH...Y.....YCFAADECFR.DEC.RITTBB.IPP H99 C98 R99 
3 3 0	HH...Y.....YCFAADECF.IDEC.RITTBBR.PP H99 C98 I99 
3 3 0	..HH.Y.....YC.AADECF..DECFRITTBBRIPP C98 H99 F99 
3 3 0	..HH.Y.F...YCFAADEC...DEC.RITTBBRIPP C98 H99 F99 
3 3 0	.FHH.Y.F...YC.AADEC...DEC.RITTBBRIPP C98 H99 F98 
3 3 0	..HH.Y....DYCFAADECF...EC.RITTBBRIPP C98 H99 D99 
3 3 0	..HHDY....DYCFAA.ECF...EC.RITTBBRIPP C98 H99 D98 
3 3 0	..HH.Y.....YCFAADECFR.DEC.RITTBB.IPP C98 H99 R99 
3 3 0	..HH.Y.....YCFAADECF.IDEC.RITTBBR.PP C98 H99 I99 
3 3 0	...HHY.....YC.AADECF..DECFRITTBBRIPP C98 H98 F99 
3 3 0	...HHY.F...YCFAADEC...DEC.RITTBBRIPP C98 H98 F99 
