3 3 0	FFFEED...RODUAARO.U.BBBJIII..J.TT... U99 J99 T97 
3 3 0	FFFEED...RODUAARO.U.BBBJIII..JTT.... U99 J99 T96 
3 3 0	FFFEED...R.DUAAROJUBBBOJIII.......TT U99 O99 B99 
3 3 0	FFFEED...R.DUAAR.JUBBBOJIII.O.....TT U99 O98 B99 
3 3 0	FFFEED...RODUAAROJUBBB.J.III......TT U99 B99 I99 
3 3 0	FFFEED...RODUAAROJUBBB.J..III.....TT U99 B99 I98 
3 3 0	FFFEED...RODUAAROJUBBB.J...III....TT U99 B99 I97 
3 3 0	FFFEED...RODUAAROJUBBB.JIII......TT. U99 B99 T99 
3 3 0	FFFEED...RODUAAROJUBBB.JIII.....TT.. U99 B99 T98 
3 3 0	FFFEED...RODUAAROJUBBB.JIII....TT... U99 B99 T97 
3 3 0	FFFEED...RODUAAROJUBBB.JIII...TT.... U99 B99 T96 
3 3 0	FFFEED...RODUAAROJU.BBBJ.III.....TT. U99 I99 T99 
3 3 0	FFFEED...RODUAAROJU.BBBJ.III....TT.. U99 I99 T98 
3 3 0	FFFEED...RODUAAROJU.BBBJ.III...TT... U99 I99 T97 
3 3 0	FFFEED...RODUAAROJU.BBBJ.III..TT.... U99 I99 T96 
3 3 0	FFFEED...RODUAAROJU.BBBJ..III....TT. U99 I98 T99 
3 3 0	FFFEED...RODUAAROJU.BBBJ..III...TT.. U99 I98 T98 
3 3 0	FFFEED...RODUAAROJU.BBBJ..III..TT... U99 I98 T97 
3 3 0	FFFEED...RODUAAROJU.BBBJ..III.TT.... U99 I98 T96 
3 3 0	FFFEED...RODUAAROJU.BBBJ...III...TT. U99 I97 T99 
3 3 0	FFFEED...RODUAAROJU.BBBJ...III..TT.. U99 I97 T98 
3 3 0	FFFEED...RODUAAROJU.BBBJ...III.TT... U99 I97 T97 
3 3 0	FFFEED...RODUAAROJU.BBBJ...IIITT.... U99 I97 T96 
3 3 0	FFFEED...RODUAARO.U.BBB.III..J...TTJ U99 J98 T99 
3 3 0	FFFEED...RODUAARO.U.BBB.III..J..TT.J U99 J98 T98 
3 3 0	FFFEED...RODUAARO.U.BBB.III..J.TT..J U99 J98 T97 
