6 3 3	..D.....D.B.AADGB....GB.ECCG..E..FF. B98 F97 
6 4 2	..DG....DG..AADG..E...B.E.CCB.FF..B. G98 E99 C99 F98 
6 3 3	..DGB...DGB.AADGB.......ECC...E...FF G98 B97 F98 
6 3 3	....B...D.B.AADGB.E.DG..ECCG....FF.. D99 B97 E99 
6 3 3	..D.B...DGB.AADGB....G..ECC...E...FF G99 B97 F98 
6 3 3	........D.B.AADGB.E.DGB.ECCG....FF.. D99 B98 E99 
6 3 3	....B...D.B.AADGB...DG..ECCG..E...FF D99 B97 F98 
6 4 2	..D.....DG..AADG..E..GB.E.CCB..FF.B. G99 E99 C99 F99 
6 4 2	...G....DG..AADG..E.D.B.E.CCB...FFB. D99 G98 E99 C99 
6 3 3	..D.B...D.B.AADGB.E..G..ECCG.....FF. B97 E99 F99 
6 4 2	........DG..AADG....DGB.E.CCB.EFF.B. D99 G99 C99 F99 
6 4 2	........DG..AADG....DGB.ECC.B.E.FFB. D99 G99 C98 
6 3 3	..DG....DG..AADGB.....B.ECC.B.E..FF. G98 B99 F99 
6 4 2	........DG..AADG..E.DGB.E.CCB...FFB. D99 G99 E99 C99 
6 4 2	..D.B...D.B.AAD.B.E..G..ECCG...FFG.. G99 B97 E99 F99 
6 4 2	...G....DG..AADG..E.D.B.ECC.B..FF.B. D99 G98 E99 F99 
6 3 3	..D.B...DGB.AADGB....G..ECC...E..FF. G99 B97 F99 
6 4 2	..D.....D.B.AAD.B.E..GB.ECCG...FFG.. G99 B98 E99 F99 
6 4 2	........DG..AADG..E.DGB.ECC.B..FF.B. D99 G99 E99 F99 
6 4 2	..D.....D...AAD.B.E..GB.ECCGB..FFG.. G99 B99 E99 F99 
6 4 2	..D.B...D.B.AAD.B.E..G..ECCG.....GFF G99 B97 E99 F98 
6 4 2	..DG....DG..AADG..E...B.ECC.B..FF.B. G96 E99 F99 
6 4 2	....B...D.B.AAD.B...DG..ECCG..EFFG.. D99 G99 B97 F99 
6 3 3	..DGB...DGB.AADGB.......ECC...EFF... G98 B97 F99 
6 3 3	........D.B.AADGB...DGB.ECCG..E..FF. D99 B98 F99 
6 3 3	........D...AADGB...DGB.ECCGB.E..FF. D99 B99 F99 
6 3 3	..DGB...DGB.AADGB.......E..CC.E.FF.. G98 B97 C98 
6 4 2	........D.B.AAD.B...DGB.ECCG..EFFG.. D99 G99 B98 F99 
6 4 2	...G....DG..AADG..E.D.B.ECC.B.FF..B. D99 G98 E99 F98 
6 4 2	........DG..AADG..E.DGB.ECC.B.FF..B. D99 G99 E99 F98 
6 4 2	........D...AAD.B...DGB.ECCGB.EFFG.. D99 G99 B99 F99 
