3 3 0	SB...ESB.CDE.AACDEHHH.D...VG....VG.. S99 E99 G99 
3 3 0	SB....SB.CDEAA.CDEHHH.DE..VG....VG.. S99 A99 G99 
3 3 0	SB....SB..DE.AACDEHHHCDE..VG....VG.. S99 C99 G99 
3 3 0	SB....SB.CDE.AACDE.HHHDE..VG....VG.. S99 H99 G99 
3 3 0	.B.C..SB.C..SAA.DEHHHGDE..VGDE..V... C99 D99 E99 
3 3 0	.B.C..SB.C..SAA.D.HHHGDE..VGDE..V..E C99 D99 E98 
3 3 0	.B.C.ESB.C.ESAA.DEHHHGD...VGD...V... C99 D99 E99 
3 3 0	.B.C..SB.C.ES.AADEHHHGDE..VGD...V... C99 D99 A99 
3 3 0	.B.C..SB.C.ESAA.DEHHH.DE..VGD...VG.. C99 D99 G99 
3 3 0	.B.C..SB.C.ESAAGDEHHHGDE..V.D...V... C99 D99 G99 
3 3 0	.B.C..SB.C..SAA..EHHHGDE..VGDE..V.D. C99 D98 E99 
3 3 0	.B.C..SB.C..SAA...HHHGDE..VGDE..V.DE C99 D98 E98 
3 3 0	.B.C.ESB.C.ESAA..EHHHGD...VGD...V.D. C99 D98 E99 
3 3 0	.B.C..SB.C.ES.AA.EHHHGDE..VGD...V.D. C99 D98 A99 
3 3 0	.B.C..SB.C.ES..AAEHHHGDE..VGD...V.D. C99 D98 A98 
3 3 0	.B.C..SB.C.ESAA..EHHH.DE..VGD...VGD. C99 D98 G99 
3 3 0	.B.C..SB.C.ESAAG.EHHHGDE..V.D...V.D. C99 D98 G99 
3 3 0	.B.CD.SB.CD.SAA.DEHHHG.E..VG.E..V... C99 D99 E99 
3 3 0	.B.CD.SB.CD.SAA.D.HHHG.E..VG.E..V..E C99 D99 E98 
3 3 0	.B.CDESB.CDESAA.DEHHHG....VG....V... C99 D99 E99 
3 3 0	.B.CD.SB.CDES.AADEHHHG.E..VG....V... C99 D99 A99 
3 3 0	.B.CD.SB.CDESAA.DEHHH..E..VG....VG.. C99 D99 G99 
3 3 0	.B.CD.SB.CDESAAGDEHHHG.E..V.....V... C99 D99 G99 
3 3 0	.B.C..SB.CD.S.AADEHHHGDE..VG.E..V... C99 E99 A99 
3 3 0	.B.C..SB.CD.SAA.DEHHH.DE..VG.E..VG.. C99 E99 G99 
3 3 0	.B.C..SB.CD.SAAGDEHHHGDE..V..E..V... C99 E99 G99 
3 3 0	.B.C..SB.CD.S.AAD.HHHGDE..VG.E..V..E C99 E98 A99 
3 3 0	.B.C..SB.CD.SAA.D.HHH.DE..VG.E..VG.E C99 E98 G99 
3 3 0	.B.C..SB.CD.SAAGD.HHHGDE..V..E..V..E C99 E98 G99 
3 3 0	.B.C.ESB.CDES.AADEHHHGD...VG....V... C99 E99 A99 
3 3 0	.B.C.ESB.CDESAA.DEHHH.D...VG....VG.. C99 E99 G99 
3 3 0	.B.C.ESB.CDESAAGDEHHHGD...V.....V... C99 E99 G99 
3 3 0	...C..SB.CDESBAADEHHHGDE..VG....V... B99 C99 A99 
3 3 0	.B.C..SB.CDES.AADEHHH.DE..VG....VG.. C99 A99 G99 
3 3 0	.B.C..SB.CDESAA.DE.HHHDE..VG....VG.. C99 H99 G99 
3 3 0	.B....SB.C..SAACDEHHH.DE..VGDE..VG.. D99 E99 G99 
3 3 0	.B....SB.C..SAACD.HHH.DE..VGDE..VG.E D99 E98 G99 
3 3 0	.B...ESB.C.ESAACDEHHH.D...VGD...VG.. D99 E99 G99 
3 3 0	.B....SB...ESAACDEHHHCDE..VGD...VG.. C99 D99 G99 
3 3 0	.B....SB.C.ESAACDE.HHHDE..VGD...VG.. D99 H99 G99 
3 3 0	.B....SB.C..SAAC.EHHH.DE..VGDE..VGD. D98 E99 G99 
3 3 0	.B....SB.C..SAAC..HHH.DE..VGDE..VGDE D98 E98 G99 
3 3 0	.B...ESB.C.ESAAC.EHHH.D...VGD...VGD. D98 E99 G99 
3 3 0	.B....SB...ESAAC.EHHHCDE..VGD...VGD. C99 D98 G99 
3 3 0	.B....SB.C.ESAAC.E.HHHDE..VGD...VGD. D98 H99 G99 
3 3 0	.B..D.SB.CD.SAACDEHHH..E..VG.E..VG.. D99 E99 G99 
3 3 0	.B..D.SB.CD.SAACD.HHH..E..VG.E..VG.E D99 E98 G99 
3 3 0	.B..DESB.CDESAACDEHHH.....VG....VG.. D99 E99 G99 
3 3 0	.B..D.SB..DESAACDEHHHC.E..VG....VG.. C99 D99 G99 
3 3 0	.B..D.SB.CDESAACDE.HHH.E..VG....VG.. D99 H99 G99 
3 3 0	.B..D.SB.CDESAACDE..HHHE..VG....VG.. D99 H98 G99 
3 3 0	.B....SB..D.SAACDEHHHCDE..VG.E..VG.. C99 E99 G99 
3 3 0	.B....SB.CD.SAACDE.HHHDE..VG.E..VG.. E99 H99 G99 
3 3 0	.B....SB..D.SAACD.HHHCDE..VG.E..VG.E C99 E98 G99 
3 3 0	.B....SB.CD.SAACD..HHHDE..VG.E..VG.E E98 H99 G99 
3 3 0	.B...ESB..DESAACDEHHHCD...VG....VG.. C99 E99 G99 
3 3 0	.B...ESB.CDESAACDE.HHHD...VG....VG.. E99 H99 G99 
3 3 0	.B.....B.CDESAACDESHHHDE..VG....VG.. S99 H99 G99 
