2 0 2	..GGGD..E..DAAE..DH.....H.BBCCZZ..FF G98 
7 5 2	..GGGD.....DAAE..D..E...HBBCC.H.ZZFF E99 H99 B99 C99 Z98 
7 5 2	GGG..D.....DAAE..DH.E...HBBCC.ZZ.FF. G98 E99 B99 C99 F99 
7 6 1	GGG.....E..D..EAADH....DH.BBCCZZ..FF G96 E98 D99 A97 
7 5 2	.GGG.D.....DAAE..DH.E...HBBCC.ZZ.FF. G99 E99 B99 C99 F99 
7 5 2	.GGG.D..E..DAAE..DH.....HBBCC..ZZFF. G99 B99 C99 Z99 F99 
7 6 1	.GGG....E..D..EAADH....DH.BBCCZZ..FF G97 E98 D99 A97 
7 6 1	..GGG...E..D..EAADH....DH.BBCCZZ..FF G98 E98 D99 A97 
7 5 2	GGG..D.....DAAE..D..E...H.BBCCHZZFF. G98 E99 H99 Z99 F99 
7 6 1	..GGG......D..EAADH.E..DH.BBCCZZ..FF G98 D99 E97 A97 
7 6 1	...GGGH.E..DH.EAAD.....D..BBCCZZ..FF E98 G99 H98 D99 A97 
7 5 2	..GGG...E..DAAE..D.....DHBB.CCHZZFF. D99 H99 B99 Z99 F99 
7 5 2	...GGG..E...AAE..DH....DHBBCCDZZFF.. G99 D98 B99 C99 F98 
7 5 2	GGG.....E..DAAE..DH....DHBBCC.ZZFF.. G98 D99 B99 C99 F98 
7 5 2	..GGGD.....DAAE..D..E...HBBCC.HZZ.FF E99 H99 B99 C99 Z99 
7 6 1	..EGGGH.E..DHAA..D.....DBB..CCZZ..FF G99 D99 E99 A99 H98 B98 
7 6 1	..EGGGH.E..DHAA..D.....D.BB.CCZZ..FF G99 D99 E99 A99 H98 B99 
7 5 2	.GGG....E..DAAE..DH....DHBBCC..ZZ.FF G99 D99 B99 C99 Z99 
7 6 1	H..GGGH....D..EAAD..E..D..BBCCZZ..FF G99 D99 E97 A97 H97 
7 6 1	H..GGGH.E..D..EAAD.....D..BBCCZZ..FF G99 D99 E98 A97 H97 
7 5 2	...GGG..E..DAAE..DH....DHBBCC.ZZFF.. G99 D99 B99 C99 F98 
7 5 2	GGG.....E..DAAE..DH....DHBBCC..ZZ.FF G98 D99 B99 C99 Z99 
7 6 1	..EGGGH.E..DHAA..D.....D..BBCCZZ.FF. G99 D99 E99 A99 H98 F99 
7 6 1	..EGGG..E..DHAA..DH....D..BBCCZZ.FF. G99 D99 E99 A99 H99 F99 
7 5 2	GGG..D..E..DAAE..D......HBBCC.HZZ.FF G98 H99 B99 C99 Z99 
7 6 1	..EGGGH.E..DH.AA.D.....D..BBCCZZ.FF. G99 D99 E99 A98 H98 F99 
7 6 1	..EGGGH.E..DH..AAD.....D..BBCCZZ.FF. G99 D99 E99 A97 H98 F99 
7 5 2	.GGG.D.....DAAE..D..E...H.BBCCHZZFF. G99 E99 H99 Z99 F99 
7 5 2	..GGG...E..DAAE..D.....DHBBCC.HZZ.FF D99 H99 B99 C99 Z99 
7 5 2	...GGG..E..DAAE..DH....DHBBCC.ZZ.FF. G99 D99 B99 C99 F99 
7 6 1	..EGGG..E..DH..AADH....D..BBCCZZ.FF. G99 D99 E99 A97 H99 F99 
7 6 1	...GGG.....D..EAADH.E..DH.BBCCZZ.FF. E97 G99 D99 A97 F99 
7 5 2	.GGG....E..DAAE..DH....DHBBCC.ZZFF.. G99 D99 B99 C99 F98 
7 6 1	...GGG..E..D..EAADH....DH.BBCCZZ.FF. E98 G99 D99 A97 F99 
7 6 1	H.EGGGH.E..D...AAD.....D.BB.CCZZ..FF G99 D99 E99 A97 H97 B99 
7 5 2	GGG........DAAE..DH.E..DHBB.CCZZFF.. G98 E99 D99 B99 F98 
7 5 2	.GGG.D..E..DAAE..D......HBBCC.HZZ.FF G99 H99 B99 C99 Z99 
7 6 1	..EGGGH.E..DH..AAD.....D.BB.CCZZ..FF G99 D99 E99 A97 H98 B99 
7 6 1	..EGGG..E..DH..AADH....D.BB.CCZZ..FF G99 D99 E99 A97 H99 B99 
7 5 2	...GGG..E...AAE..DH....DHBBCCDZZ.FF. G99 D98 B99 C99 F99 
7 6 1	...GGG.....D..EAADH.E..DHBB.CCZZ..FF E97 G99 D99 A97 B99 
7 6 1	...GGG..E..D..EAADH....DHBB.CCZZ..FF E98 G99 D99 A97 B99 
7 5 2	.GGG.D.....DAAE..D..E...HBB.CCHZZ.FF G99 E99 H99 B99 Z99 
7 5 2	GGG.....E...AAE..DH....DHBBCCDZZ.FF. G98 D98 B99 C99 F99 
7 5 2	.GGG.......DAAE..DH.E..DHBB.CCZZFF.. G99 D99 E99 B99 F98 
7 6 1	...GGG..E..D..EAADH....DH.BBCCZZFF.. E98 G99 D99 A97 F98 
7 6 1	H.EGGGH.E..D...AAD.....D..BBCCZZFF.. G99 D99 E99 A97 H97 F98 
7 6 1	..EGGG..E..DAA...D.....DHBB.CCHZZ.FF G99 D99 E99 H99 B99 Z99 
7 6 1	..EGGG..E..D...AADH....DHBB.CC.ZZ.FF G99 D99 E99 A97 B99 Z99 
7 5 2	.GGG....E..DAAE..DH....DHBBCC.ZZ.FF. G99 D99 B99 C99 F99 
7 6 1	..EGGG..E..D.AA..DH....DHBB.CC.ZZ.FF G99 D99 E99 A99 B99 Z99 
7 6 1	..EGGGH.E..DHAA..D.....D..BBCC..ZZFF G99 D99 E99 A99 H98 Z98 
7 5 2	GGG..D..E..DAAE..D......HBB.CCHZZFF. G98 H99 B99 Z99 F99 
7 5 2	...GGG..E...AAE..DH....DHBBCCD..ZZFF G99 D98 B99 C99 Z98 
7 6 1	..EGGG..E..DHAA..DH....D..BBCC..ZZFF G99 D99 E99 A99 H99 Z98 
7 6 1	..EGGGH.E..DH..AAD.....D..BBCC..ZZFF G99 D99 E99 A97 H98 Z98 
7 6 1	...GGG......AAE...H.E..DHBBCCDZZFF.D G99 D97 E99 B99 C99 F98 
7 6 1	..EGGG..E..DH..AADH....D..BBCC..ZZFF G99 D99 E99 A97 H99 Z98 
7 6 1	...GGG.....D..EAADH.E..DH.BBCC..ZZFF E97 G99 D99 A97 Z98 
7 5 2	.GGG.......DAAE..D..E..DH.BBCCH.ZZFF G99 D99 E99 H99 Z98 
7 6 1	.GGG....E...AAE...H....DHBBCCD.ZZFFD G99 D97 B99 C99 Z99 F99 
7 6 1	..GGG...E...AAE........DHBBCCDHZZFFD D97 H99 B99 C99 Z99 F99 
7 6 1	...GGG..E..D..EAADH....DH.BBCC..ZZFF E98 G99 D99 A97 Z98 
7 6 1	..EGGG..E..D...AADH....DH.BBCC.ZZFF. G99 D99 E99 A97 Z99 F99 
7 5 2	.GGG....E..DAAE..D.....DHBB.CCH.ZZFF G99 D99 H99 B99 Z98 
7 6 1	..EGGG..E..D..AA.DH....DH.BBCC.ZZFF. G99 D99 E99 A98 Z99 F99 
7 6 1	..EGGG..E..D.AA..DH....DH.BBCC.ZZFF. G99 D99 E99 A99 Z99 F99 
7 6 1	.GGG........AAE...H.E..DHBBCCDZZFF.D G99 E99 D97 B99 C99 F98 
7 5 2	...GGG..E..DAAE..DH....DHBB.CC.ZZFF. G99 D99 B99 Z99 F99 
7 6 1	H.EGGGH.E..D..AA.D.....D.BB.CCZZ..FF G99 D99 E99 A98 H97 B99 
7 6 1	..EGGGH.E..DH.AA.D.....D.BB.CCZZ..FF G99 D99 E99 A98 H98 B99 
7 5 2	GGG.....E..DAAE..D.....DHBB.CCHZZ.FF G98 D99 H99 B99 Z99 
7 6 1	..EGGG..E..D...AADH....DHBB.CC..ZZFF G99 D99 E99 A97 B99 Z98 
7 6 1	..EGGG..E..D.AA..DH....DHBB.CC..ZZFF G99 D99 E99 A99 B99 Z98 
7 5 2	...GGG.....DAAE..DH.E..DH.BBCCZZFF.. E97 G99 D99 F98 
7 5 2	...GGG..E..DAAE..DH....DHBBCC..ZZ.FF G99 D99 B99 C99 Z99 
7 6 1	H.EGGGH.E..D..AA.D.....D..BBCCZZFF.. G99 D99 E99 A98 H97 F98 
7 5 2	.GGG.......DAAE..DH.E..DH.BBCC.ZZFF. G99 D99 E99 Z99 F99 
7 5 2	.GGG.......DAAE..DH.E..DHBB.CCZZ.FF. G99 D99 E99 B99 F99 
7 5 2	GGG.....E...AAE..DH....DHBBCCDZZFF.. G98 D98 B99 C99 F98 
7 5 2	.GGG....E...AAE..DH....DHBBCCDZZFF.. G99 D98 B99 C99 F98 
7 6 1	..EGGG..E...AA...DH....DHBBCCDZZFF.. G99 D98 E99 B99 C99 F98 
7 5 2	.GGG....E..DAAE..D.....DHBB.CCHZZ.FF G99 D99 H99 B99 Z99 
7 5 2	.GGG.......DAAE..DH.E..DHBB.CC.ZZ.FF G99 D99 E99 B99 Z99 
7 6 1	..EGGGH.E..DH.AA.D.....D..BBCCZZFF.. G99 D99 E99 A98 H98 F98 
7 5 2	...GGG.....DAAE..DH.E..DH.BBCC.ZZFF. G99 D99 E99 Z99 F99 
7 5 2	..GGG......DAAE..D..E..DH.BBCCHZZFF. D99 E99 H99 Z99 F99 
7 5 2	...GGG..E..DAAE..D.....DH.BBCCHZZFF. G99 D99 H99 Z99 F99 
7 6 1	H.EGGGH.E..D.AA..D.....D..BBCCZZFF.. G99 D99 E99 A99 H97 F98 
7 5 2	GGG.....E..DAAE..D.....DH.BBCCHZZFF. G98 D99 H99 Z99 F99 
7 5 2	.GGG....E..DAAE..D.....DH.BBCCHZZFF. G99 D99 H99 Z99 F99 
7 6 1	..EGGGH.E..DHAA..D.....D..BBCCZZFF.. G99 D99 E99 A99 H98 F98 
7 6 1	..EGGG..E..DHAA..DH....D..BBCCZZFF.. G99 D99 E99 A99 H99 F98 
7 5 2	GGG........DAAE..DH.E..DHBB.CCZZ.FF. G98 D99 E99 B99 F99 
7 5 2	...GGG..E...AAE..DH....DHBBCCD.ZZ.FF G99 D98 B99 C99 Z99 
7 5 2	GGG.....E...AAE..DH....DHBBCCD.ZZ.FF G98 D98 B99 C99 Z99 
7 5 2	.GGG.D.....DAAE..D..E...HBB.CCH.ZZFF G99 E99 H99 B99 Z98 
7 5 2	.GGG....E...AAE..DH....DHBBCCD.ZZ.FF G99 D98 B99 C99 Z99 
7 5 2	..GGG...E...AAE..DH....DHBBCCD.ZZFF. D98 B99 C99 Z99 F99 
7 6 1	..EGGG..E...AA...DH....DHBBCCDZZ.FF. G99 D98 E99 B99 C99 F99 
7 6 1	..EGGG..E...AA...DH....DHBBCCD.ZZ.FF G99 D98 E99 B99 C99 Z99 
7 5 2	..GGG...E..DAAE..DH....DHBBCC..ZZFF. D99 B99 C99 Z99 F99 
7 5 2	GGG..D..E..DAAE..DH.....HBBCC..ZZFF. G98 B99 C99 Z99 F99 
7 6 1	..EGGG..E...AA...DH....DHBBCCD..ZZFF G99 D98 E99 B99 C99 Z98 
7 5 2	.GGG.D..E..DAAE..D......HBB.CCHZZFF. G99 H99 B99 Z99 F99 
7 5 2	.GGG....E..DAAE..DH....DHBB.CC.ZZFF. G99 D99 B99 Z99 F99 
7 6 1	..EGGG..E....AA..DH....DHBBCCDZZ..FF G99 D98 E99 A99 B99 C99 
7 6 1	..EGGG..E..DH..AADH....D..BBCCZZFF.. G99 D99 E99 A97 H99 F98 
7 5 2	.GGG....E..DAAE..DH....DHBBCC...ZZFF G99 D99 B99 C99 Z98 
7 5 2	.GGG.......DAAE..D..E..DH.BBCCHZZ.FF G99 D99 E99 H99 Z99 
7 6 1	GGG.........AAE...H.E..DHBBCCDZZFF.D G98 E99 D97 B99 C99 F98 
7 7 0	..EGGG..E....AA...H....DHBBCCDZZ.FFD G99 D97 E99 A99 B99 C99 F99 
7 5 2	GGG........DAAE..DH.E..DH.BBCC.ZZFF. G98 D99 E99 Z99 F99 
7 5 2	.GGG.D.....DAAE..DH.E...HBBCC...ZZFF G99 E99 B99 C99 Z98 
7 6 1	..EGGGH.E..DH..AAD.....D..BBCCZZFF.. G99 D99 E99 A97 H98 F98 
7 5 2	.GGG.D.....DAAE..DH.E...HBBCC..ZZ.FF G99 E99 B99 C99 Z99 
7 5 2	..GGG...E...AAE..D.....DHBBCCDH.ZZFF D98 H99 B99 C99 Z98 
7 6 1	...GGG.....D..EAADH.E..DH.BBCCZZFF.. E97 G99 D99 A97 F98 
7 5 2	GGG.....E..DAAE..D.....DHBB.CCH.ZZFF G98 D99 H99 B99 Z98 
7 5 2	..GGG...E..DAAE..D.....DHBBCC.H.ZZFF D99 H99 B99 C99 Z98 
7 5 2	GGG..D..E..DAAE..D......HBBCC.H.ZZFF G98 H99 B99 C99 Z98 
7 6 1	..EGGG..E......AADH....DHBBCCDZZ..FF G99 D98 E99 A97 B99 C99 
7 5 2	.GGG.D..E..DAAE..D......HBBCC.H.ZZFF G99 H99 B99 C99 Z98 
7 5 2	GGG..D.....DAAE..DH.E...HBBCC..ZZ.FF G98 E99 B99 C99 Z99 
7 6 1	..EGGG..E..D..AA.DH....DHBB.CC..ZZFF G99 D99 E99 A98 B99 Z98 
7 6 1	..EGGGH.E..DH.AA.D.....D..BBCC..ZZFF G99 D99 E99 A98 H98 Z98 
7 5 2	GGG........DAAE..D..E..DH.BBCCH.ZZFF G98 D99 E99 H99 Z98 
7 6 1	..EGGG..E..DAA...DH....DHBBCC.ZZ.FF. G99 D99 E99 B99 C99 F99 
7 6 1	..EGGG..E..D...AADH....DHBB.CCZZ.FF. G99 D99 E99 A97 B99 F99 
7 6 1	H.EGGGH.E..D..AA.D.....D..BBCC..ZZFF G99 D99 E99 A98 H97 Z98 
7 6 1	..EGGG..E..D..AA.DH....DHBB.CCZZ.FF. G99 D99 E99 A98 B99 F99 
7 6 1	..EGGG..E..D.AA..DH....DHBB.CCZZ.FF. G99 D99 E99 A99 B99 F99 
7 6 1	..EGGG..E..D..AA.D.....DH.BBCCH.ZZFF G99 D99 E99 A98 H99 Z98 
7 5 2	GGG........DAAE..D..E..DH.BBCCHZZ.FF G98 D99 E99 H99 Z99 
7 6 1	..EGGG..E..DH.AA.DH....D..BBCCZZ.FF. G99 D99 E99 A98 H99 F99 
7 5 2	.GGG.......DAAE..DH.E..DHBB.CC..ZZFF G99 E99 D99 B99 Z98 
7 6 1	..EGGG..E..DH.AA.DH....D..BBCC..ZZFF G99 D99 E99 A98 H99 Z98 
7 6 1	..EGGG..E..DH.AA.DH....D..BBCC.ZZ.FF G99 D99 E99 A98 H99 Z99 
7 5 2	GGG........DAAE..DH.E..DHBB.CC.ZZ.FF G98 E99 D99 B99 Z99 
7 6 1	..GGG.......AAE...H.E..DHBBCCD.ZZFFD D97 E99 B99 C99 Z99 F99 
7 5 2	...GGG.....DAAE..D..E..DH.BBCCH.ZZFF G99 D99 E99 H99 Z98 
7 5 2	..GGG......DAAE..D..E..DHBB.CCHZZ.FF D99 E99 H99 B99 Z99 
7 6 1	..EGGG..E..DH.AA.DH....DBB..CCZZ..FF G99 D99 E99 A98 H99 B98 
7 6 1	..EGGG..E..DH.AA.DH....D.BB.CCZZ..FF G99 D99 E99 A98 H99 B99 
7 5 2	...GGG.....DAAE..DH.E..DHBB.CC.ZZ.FF G99 D99 E99 B99 Z99 
7 5 2	GGG..D.....DAAE..D..E...HBB.CCH.ZZFF G98 E99 H99 B99 Z98 
7 5 2	GGG........DAAE..DH.E..DHBB.CC..ZZFF G98 D99 E99 B99 Z98 
7 5 2	GGG.....E...AAE..DH....DHBBCCD..ZZFF G98 D98 B99 C99 Z98 
7 5 2	..GGG......DAAE..D..E..DHBB.CCH.ZZFF D99 E99 H99 B99 Z98 
7 5 2	..GGG.......AAE..DH.E..DHBBCCD..ZZFF D98 E99 B99 C99 Z98 
7 5 2	..GGG.......AAE..DH.E..DHBBCCD.ZZ.FF D98 E99 B99 C99 Z99 
7 5 2	GGG.....E..DAAE..DH....DHBBCC...ZZFF G98 D99 B99 C99 Z98 
7 5 2	...GGG......AAE..DH.E..DHBBCCDZZ..FF G99 D98 E99 B99 C99 
7 5 2	GGG.........AAE..DH.E..DHBBCCDZZ..FF G98 E99 D98 B99 C99 
7 5 2	.GGG....E...AAE..DH....DHBBCCD..ZZFF G99 D98 B99 C99 Z98 
7 6 1	GGG.....E...AAE...H....DHBBCCD.ZZFFD G98 D97 B99 C99 Z99 F99 
7 5 2	...GGG..E..DAAE..D.....DHBB.CCH.ZZFF G99 D99 H99 B99 Z98 
7 5 2	.GGG........AAE..DH.E..DHBBCCDZZ..FF G99 E99 D98 B99 C99 
7 5 2	..GGG......DAAE..DH.E..DHBBCC...ZZFF D99 E99 B99 C99 Z98 
7 6 1	...GGG..E...AAE...H....DHBBCCD.ZZFFD G99 D97 B99 C99 Z99 F99 
7 5 2	..GGG......DAAE..DH.E..DHBBCC..ZZ.FF D99 E99 B99 C99 Z99 
7 5 2	...GGG.....DAAE..DH.E..DHBBCC.ZZ..FF G99 D99 E99 B99 C99 
7 5 2	...GGG.....DAAE..DH.E..DHBB.CC..ZZFF G99 D99 E99 B99 Z98 
7 5 2	...GGG..E..DAAE..D.....DHBB.CCHZZ.FF G99 D99 H99 B99 Z99 
7 5 2	GGG........DAAE..DH.E..DHBBCC.ZZ..FF G98 D99 E99 B99 C99 
7 5 2	.GGG.......DAAE..DH.E..DHBBCC.ZZ..FF G99 D99 E99 B99 C99 
7 5 2	...GGG.....DAAE..D..E..DH.BBCCHZZ.FF G99 D99 E99 H99 Z99 
7 5 2	..GGG......DAAE..DH.E..DHBBCC.ZZFF.. D99 E99 B99 C99 F98 
7 5 2	GGG..D.....DAAE..DH.E...HBBCC.ZZFF.. G98 E99 B99 C99 F98 
7 5 2	...GGG..E..DAAE..DH....DHBBCC...ZZFF G99 D99 B99 C99 Z98 
7 5 2	GGG.....E..DAAE..DH....DHBB.CC.ZZFF. G98 D99 B99 Z99 F99 
7 6 1	..EGGG..E..D..AA.DH....DHBB.CC.ZZ.FF G99 D99 E99 A98 B99 Z99 
7 6 1	..EGGGH.E..DH.AA.D.....D..BBCC.ZZ.FF G99 D99 E99 A98 H98 Z99 
7 7 0	..EGGG..E.....AA..H....DHBBCCDZZ.FFD G99 D97 E99 A98 B99 C99 F99 
7 5 2	.GGG.D.....DAAE..DH.E...HBBCC.ZZFF.. G99 E99 B99 C99 F98 
7 6 1	..EGGG..E..D...AADH....DHBB.CCZZFF.. G99 D99 E99 A97 B99 F98 
7 5 2	GGG..D.....DAAE..D..E...HBB.CCHZZ.FF G98 E99 H99 B99 Z99 
7 6 1	..EGGG..E..D..AA.DH....DHBB.CCZZFF.. G99 D99 E99 A98 B99 F98 
7 6 1	..EGGG..E..D.AA..DH....DHBB.CCZZFF.. G99 D99 E99 A99 B99 F98 
7 5 2	.GGG....E...AAE..DH....DHBBCCDZZ.FF. G99 D98 B99 C99 F99 
7 6 1	..EGGG..E..DAA...D.....DHBB.CCH.ZZFF G99 D99 E99 H99 B99 Z98 
7 5 2	..GGGD.....DAAE..D..E...HBB.CCHZZFF. E99 H99 B99 Z99 F99 
7 6 1	..EGGG..E..DAA...DH....DHBBCC...ZZFF G99 D99 E99 B99 C99 Z98 
7 5 2	..GGG......DAAE..DH.E..DHBB.CC.ZZFF. D99 E99 B99 Z99 F99 
7 5 2	GGG..D.....DAAE..DH.E...HBB.CC.ZZFF. G98 E99 B99 Z99 F99 
7 6 1	..EGGG..E..D..AA.DH....DHBBCC.ZZ..FF G99 D99 E99 A98 B99 C99 
7 6 1	H.EGGGH.E..D...AAD.....D..BBCC..ZZFF G99 D99 E99 A97 H97 Z98 
7 6 1	H.EGGGH.E..D...AAD.....D..BBCC.ZZ.FF G99 D99 E99 A97 H97 Z99 
7 5 2	.GGG.D.....DAAE..DH.E...HBB.CC.ZZFF. G99 E99 B99 Z99 F99 
7 6 1	..EGGG..E..DAA...D.....DH.BBCCHZZFF. G99 D99 E99 H99 Z99 F99 
7 6 1	..EGGG..E..D.AA..D.....DH.BBCCH.ZZFF G99 D99 E99 A99 H99 Z98 
7 6 1	..EGGG..E..D...AAD.....DH.BBCCH.ZZFF G99 D99 E99 A97 H99 Z98 
7 6 1	H.EGGGH.E..D.AA..D.....D..BBCC..ZZFF G99 D99 E99 A99 H97 Z98 
7 6 1	..EGGG..E..D...AADH....DHBBCC.ZZ..FF G99 D99 E99 A97 B99 C99 
7 6 1	H.EGGGH.E..D.AA..D.....D..BBCCZZ.FF. G99 D99 E99 A99 H97 F99 
7 6 1	..EGGG..E..DAA...DH....DHBBCC..ZZ.FF G99 D99 E99 B99 C99 Z99 
7 6 1	H.EGGGH.E..D...AAD.....D..BBCCZZ.FF. G99 D99 E99 A97 H97 F99 
7 6 1	H.EGGGH.E..D..AA.D.....D..BBCCZZ.FF. G99 D99 E99 A98 H97 F99 
7 6 1	..EGGG..E..D.AA..DH....DHBBCC.ZZ..FF G99 D99 E99 A99 B99 C99 
7 6 1	..EGGGH.E..DH.AA.D.....DBB..CCZZ..FF G99 D99 E99 A98 H98 B98 
7 6 1	H.EGGGH.E..D..AA.D.....D..BBCC.ZZ.FF G99 D99 E99 A98 H97 Z99 
7 6 1	..EGGGH.E..DH..AAD.....D..BBCC.ZZ.FF G99 D99 E99 A97 H98 Z99 
7 6 1	..EGGG..E..DH..AADH....D..BBCC.ZZ.FF G99 D99 E99 A97 H99 Z99 
7 6 1	..EGGG..E..D...AAD.....DH.BBCCHZZ.FF G99 D99 E99 A97 H99 Z99 
7 6 1	H.EGGGH.E..D...AAD.....DBB..CCZZ..FF G99 D99 E99 A97 H97 B98 
7 6 1	H.EGGGH.E..D..AA.D.....DBB..CCZZ..FF G99 D99 E99 A98 H97 B98 
7 6 1	..EGGGH.E..DHAA..D.....D..BBCC.ZZ.FF G99 D99 E99 A99 H98 Z99 
7 6 1	H.EGGGH.E..DAA...D.....D..BBCCZZ..FF G99 D99 E99 A94 H97 
7 6 1	..EGGGH.E..DH..AAD.....DBB..CCZZ..FF G99 D99 E99 A97 H98 B98 
7 6 1	..EGGG..E..DHAA..DH....D..BBCC.ZZ.FF G99 D99 E99 A99 H99 Z99 
7 6 1	...GGGH....DH.EAAD..E..D..BBCCZZ..FF E97 G99 H98 D99 A97 
7 6 1	H.EGGGH.E..D.AA..D.....D..BBCC.ZZ.FF G99 D99 E99 A99 H97 Z99 
7 6 1	..EGGG..E..D.AA..D.....DH.BBCCHZZ.FF G99 D99 E99 A99 H99 Z99 
7 6 1	..EGGG..E..DHAA..DH....D.BB.CCZZ..FF G99 D99 E99 A99 H99 B99 
7 6 1	..EGGG..E..DHAA..DH....DBB..CCZZ..FF G99 D99 E99 A99 H99 B98 
7 6 1	..EGGG..E..DH..AADH....DBB..CCZZ..FF G99 D99 E99 A97 H99 B98 
7 6 1	...GGG..E..DH.EAADH....D..BBCCZZ..FF E98 G99 D99 H99 A97 
7 6 1	...GGG..E..D..EAADH....DH.BBCC.ZZ.FF E98 G99 D99 A97 Z99 
7 7 0	..EGGG..E......AA.H....DHBBCCDZZ.FFD G99 D97 E99 A97 B99 C99 F99 
7 6 1	...GGG.....DH.EAADH.E..D..BBCCZZ..FF E97 G99 D99 H99 A97 
7 6 1	...GGG.....D..EAADH.E..DH.BBCC.ZZ.FF E97 G99 D99 A97 Z99 
7 6 1	.GGG.......D..EAADH.E..DH.BBCCZZ..FF G97 D99 E97 A97 
7 6 1	GGG........D..EAADH.E..DH.BBCCZZ..FF G96 D99 E97 A97 
7 6 1	H.EGGGH.E..D.AA..D.....D.BB.CCZZ..FF G99 D99 E99 A99 H97 B99 
7 6 1	...GGG......AAE...H.E..DHBBCCDZZ.FFD G99 D97 E99 B99 C99 F99 
7 7 0	..EGGG..E.......AAH....DHBBCCDZZ.FFD G99 D97 E99 A96 B99 C99 F99 
