9 7 2	.......D..C..DAAC...B.C...BEE...B... C96 D97 A98 B97 E97 
9 7 2	..........C..DAAC..DB.C...BEE...B... C96 A98 B97 D98 E97 
10 8 2	.D.....D..C.AA..C...B.C...BEE...B... B97 C96 A96 D96 E97 
10 8 2	.D.....D..C..AA.C...B.C...BEE...B... C96 A97 B97 D96 E97 
10 7 3	.D..C..DB.C.AAB.C...B.......EE...... B95 C97 A96 D96 E98 
10 7 3	.D..C..D..C.AAB.C...B.....B.EE...... B96 C97 A96 D96 E98 
11 8 3	.D..C..D..C.AAB.C...B.....BEE....... B96 C97 A96 D96 E97 
11 8 3	.D.....D..C.AAB.C...B.C...B.EE...... B96 C96 A96 D96 E98 
11 8 3	.D..C..DB.C.AAB.C...B...EE.......... B95 C97 A96 D96 E94 
10 9 1	.D.....DB...AAB.....B.C.EE..C.....C. B95 C94 A96 D96 E94 
10 10 0	.D.....D....AA......B.C.EEB.C...B.C. B93 C94 A96 D96 E94 
11 9 2	.D..C..D..C.AA..C...B...EEB.....B... B93 C97 A96 D96 E94 
11 9 2	.D.....DB...AAB.C...B.C.EE..C....... B95 C95 A96 D96 E94 
11 8 3	.D.....DB.C.AAB.C...B.C.....EE...... B95 C96 A96 D96 E98 
11 8 3	.D..C..DB.C.AAB.C...B......EE....... B95 C97 A96 D96 E97 
11 9 2	.D.....DB.C.AAB.C...B.C.EE.......... B95 C96 A96 D96 E94 
11 11 0	.D.....D........AA..B.C.EEB.C...B.C. B93 C94 A92 D96 E94 
