3 0 3	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
4 1 3	.JJJPSFF..PSHAADPUH.NDLUBINDLOBINGGO J99 
4 1 3	JJJ.PS..FFPSHAADPUH.NDLUBINDLOBINGGO F98 
4 1 3	JJJ.PSFF..PSHAADPUHINDLUBINDLOB.NGGO I99 
4 1 3	JJJ.PS.FF.PSHAADPUH.NDLUBINDLOBINGGO F99 
4 1 3	JJJDPSFF.DPSHAADPUH.N.LUBIN.LOBINGGO D98 
4 1 3	JJJ.PSFF.DPSHAADPUH.NDLUBIN.LOBINGGO D99 
5 2 3	.JJJPS..FFPSHAADPUH.NDLUBINDLOBINGGO J99 F98 
5 2 3	.JJJPSFF..PSHAADPUHINDLUBINDLOB.NGGO J99 I99 
5 2 3	JJJ.PS.FFDPSHAADPUH.NDLUBIN.LOBINGGO F99 D99 
5 2 3	JJJ.PSHFF.PSHAADPU..NDLUBINDLOBINGGO F99 H99 
5 2 3	.JJJPS.FF.PSHAADPUH.NDLUBINDLOBINGGO J99 F99 
5 2 3	JJJ.PS..FFPSHAADPUHINDLUBINDLOB.NGGO F98 I99 
5 2 3	JJJ.PSFF.DPSHAADPUHINDLUBIN.LOB.NGGO D99 I99 
5 2 3	JJJDPS.FFDPSHAADPUH.N.LUBIN.LOBINGGO F99 D98 
5 2 3	JJJ.PS.FF.PSHAADPUHINDLUBINDLOB.NGGO F99 I99 
5 2 3	JJJ.PSH.FFPSHAADPU..NDLUBINDLOBINGGO F98 H99 
5 2 3	JJJDPSFF.DPSHAADPUHIN.LUBIN.LOB.NGGO D98 I99 
5 2 3	.JJJPSFF.DPSHAADPUH.NDLUBIN.LOBINGGO J99 D99 
6 3 3	.JJJPS..FFPSHAADPUHINDLUBINDLOB.NGGO J99 F98 I99 
6 3 3	.JJJPS.FFDPSHAADPUH.NDLUBIN.LOBINGGO J99 F99 D99 
6 3 3	JJJ.PS.FFDPSHAADPUHINDLUBIN.LOB.NGGO F99 D99 I99 
6 3 3	JJJDPS.FFDPSHAADPUHIN.LUBIN.LOB.NGGO F99 D98 I99 
6 3 3	JJJ.PSHFFDPSHAADPU..NDLUBIN.LOBINGGO F99 H99 D99 
6 3 3	.JJJPS.FF.PSHAADPUHINDLUBINDLOB.NGGO J99 F99 I99 
6 3 3	HJJJPSH.FFPS.AADPU..NDLUBINDLOBINGGO J99 F98 H98 
6 3 3	.JJJPSFF.DPSHAADPUHINDLUBIN.LOB.NGGO J99 D99 I99 
6 3 3	.JJJPSH.FFPSHAADPU..NDLUBINDLOBINGGO J99 F98 H99 
6 3 3	JJJ.PSHFF.PSHAADPU.INDLUBINDLOB.NGGO F99 H99 I99 
6 3 3	JJJ.PSH.FFPSHAADPU.INDLUBINDLOB.NGGO F98 H99 I99 
6 3 3	JJJ.PSH.FFPSHAADPUB.NDLUBINDLO.INGGO F98 H99 B99 
6 3 3	HJJJPSHFF.PS.AADPU..NDLUBINDLOBINGGO J99 F99 H98 
6 3 3	JJJDPSHFFDPSHAADPU..N.LUBIN.LOBINGGO F99 H99 D98 
6 3 3	JJJ.PSHFF.PSHAADPUB.NDLUBINDLO.INGGO F99 H99 B99 
6 3 3	.JJJPSHFF.PSHAADPU..NDLUBINDLOBINGGO J99 F99 H99 
7 4 3	HJJJPSH.FFPS.AADPU.INDLUBINDLOB.NGGO J99 F98 H98 I99 
7 4 3	JJJ.PSHFFDPSHAADPU.INDLUBIN.LOB.NGGO F99 H99 D99 I99 
7 4 3	HJJJPSH.FFPSBAADPUB.NDLU.INDLO.INGGO J99 F98 H98 B98 
7 4 3	.JJJPSHFF.PSHAADPUB.NDLUBINDLO.INGGO J99 F99 H99 B99 
