11 5 6	..D.II..D.LLAABC.O..BCPOJFFFPOJSSSGG I99 C97 J99 S99 
11 3 8	..DII...D.LLAABCPOJ.BCPOJ.FFFOSSS.GG C99 P99 F99 
11 4 7	..DII...DLL.AABCPOJ.BCPOJFFF.OSSSGG. C99 L99 P99 G99 
11 4 7	..D.II..DCLLAABCPOJ.B.POJ.FFFOSSSGG. I99 P99 F99 G99 
10 5 5	..D.II..DCLLAABCP.J.B.POJ.FFFOSSSGGO I99 O99 P99 F99 G99 
11 5 6	..D.II..DLL.AABC.O..BCPOJFFFPOJSSSGG I99 C99 L99 J99 S99 
11 5 6	..DCII..DCLLAAB.POJ.B.POJ.FFFOSSSGG. I99 C99 P99 F99 G99 
11 3 8	..DII...D.LLAABCPOJ.BCPOJFFF.O.SSSGG C99 P99 S99 
11 3 8	..DII...D.LLAABCPOJ.BCPOJFFF.OSSSGG. C99 P99 G99 
10 4 6	..DII...D.LLAABC.OJ.BCPOJFFFPOSSSGG. C99 P98 G99 
11 5 6	..DII...D.LLAABCP.J.BCPOJ.FFFOSSSGGO C99 O99 P99 F99 G99 
11 5 6	..DCII..DCLLAAB.POJ.B.POJFFF.OSSS.GG I99 C99 P99 G98 
11 5 6	..DIIO..DLLOAABC.O..BCP.JFFFP.JSSSGG C99 L99 O98 J99 S99 
11 5 6	..D.II..DLLOAABC.OJ.BCPOJFFFP..SSSGG I99 C99 L99 O99 S99 
11 5 6	..D.II..DLLOAABC.OJ.BCPOJFFFP.SSSGG. I99 C99 L99 O99 G99 
11 5 6	..DCII..DCLLAAB.POJ.B.POJ.FFFO.SSSGG I99 C99 P99 F99 S99 
11 6 5	..D.II..DLL.AABC.OJ.BCPOJFFFPOSSSGG. I99 C99 L99 O98 G99 
11 5 6	..D.II..D.LLAABCP.J.BCPOJFFF.OSSSGGO I99 C99 O99 P99 G99 
11 4 7	..D.II..DCLLAABCPO..B.POJFFF.OJSSSGG I99 J99 P99 S99 
11 4 7	..DII...DLLOAABCPOJ.BCPOJFFF..SSS.GG C99 L99 O99 P99 
11 5 6	..D.II..D.LLAABC.OJ.BCPOJFFFPOSSSGG. I99 C99 L98 G99 
11 3 8	..D.II..D.LLAABCPOJ.BCPOJFFF.OSSS.GG I99 C99 P99 
11 5 6	..DIIO..DLLOAABC.O..BCP.JFFFP.JSSSGG C99 L99 O98 J99 S99 
12 6 6	..D.II..DLLOAABC.OJ.BCPOJFFFP.SSSGG. I99 C99 L99 O97 G99 
12 4 8	..DII...DLL.AABCPOJ.BCPOJFFF.O.SSSGG C99 L99 P99 S99 
11 5 6	..DII...DLL.AABC.OJ.BCPOJFFFPO.SSSGG C99 L99 P98 S99 
12 4 8	..DII...DCLLAABCPO..B.POJ.FFFOJSSSGG J99 P99 F99 S99 
12 5 7	..D.II..DCLLAABCPO..B.POJ.FFFOJSSSGG I99 J99 P99 F99 S99 
12 6 6	..DIIO..DLLOAABC.O..BCP.JFFFP.JSSSGG C99 L99 O98 J99 S99 
12 4 8	..D.II..D.LLAABCPOJ.BCPOJ.FFFOSSS.GG I99 C99 P99 F99 
12 4 8	..D.II..DLL.AABCPOJ.BCPOJFFF.OSSS.GG I99 C99 L99 P99 
12 5 7	..DII...DLLOAABCPOJ.BCPOJFFF...SSSGG C99 L99 O99 P99 S99 
12 6 6	..DII...DLL.AABCP.J.BCPOJ.FFFOSSSGGO C99 L99 O99 P99 F99 G99 
12 4 8	..DII...DLL.AABCPOJ.BCPOJ.FFFOSSS.GG C99 L99 P99 F99 
12 4 8	..DII...D.LLAABCPOJ.BCPOJ.FFFO.SSSGG C99 P99 F99 S99 
12 6 6	..DCII..DCLLAAB.PO..B.POJ.FFFOJSSSGG I99 C99 J99 P99 F99 S99 
12 4 8	..D.II..D.LLAABCPOJ.BCPOJFFF.OSSSGG. I99 C99 P99 G99 
12 5 7	..DII...DLL.AABCPOJ.BCPOJ.FFFOSSSGG. C99 L99 P99 F99 G99 
12 6 6	..D.II..D.LLAABCP.J.BCPOJ.FFFOSSSGGO I99 C99 O99 P99 F99 G99 
12 5 7	..DII...DLLOAABCPOJ.BCPOJ.FFF.SSS.GG C99 L99 O99 P99 F99 
12 6 6	..D.II..DLLOAABC.O..BCPOJFFFP.JSSSGG I99 C99 L99 O99 J99 S99 
12 4 8	..DIIO..DLLOAABCPOJ.BCP.JFFF..SSS.GG C99 L99 O98 P99 
12 5 7	..D.II..DLL.AABCPOJ.BCPOJFFF.OSSSGG. I99 C99 L99 P99 G99 
12 6 6	..D.II..DLL.AABCP.J.BCPOJFFF.OSSSGGO I99 C99 L99 O99 P99 G99 
12 5 7	..DII...DLLOAABCPOJ.BCPOJFFF..SSSGG. C99 L99 O99 P99 G99 
12 6 6	..DII...D.LLAABC.OJ.BCPOJFFFPOSSSGG. C99 L98 O98 G99 
12 4 8	..DII...D.LLAABCPOJ.BCPOJ.FFFOSSSGG. C99 P99 F99 G99 
13 5 8	..D.II..DLLOAABCPOJ.BCPOJFFF..SSS.GG I99 C99 L99 O99 P99 
13 5 8	..D.II..D.LLAABCPOJ.BCPOJ.FFFOSSSGG. I99 C99 P99 F99 G99 
13 5 8	..D.II..D.LLAABCPOJ.BCPOJ.FFFO.SSSGG I99 C99 P99 F99 S99 
13 6 7	..DII...DLLOAABCPO..BCPOJFFF..JSSSGG C99 L99 O99 J99 P99 S99 
13 5 8	..DII...D.LLAABCPO..BCPOJ.FFFOJSSSGG C99 J99 P99 F99 S99 
13 5 8	..DII...DCLLAABCPOJ.B.POJ.FFFOSSSGG. C98 P99 F99 G99 
13 5 8	..DII...DLL.AABCPOJ.BCPOJ.FFFO.SSSGG C99 L99 P99 F99 S99 
13 5 8	..DII...DLLOAABCPOJ.BCPOJ..FFFSSS.GG C99 L99 O99 P99 F98 
12 6 6	..DII...DLLOAA.CPOJ.BCPOJ.BFFFSSS.GG C99 L99 B99 O99 P99 F98 
13 5 8	..DIIO..DLLOAABCPOJ.BCP.J.FFF.SSS.GG C99 L99 O98 P99 F99 
13 5 8	..DIIO..DLLOAABCPOJ.BCP.JFFF..SSSGG. C99 L99 O98 P99 G99 
13 7 6	..DII...DLLOAA.CPOJ.BCPOJ.BFFFSSSGG. C99 L99 B99 O99 P99 F98 G99 
13 7 6	..DII...DLLOAA.CPOJ.BCPOJ.BFFF.SSSGG C99 L99 B99 O99 P99 F98 S99 
13 5 8	..D.II..DLL.AABCPOJ.BCPOJ.FFFOSSS.GG I99 C99 L99 P99 F99 
13 7 6	..D.II..DLL.AABCP.J.BCPOJ.FFFOSSSGGO I99 C99 L99 O99 P99 F99 G99 
13 7 6	..D.II..D.LLAABCP.J.BCPOJ.FFFOSSSGGO I99 C97 O99 P99 F99 G99 
13 6 7	..DII...DLLOAABCPOJ.BCPOJ.FFF..SSSGG C99 L99 O99 P99 F99 S99 
13 6 7	..DII...DLLOAABCPOJ.BCPOJ.FFF.SSSGG. C99 L99 O99 P99 F99 G99 
13 5 8	..D.II..DLL.AABCPOJ.BCPOJFFF.O.SSSGG I99 C99 L99 P99 S99 
13 5 8	..DIIO..DLLOAABCPOJ.BCP.J..FFFSSS.GG C99 L99 O98 P99 F98 
12 6 6	..DIIO..DLLOAA.CPOJ.BCP.J.BFFFSSS.GG C99 L99 B99 O98 P99 F98 
13 7 6	..DIIO..DLLO.AACPOJ.BCP.J.BFFFSSS.GG C99 L99 A99 B99 O98 P99 F98 
13 7 6	..DIIO..DLLOAA.CPOJ.BCP.J.BFFF.SSSGG C99 L99 B99 O98 P99 F98 S99 
13 7 6	..DIIO..DLLOAA.CPOJ.BCP.J.BFFFSSSGG. C99 L99 B99 O98 P99 F98 G99 
13 5 8	..D.II..D.LLAABCPO..BCPOJFFF.OJSSSGG I99 C99 J99 P99 S99 
13 5 8	..DIIO..DLLOAABCPOJ.BCP.JFFF...SSSGG C99 L99 O98 P99 S99 
13 6 7	..DII...DLL.AABCPOJ.BCPOJFFF.OSSSGG. C99 L99 O98 P99 G99 
13 5 8	..DII...DLL.AABCPO..BCPOJFFF.OJSSSGG C99 L99 J99 P99 S99 
14 6 8	..D.II..D.LLAABCPO..BCPOJ.FFFOJSSSGG I99 C99 J99 P99 F99 S99 
14 6 8	..DIIO..DLLOAABCPO..BCP.JFFF..JSSSGG C99 L99 O98 J99 P99 S99 
14 7 7	..DII...DLLOAABCPOJ.BCPOJ.FFF.SSSGG. C99 L99 O97 P99 F99 G99 
14 6 8	..DIIO..DLLOAABCPOJ.BCP.J..FFFSSSGG. C99 L99 O98 P99 F98 G99 
