5 3 2	.GGG.D..E..DAAE..DH.....HBBCC.ZZ..FF G99 B99 C99 
5 3 2	..GGGD..E..DAAE..D......H.BBCCHZZFF. H99 Z99 F99 
5 3 2	..GGGD.....DAAE..DH.E...HBB.CCZZ.FF. E99 B99 F99 
5 3 2	..GGG......DAAE..DH.E..DH.BBCCZZ.FF. D99 E99 F99 
5 3 2	GGG..D..E..DAAE..DH.....H.BBCC.ZZFF. G98 Z99 F99 
5 3 2	GGG..D.....DAAE..DH.E...H.BBCCZZ.FF. G98 E99 F99 
5 3 2	GGG..D.....DAAE..DH.E...H.BBCC..ZZFF G98 E99 Z98 
5 3 2	..GGG...E..DAAE..DH....DHBB.CCZZFF.. D99 B99 F98 
5 3 2	GGG..D.....DAAE..DH.E...H.BBCC.ZZ.FF G98 E99 Z99 
5 3 2	..GGGD..E..DAAE..DH.....HBBCC.ZZFF.. B99 C99 F98 
5 4 1	..GGG...E...AAE...H....DHBBCCDZZFF.D D97 B99 C99 F98 
5 3 2	GGG..D..E..DAAE..DH.....HBB.CCZZ.FF. G98 B99 F99 
5 3 2	..GGGD..E..DAAE..D......HBB.CCH.ZZFF H99 B99 Z98 
5 3 2	..GGGD.....DAAE..D..E...H.BBCCH.ZZFF E99 H99 Z98 
5 3 2	..GGG...E..DAAE..DH....DHBB.CC..ZZFF D99 B99 Z98 
5 3 2	..GGGD.....DAAE..DH.E...HBB.CC..ZZFF E99 B99 Z98 
5 3 2	..GGG...E..DAAE..DH....DHBB.CCZZ.FF. D99 B99 F99 
5 3 2	.GGG.D..E..DAAE..DH.....HBB.CC..ZZFF G99 B99 Z98 
5 3 2	..GGG......DAAE..DH.E..DH.BBCC..ZZFF D99 E99 Z98 
5 3 2	GGG..D.....DAAE..DH.E...HBB.CCZZ..FF G98 E99 B99 
5 3 2	GGG..D..E..DAAE..DH.....HBB.CC..ZZFF G98 B99 Z98 
5 3 2	GGG.....E..DAAE..DH....DH.BBCCZZ.FF. G98 D99 F99 
5 3 2	GGG.....E..DAAE..DH....DH.BBCC..ZZFF G98 D99 Z98 
5 3 2	GGG..D..E..DAAE..DH.....HBB.CCZZFF.. G98 B99 F98 
5 3 2	.GGG.......DAAE..DH.E..DH.BBCCZZ..FF G99 D99 E99 
5 3 2	GGG.....E..DAAE..DH....DHBB.CCZZ..FF G98 D99 B99 
5 3 2	...GGG..E..DAAE..DH....DHBB.CCZZ..FF G99 D99 B99 
5 3 2	GGG..D..E..DAAE..D......H.BBCCH.ZZFF G98 H99 Z98 
5 3 2	GGG........DAAE..DH.E..DH.BBCCZZ..FF G98 E99 D99 
5 3 2	..GGG......DAAE..DH.E..DH.BBCCZZFF.. D99 E99 F98 
5 3 2	...GGG..E..DAAE..DH....DH.BBCCZZFF.. G99 D99 F98 
5 3 2	.GGG.D.....DAAE..DH.E...H.BBCC..ZZFF G99 E99 Z98 
5 3 2	.GGG....E..DAAE..DH....DH.BBCC..ZZFF G99 D99 Z98 
5 3 2	GGG.....E..DAAE..DH....DH.BBCC.ZZ.FF G98 D99 Z99 
5 3 2	.GGG.D.....DAAE..DH.E...H.BBCCZZ.FF. G99 E99 F99 
5 3 2	.GGG.D.....DAAE..DH.E...H.BBCC.ZZ.FF G99 E99 Z99 
5 3 2	...GGG.....DAAE..DH.E..DH.BBCCZZ..FF G99 D99 E99 
5 3 2	.GGG....E..DAAE..DH....DH.BBCCZZ.FF. G99 D99 F99 
5 3 2	..GGG...E..DAAE..D.....DH.BBCCHZZ.FF D99 H99 Z99 
5 3 2	GGG..D..E..DAAE..D......H.BBCCHZZ.FF G98 H99 Z99 
5 3 2	.GGG.D..E..DAAE..D......H.BBCCHZZ.FF G99 H99 Z99 
5 3 2	...GGG..E..DAAE..DH....DH.BBCC.ZZ.FF G99 D99 Z99 
5 3 2	..GGG......DAAE..DH.E..DHBB.CCZZ..FF D99 E99 B99 
5 3 2	.GGG.D.....DAAE..DH.E...H.BBCCZZFF.. G99 E99 F98 
5 3 2	.GGG....E..DAAE..DH....DH.BBCCZZFF.. G99 D99 F98 
5 3 2	..GGG...E..DAAE..D.....DH.BBCCH.ZZFF D99 H99 Z98 
5 3 2	..GGGD..E..DAAE..D......HBB.CCHZZ.FF H99 B99 Z99 
6 5 1	H.EGGGH.E..D..AA.D.....D..BBCCZZ..FF G99 D99 E99 A98 H97 
6 5 1	H.EGGGH.E..D...AAD.....D..BBCCZZ..FF G99 D99 E99 A97 H97 
6 5 1	..EGGGH.E..DH..AAD.....D..BBCCZZ..FF G99 D99 E99 A97 H98 
6 5 1	..GGG...E...AAE...H....DHBBCCDZZFF.D D97 B99 C99 F98 
