6 0 6	JJJ.PSFF..PSHAADPUH.NDLUBINDLOBINGGO 
6 1 5	JJJ.PSFF.DPSHAADPUH.NDLUBIN.LOBINGGO D99 
7 1 6	JJJ.PS..FFPSHAADPUH.NDLUBINDLOBINGGO F98 
7 1 6	JJJ.PSFF..PSHAADPUHINDLUBINDLOB.NGGO I99 
7 2 5	JJJ.PS.FFDPSHAADPUH.NDLUBIN.LOBINGGO F99 D99 
7 2 5	JJJ.PSFF.DPSHAADPUHINDLUBIN.LOB.NGGO D99 I99 
7 1 6	.JJJPSFF..PSHAADPUH.NDLUBINDLOBINGGO J99 
7 1 6	JJJDPSFF.DPSHAADPUH.N.LUBIN.LOBINGGO D98 
8 2 6	JJJ.PS..FFPSHAADPUHINDLUBINDLOB.NGGO F98 I99 
8 2 6	JJJDPSFF.DPSHAADPUHIN.LUBIN.LOB.NGGO D98 I99 
8 3 5	JJJ.PSHFFDPSHAADPU..NDLUBIN.LOBINGGO F99 H99 D99 
8 2 6	JJJDPS.FFDPSHAADPUH.N.LUBIN.LOBINGGO F99 D98 
8 2 6	JJJ.PS.FF.PSHAADPUHINDLUBINDLOB.NGGO F99 I99 
8 3 5	JJJ.PS.FFDPSHAADPUHINDLUBIN.LOB.NGGO F99 D99 I99 
8 2 6	.JJJPS.FF.PSHAADPUH.NDLUBINDLOBINGGO J99 F99 
8 2 6	.JJJPSFF..PSHAADPUHINDLUBINDLOB.NGGO J99 I99 
8 2 6	JJJ.PSH.FFPSHAADPU..NDLUBINDLOBINGGO F98 H99 
9 3 6	.JJJPS..FFPSHAADPUHINDLUBINDLOB.NGGO J99 F98 I99 
9 3 6	JJJ.PSH.FFPSHAADPU.INDLUBINDLOB.NGGO F98 H99 I99 
9 4 5	JJJ.PSHFFDPSHAADPU.INDLUBIN.LOB.NGGO F99 H99 D99 I99 
9 3 6	.JJJPSH.FFPSHAADPU..NDLUBINDLOBINGGO J99 F98 H99 
9 3 6	JJJ.PSH.FFPSHAADPUB.NDLUBINDLO.INGGO F98 H99 B99 
9 3 6	JJJDPS.FFDPSHAADPUH.N.LUBIN.LOBINGGO F99 D98 
9 3 6	JJJDPS.FFDPSHAADPUHIN.LUBIN.LOB.NGGO F99 D98 I99 
9 3 6	JJJ.PS.FF.PSHAADPUH.NDLUBINDLOBINGGO F99 D96 
9 3 6	JJJ.PSHFF.PSHAADPU.INDLUBINDLOB.NGGO F99 H99 I99 
9 3 6	.JJJPSHFF.PSHAADPU..NDLUBINDLOBINGGO J99 F99 H99 
9 3 6	JJJDPSHFFDPSHAADPU..N.LUBIN.LOBINGGO F99 H99 D98 
9 3 6	JJJ.PSHFF.PSHAADPU..NDLUBINDLOBINGGO F97 H99 
9 3 6	.JJJPSFF.DPSHAADPUHINDLUBIN.LOB.NGGO J99 D99 I99 
9 3 6	.JJJPS.FF.PSHAADPUHINDLUBINDLOB.NGGO J99 F99 I99 
9 3 6	HJJJPSHFF.PS.AADPU..NDLUBINDLOBINGGO J99 F99 H98 
9 4 5	JJJ.PSHFFDPSHAADPUB.NDLUBIN.LO.INGGO F99 H99 D99 B99 
10 4 6	.JJJPSHFFDPSHAADPU..NDLUBIN.LOBINGGO J99 F99 H99 D99 
10 4 6	JJJ.PSH.FFPSHAADPUBINDLUBINDLO..NGGO F98 H99 B99 I99 
10 4 6	.JJJPSH.FFPSHAADPUB.NDLUBINDLO.INGGO J99 F98 H99 B99 
10 4 6	HJJJPSHFF.PSBAADPUB.NDLU.INDLO.INGGO J99 F99 H98 B98 
10 4 6	.JJJPS..FFPSHAADPUH.NDLUBINDLOBINGGO J99 F98 I98 
10 5 5	JJJ.PSHFFDPSHAADPUBINDLUBIN.LO..NGGO F99 H99 D99 B99 I99 
10 4 6	JJJ.PSHFF.PSHAADPUB.NDLUBINDLO.INGGO F97 H99 B99 
10 4 6	HJJJPSH.FFPS.AADPU..NDLUBINDLOBINGGO J99 F98 H98 
10 4 6	HJJJPSHFF.PS.AADPUB.NDLUBINDLO.INGGO J99 F99 H98 B99 
10 4 6	HJJJPSHFFDPS.AADPU..NDLUBIN.LOBINGGO J99 F99 H98 D99 
10 4 6	HJJJPSH.FFPS.AADPU.INDLUBINDLOB.NGGO J99 F98 H98 I99 
10 4 6	.JJJPSHFF.PSHAADPU.INDLUBINDLOB.NGGO J99 F99 H99 I99 
10 4 6	HJJJPSHFF.PS.AADPU.INDLUBINDLOB.NGGO J99 F99 H98 I99 
10 4 6	HJJJPSHFF.PSAA.DPU..NDLUBINDLOBINGGO J99 F99 H98 A99 
10 4 6	.JJJPSH.FFPSHAADPU.INDLUBINDLOB.NGGO J99 F98 H99 I99 
10 4 6	JJJDPSHFFDPSHAADPU.IN.LUBIN.LOB.NGGO F99 H99 D98 I99 
10 4 6	JJJ.PSHFF.PSHAADPUBINDLUBINDLO..NGGO F99 H99 B99 I99 
10 4 6	.JJJPSFF.DPSHAADPUH.NDLUBIN.LOBINGGO J99 D99 I98 
10 4 6	JJJDPSHFFDPSHAADPUB.N.LUBIN.LO.INGGO F99 H99 D98 B99 
10 4 6	JJJDPSHFFDPSHAADPU..N.LUBIN.LOBINGGO F99 H99 D98 
10 4 6	.JJJPS.FFDPSHAADPUHINDLUBIN.LOB.NGGO J99 F99 D99 I99 
10 4 6	JJJ.PSHFF.PSHAADPU..NDLUBINDLOBINGGO F99 H99 D98 
11 5 6	.JJJPSHFFDPSHAADPUB.NDLUBIN.LO.INGGO J99 F99 H99 D99 B99 
11 5 6	.JJJPSH.FFPSHAADPUBINDLUBINDLO..NGGO J99 F98 H99 B99 I99 
11 5 6	HJJJPSH.FFPSAA.DPU..NDLUBINDLOBINGGO J99 F98 H98 A99 
11 5 6	.JJJPS.FFDPSHAADPUH.NDLUBIN.LOBINGGO J99 F99 H98 D99 
11 5 6	HJJJPSHFFDPSBAADPUB.NDLU.IN.LO.INGGO J99 F99 H98 D99 B98 
11 5 6	HJJJPSH.FFPS.AADPUB.NDLUBINDLO.INGGO J99 F98 H98 B99 
11 5 6	HJJJPSH.FFPSBAADPUB.NDLU.INDLO.INGGO J99 F98 H98 B98 
11 5 6	HJJJPSHFF.PSBAADPUBINDLU.INDLO..NGGO J99 F99 H98 B98 I99 
11 5 6	JJJDPSHFFDPSHAADPU.IN.LUBIN.LOB.NGGO F99 H99 D98 I99 
11 5 6	.JJJPSHFF.PSHAADPUBINDLUBINDLO..NGGO J99 F99 H99 B99 I99 
11 5 6	HJJJPSH.FFPSBAADPUBINDLU.INDLO..NGGO J99 F98 H98 B98 I99 
11 5 6	HJJJPSHFF.PS.AADPUBINDLUBINDLO..NGGO J99 F99 H98 B99 I99 
11 5 6	HJJJPSHFFDPS.AADPU.INDLUBIN.LOB.NGGO J99 F99 H98 D99 I99 
11 5 6	HJJJPSHFF.PSAA.DPU.INDLUBINDLOB.NGGO J99 F99 H98 A99 I99 
11 5 6	HJJJPSHFF.PSAA.DPUB.NDLUBINDLO.INGGO J99 F99 H98 A99 B99 
11 5 6	HJJJPSHFFDPS.AADPUB.NDLUBIN.LO.INGGO J99 F99 H98 D99 B99 
11 5 6	.JJJPSHFFDPSHAADPU.INDLUBIN.LOB.NGGO J99 F99 H99 D99 I99 
11 5 6	HJJJPSH.FFPS.AADPUBINDLUBINDLO..NGGO J99 F98 H98 B99 I99 
11 5 6	HJJJPSH.FFPSAA.DPU.INDLUBINDLOB.NGGO J99 F98 H98 A99 I99 
11 5 6	JJJDPSHFFDPSHAADPUBIN.LUBIN.LO..NGGO F99 H99 D98 B99 I99 
11 5 6	HJJJPSHFFDPSAA.DPU..NDLUBIN.LOBINGGO J99 F99 H98 A99 D99 
12 6 6	JJJDPSHFFDPSHAADPUBIN.LUBIN.LO..NGGO F99 H99 D98 B99 I99 
12 6 6	.JJJPSHFFDPSHAADPUBINDLUBIN.LO..NGGO J99 F99 H99 D99 B99 I99 
12 6 6	.JJJPSHFF.PSHAADPUB.NDLUBINDLO.INGGO J99 F99 H99 D98 B99 
12 6 6	HJJJPSH.FFPSAA.DPUB.NDLUBINDLO.INGGO J99 F98 H98 A99 B99 
12 6 6	HJJJPSHFFDPSBAADPUBINDLU.IN.LO..NGGO J99 F99 H98 D99 B98 I99 
12 6 6	HJJJPSHFFDPS.AADPUBINDLUBIN.LO..NGGO J99 F99 H98 D99 B99 I99 
12 6 6	HJJJPSHFFDPSAA.DPU.INDLUBIN.LOB.NGGO J99 F99 H98 A99 D99 I99 
12 6 6	HJJJPSHFFDPSAA.DPUB.NDLUBIN.LO.INGGO J99 F99 H98 A99 D99 B99 
12 6 6	HJJJPSH.FFPSAA.DPUBINDLUBINDLO..NGGO J99 F98 H98 A99 B99 I99 
12 6 6	HJJJPSHFF.PSAA.DPUBINDLUBINDLO..NGGO J99 F99 H98 A99 B99 I99 
13 5 8	HJJJPSHFF.PSAANDPU..NDLUBINDLOBI.GGO J99 F99 H98 A99 N99 
13 7 6	HJJJPSHFFDPSAA.DPUBINDLUBIN.LO..NGGO J99 F99 H98 A99 D99 B99 I99 
14 6 8	HJJJPSHFF.PSAANDPUB.NDLUBINDLO.I.GGO J99 F99 H98 A99 N99 B99 
14 6 8	HJJJPSHFF.PSAANDPU..NDLUBINDLOBIGG.O J99 F99 H98 A99 N99 G99 
14 6 8	HJJJPSHFF.PSAANDPU.INDLUBINDLOB..GGO J99 F99 H98 A99 N99 I99 
14 6 8	HJJJPSH.FFPSAANDPU.INDLUBINDLOB..GGO J99 F98 H98 A99 N99 I99 
14 7 7	HJJJPSHFF.PSAANDPU.INDLUBINDLOBGG..O J99 F99 H98 A99 N99 I99 G98 
14 6 8	HJJJPSH.FFPSAANDPU..NDLUBINDLOBI.GGO J99 F98 H98 A99 N99 
14 6 8	HJJJPSHFFDPSAANDPU..NDLUBIN.LOBI.GGO J99 F99 H98 A99 D99 N99 
14 8 6	HJJJPSHFF.PSAAN.PU.INDLUBINDLOBGGD.O J99 F99 H98 A99 D99 N99 I99 G98 
15 7 8	HJJJPSHFF.PSAANDPUBINDLUBINDLO...GGO J99 F99 H98 A99 N99 B99 I99 
15 7 8	HJJJPSHFF.PSAANDPU..ND.UBINDLOBIGGLO J99 F99 H98 A99 N99 L99 G99 
15 7 8	HJJJPSH.FFPSAANDPU.INDLUBINDLOB.GG.O J99 F98 H98 A99 N99 I99 G99 
15 9 6	HJJJPSHFF.PSAAN.PUBINDLUBINDLO.GGD.O J99 F99 H98 A99 D99 N99 B99 I99 G98 
15 8 7	HJJJPSHFF.PSAANDPUBINDLUBINDLOGG...O J99 F99 H98 A99 N99 B99 I99 G97 
15 7 8	HJJJPSH.FFPSAANDPUBINDLUBINDLO...GGO J99 F98 H98 A99 N99 B99 I99 
15 9 6	HJJJPSHFF.PSAAN.PUBINDLUBINDLOGG.D.O J99 F99 H98 A99 D99 N99 B99 I99 G97 
14 10 4	HJJJPSHFF.PSAA..PUBINDLUBINDLOGGND.O J99 F99 H98 A99 D99 N98 B99 I99 G97 
