2 2 0	.OOTT.YIIIPFYAA.PFMCCDD.M.UUULKK.EEL U99 K99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.LKK.EE. L99 K99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDDLMUUU.L.KK.EE L99 E99 
2 2 0	.OOTT.YIIIPFYAA.PFMCCDD.MUUU.LKKEE.L K99 E99 
3 3 0	OOTTP.YIIIPFYAA..FMCCDD.MUUU.L.KKEEL O99 T99 P99 
3 3 0	OOTT..YIIIP.YAA.PFMCCDDFMUUU.L.KKEEL O99 T99 F99 
3 3 0	OOTT.FYIIIPFYAA.P.MCCDD.MUUU.L.KKEEL O99 T99 F99 
3 3 0	OOTT..YIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 T99 A99 
3 3 0	OOTT..YIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 T99 M99 
3 3 0	OOTT..YIIIPFYAA.PFMCC.DDMUUU.L.KKEEL O99 T99 D99 
3 3 0	OOTT..YIIIPFYAA.PFMCCDD.M.UUUL.KKEEL O99 T99 U99 
3 3 0	OOTT..YIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 T99 L99 
3 3 0	OOTT..YIIIPFYAA.PFMCCDD.MUUU.LKK.EEL O99 T99 K99 
3 3 0	OO..TTYIIIP.YAA.PFMCCDDFMUUU.L.KKEEL O99 T99 F99 
3 3 0	OO..TTYIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 T99 A99 
3 3 0	OO..TTYIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 T99 M99 
3 3 0	OO..TTYIIIPFYAA.PFMCC.DDMUUU.L.KKEEL O99 T99 D99 
3 3 0	OO..TTYIIIPFYAA.PFMCCDD.M.UUUL.KKEEL O99 T99 U99 
3 3 0	OO..TTYIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 T99 L99 
3 3 0	OO..TTYIIIPFYAA.PFMCCDD.MUUU.LKK.EEL O99 T99 K99 
3 3 0	OO.TT.YIIIP.Y.AAPFMCCDDFMUUU.L.KKEEL O99 F99 A99 
3 3 0	OO.TT.YIIIP.YAA.PF.CCDDFMUUU.LMKKEEL O99 F99 M99 
3 3 0	OO.TT.YIIIP.YAA.PFMCCDDFM.UUUL.KKEEL O99 F99 U99 
3 3 0	OO.TT.YIIIP.YAA.PFMCCDDFMUUU.LKK.EEL O99 F99 K99 
3 3 0	OO.TTFYIIIPFY.AAP.MCCDD.MUUU.L.KKEEL O99 F99 A99 
3 3 0	OO.TTFYIIIPFYAA.P..CCDD.MUUU.LMKKEEL O99 F99 M99 
3 3 0	OO.TTFYIIIPFYAA.P.MCC.DDMUUU.L.KKEEL O99 F99 D99 
3 3 0	OO.TTFYIIIPFYAA.P.MCCDD.M.UUUL.KKEEL O99 F99 U99 
3 3 0	OO.TTFYIIIPFYAA.P.MCCDDLMUUU.L.KKEE. O99 F99 L99 
3 3 0	OO.TTFYIIIPFYAA.PLMCCDDLMUUU...KKEE. O99 F99 L98 
3 3 0	OO.TTFYIIIPFYAA.P.MCCDD.MUUU.LKK.EEL O99 F99 K99 
3 3 0	OO.TT.YIIIPFY.AAPF.CCDD.MUUU.LMKKEEL O99 A99 M99 
3 3 0	OO.TT.YIIIPFY.AAPFMCC.DDMUUU.L.KKEEL O99 A99 D99 
3 3 0	OO.TT.YIIIPFY.AAPFMCCDD.M.UUUL.KKEEL O99 A99 U99 
3 3 0	OO.TT.YIIIPFY.AAPFMCCDDLMUUU.L.KKEE. O99 A99 L99 
3 3 0	OO.TT.YIIIPFY.AAPFMCCDD.MUUU.LKK.EEL O99 A99 K99 
3 3 0	OO.TT..IIIPFYAA.PFYCCDD.MUUU.LMKKEEL O99 Y99 M99 
3 3 0	OO.TT.YIIIPFYAA.PFCC.DD.MUUU.LMKKEEL O99 M99 C99 
3 3 0	OO.TT.YIIIPFYAA.PF.CC.DDMUUU.LMKKEEL O99 M99 D99 
3 3 0	OO.TT.YIIIPFYAA.PF.CCDD.M.UUULMKKEEL O99 M99 U99 
3 3 0	OO.TT.YIIIPFYAA.PF.CCDDLMUUU.LMKKEE. O99 M99 L99 
3 3 0	OO.TT.YIIIPFYAA.PFM.CCDDMUUU.L.KKEEL O99 C99 D99 
3 3 0	OO.TT.YIIIPFYAA.PFMCC.DDM.UUUL.KKEEL O99 D99 U99 
3 3 0	OO.TT.YIIIPFYAA.PFMCC.DDMUUU.LKK.EEL O99 D99 K99 
3 3 0	OO.TT.YIIIPFYAA.PFMCCDDLM.UUUL.KKEE. O99 U99 L99 
3 3 0	OO.TT.YIIIPFYAA.PFMCCDD.M.UUULKK.EEL O99 U99 K99 
3 3 0	OO.TT.YIIIPFYAA.PFMCCDDLMUUU.LKK.EE. O99 L99 K99 
3 3 0	OO.TT.YIIIPFYAA.PFMCCDDLMUUU.L.KK.EE O99 L99 E99 
3 3 0	OO.TT.YIIIPFYAA.PFMCCDD.MUUU.LKKEE.L O99 K99 E99 
3 3 0	Y.OOTTYIIIPF.AA.PFMCCDD.MUUU.L.KKEEL O99 T99 Y99 
3 3 0	..OOTTYIIIP.YAA.PFMCCDDFMUUU.L.KKEEL O99 T99 F99 
3 3 0	..OOTTYIIIPFY.AAPFMCCDD.MUUU.L.KKEEL O99 T99 A99 
3 3 0	..OOTTYIIIPFYAA.PF.CCDD.MUUU.LMKKEEL O99 T99 M99 
3 3 0	..OOTTYIIIPFYAA.PFMCC.DDMUUU.L.KKEEL O99 T99 D99 
3 3 0	..OOTTYIIIPFYAA.PFMCCDD.M.UUUL.KKEEL O99 T99 U99 
3 3 0	..OOTTYIIIPFYAA.PFMCCDDLMUUU.L.KKEE. O99 T99 L99 
3 3 0	..OOTTYIIIPFYAA.PFMCCDD.MUUU.LKK.EEL O99 T99 K99 
3 3 0	YOO.TTYIIIP..AA.PFMCCDDFMUUU.L.KKEEL T99 Y99 F99 
3 3 0	YOO.TTYIIIPFAA..PFMCCDD.MUUU.L.KKEEL T99 Y99 A99 
3 3 0	YOO.TTYIIIPF..AAPFMCCDD.MUUU.L.KKEEL T99 Y99 A99 
