4 4 0	..TTT.......AAB.....B.CG.DEECG.D..CG T98 G97 B99 F99 
4 4 0	..TTT.......AABFF..DB.CG.DEECG....CG T98 G97 B99 D99 
4 4 0	..TTT...B...AAB.C.....CG.DEECG.D...G T98 G97 F99 C99 
4 4 0	..TTT...B.C.AAB.C.....CG.DEE.G.D...G T98 G97 F99 C98 
4 4 0	..TTT...B...AAB..G....CG.DEECG.D..C. T98 G96 F99 
4 4 0	..TTT...B..GAAB..G....CG.DEEC..D..C. T98 G95 F99 
4 4 0	..TTTG..B..GAAB..G....C..DEEC..D..C. T98 G94 F99 
4 4 0	..TTT...B...AAB....D..CG.DEECG....CG T98 G97 F99 D99 
4 4 0	...TTT.....GAABFFG.DB.CG.DEEC.....C. T97 G99 B99 D99 
4 4 0	..BTTT..B..G.AAFFG....CG.DEEC..D..C. T97 G99 B99 A99 
4 4 0	..BTTT..B..GAAFF.G....CG.DEEC..D..C. T97 G99 B99 F99 
4 4 0	..BTTT..B..GAA.FFG.D..CG.DEEC.....C. T97 G99 B99 D99 
4 4 0	...TTT......AABFFG.DB.CG.DEECG....C. T97 G98 B99 D99 
4 4 0	..BTTT..B....AAFFG....CG.DEECG.D..C. T97 G98 B99 A99 
4 4 0	..BTTT..B...AAFF.G....CG.DEECG.D..C. T97 G98 B99 F99 
4 4 0	..BTTT..B...AA.FFG.D..CG.DEECG....C. T97 G98 B99 D99 
4 4 0	...TTT......AAB.....B.CG.DEECG.D..CG T97 G97 B99 F99 
4 4 0	...TTT......AABFF..DB.CG.DEECG....CG T97 G97 B99 D99 
4 4 0	..BTTT..B....AAFF.....CG.DEECG.D..CG T97 G97 B99 A99 
4 4 0	..BTTT..B...AAFF......CG.DEECG.D..CG T97 G97 B99 F99 
4 4 0	..BTTT..B...AA........CG.DEECG.D..CG T97 G97 B99 F99 
4 4 0	..BTTT..B...AA.FF..D..CG.DEECG....CG T97 G97 B99 D99 
4 4 0	...TTT..B...AAB.C.....CG.DEECG.D...G T97 G97 F99 C99 
4 4 0	...TTT..B.C.AAB.C.....CG.DEE.G.D...G T97 G97 F99 C98 
4 4 0	...TTT..B...AAB..G....CG.DEECG.D..C. T97 G96 F99 
4 4 0	...TTT..B..GAAB..G....CG.DEEC..D..C. T97 G95 F99 
4 4 0	...TTT..B...AAB....D..CG.DEECG....CG T97 G97 F99 D99 
4 4 0	TTT.........AAB.C...B.CG.DEECG.D...G G97 B99 F99 C99 
4 4 0	TTT.......C.AAB.C...B.CG.DEE.G.D...G G97 B99 F99 C98 
4 4 0	TTT.C.....C.AAB.C...B..G.DEE.G.D...G G97 B99 F99 C97 
4 4 0	TTT.........AAB..G..B.CG.DEECG.D..C. G96 B99 F99 
