0 0 0	Z...C.Z...C.Z.AAC.EEEB..Y..BDDY..... 
4 4 0	Z.....Z.....ZAAB..EEEBC.YDD.C.Y...C. C97 A99 B99 D97 
4 4 0	Z...C.Z...C.ZAA.C.EEEB..YDDB..Y..... A99 B98 D97 
4 4 0	Z...C.Z...C.ZAA.C.EEE...YDDB..Y..B.. A99 B97 D97 
4 4 0	....C.Z..BC.ZAABC.ZEEE..Y...DDY..... Z99 B98 A99 E99 
4 4 0	Z...C.Z..BC.ZAABC.YEEE..Y...DD...... A99 E99 B98 Y99 
4 4 0	Z...C.Z..BC.ZAABC..EEE..Y..DD.Y..... A99 E99 B98 D99 
4 4 0	Z...C.Z..BC.ZAABC..EEE..Y.DD..Y..... A99 E99 B98 D98 
4 4 0	Z...C.Z..BC.ZAABC..EEE..YDD...Y..... A99 E99 B98 D97 
4 4 0	....C.Z..BC.ZAABC.Z.EEE.Y...DDY..... Z99 B98 A99 E98 
4 4 0	Z...C.Z..BC.ZAABC.Y.EEE.Y...DD...... A99 E98 B98 Y99 
4 4 0	Z...C.Z..BC.ZAABC...EEE.Y..DD.Y..... A99 E98 B98 D99 
4 4 0	Z...C.Z..BC.ZAABC...EEE.Y.DD..Y..... A99 E98 B98 D98 
4 4 0	Z...C.Z..BC.ZAABC...EEE.YDD...Y..... A99 E98 B98 D97 
4 4 0	....C.Z..BC.ZAABC.Z..EEEY...DDY..... Z99 B98 A99 E97 
4 4 0	Z...C.Z..BC.ZAABC.Y..EEEY...DD...... A99 E97 B98 Y99 
4 4 0	Z...C.Z..BC.ZAABC....EEEY..DD.Y..... A99 E97 B98 D99 
4 4 0	Z...C.Z..BC.ZAABC....EEEY.DD..Y..... A99 E97 B98 D98 
4 4 0	Z...C.Z..BC.ZAABC....EEEYDD...Y..... A99 E97 B98 D97 
4 4 0	Z.....Z..B..ZAABC.EEE.C.Y.DDC.Y..... C98 A99 B98 D98 
4 4 0	Z.....Z..B..ZAAB..EEE.C.Y.DDC.Y...C. C97 A99 B98 D98 
4 4 0	Z.....Z..B..ZAABC.EEE.C.YDD.C.Y..... C98 A99 B98 D97 
4 4 0	Z.....Z..B..ZAAB..EEE.C.YDD.C.Y...C. C97 A99 B98 D97 
4 4 0	Z..BC.Z..BC.Z.AAC..EEE..Y...DDY..... A98 E99 B97 
4 4 0	Z..BC.Z..BC.Z.AAC...EEE.Y...DDY..... A98 E98 B97 
4 4 0	Z..BC.Z..BC.Z.AAC....EEEY...DDY..... A98 E97 B97 
4 4 0	Z..BC.Z..BC.Z.AAC.EEE...Y..DD.Y..... A98 B97 D99 
4 4 0	Z..BC.Z..BC.Z.AAC.EEE...Y.DD..Y..... A98 B97 D98 
4 4 0	Z..BC.Z..BC.Z.AAC.EEE...YDD...Y..... A98 B97 D97 
4 4 0	...BC.Z..BC.ZAA.C.ZEEE..Y...DDY..... Z99 B97 A99 E99 
4 4 0	Z..BC.Z..BC.ZAA.C.YEEE..Y...DD...... A99 E99 B97 Y99 
4 4 0	Z..BC.Z..BC.ZAA.C..EEE..Y..DD.Y..... A99 E99 B97 D99 
4 4 0	Z..BC.Z..BC.ZAA.C..EEE..Y.DD..Y..... A99 E99 B97 D98 
4 4 0	Z..BC.Z..BC.ZAA.C..EEE..YDD...Y..... A99 E99 B97 D97 
4 4 0	...BC.Z..BC.ZAA.C.Z.EEE.Y...DDY..... Z99 B97 A99 E98 
4 4 0	Z..BC.Z..BC.ZAA.C.Y.EEE.Y...DD...... A99 E98 B97 Y99 
4 4 0	Z..BC.Z..BC.ZAA.C...EEE.Y..DD.Y..... A99 E98 B97 D99 
