0 0 0	..B.....B...AAB.......C..DEEC..D..C. 
6 6 0	.D..C..D..C..AA.C...B.....BEE...B... B97 C97 A97 D96 E99 
6 6 0	.D..C..D..C.AA..C...B.....BEE...B... B97 C97 A96 D96 E99 
6 6 0	.D..C..D..C..AA.C...B.....B.EE..B... B97 C97 A97 D96 E98 
6 6 0	.D..C..D..C.AA..C...B.....B.EE..B... B97 C97 A96 D96 E98 
7 7 0	.D.....D..C.AAB.C...B.C...BEE....... B96 C98 A96 D96 E99 
7 7 0	.D.....DB.C.AAB.C...B.C....EE....... B95 C98 A96 D96 E99 
7 7 0	.DB....DB.C.AAB.C.....C....EE....... B94 C98 A96 D96 E99 
7 7 0	.D.....D..C.AAB.C...B.C...B.EE...... B96 C98 A96 D96 E98 
7 7 0	.D.....DB.C.AAB.C...B.C.....EE...... B95 C98 A96 D96 E98 
7 7 0	.DB....DB.C.AAB.C.....C.....EE...... B94 C98 A96 D96 E98 
7 7 0	.D..C..D..C.AAB.C...B.....BEE....... B96 C97 A96 D96 E99 
7 7 0	.D..C..DB.C.AAB.C...B......EE....... B95 C97 A96 D96 E99 
7 7 0	.DB.C..DB.C.AAB.C..........EE....... B94 C97 A96 D96 E99 
7 7 0	.D..C..D..C.AAB.C...B.....B.EE...... B96 C97 A96 D96 E98 
7 7 0	.D..C..DB.C.AAB.C...B.......EE...... B95 C97 A96 D96 E98 
7 7 0	.DB.C..DB.C.AAB.C...........EE...... B94 C97 A96 D96 E98 
8 8 0	.D.....DB.C.AAB.C...B.C...EE........ B95 C98 A96 D96 E98 
8 8 0	.D.....DB.C.AAB.C...B.C..EE......... B95 C98 A96 D96 E97 
8 8 0	.D.....DB.C.AAB.C...B.C.EE.......... B95 C98 A96 D96 E96 
8 8 0	.DB....DB.C.AAB.C.....C...EE........ B94 C98 A96 D96 E98 
8 8 0	.DB....DB.C.AAB.C.....C..EE......... B94 C98 A96 D96 E97 
8 8 0	.DB....DB.C.AAB.C.....C.EE.......... B94 C98 A96 D96 E96 
8 8 0	.D..C..DB.C.AAB.C...B.....EE........ B95 C97 A96 D96 E98 
8 8 0	.D..C..DB.C.AAB.C...B....EE......... B95 C97 A96 D96 E97 
8 8 0	.D..C..DB.C.AAB.C...B...EE.......... B95 C97 A96 D96 E96 
8 8 0	.DB.C..DB.C.AAB.C.........EE........ B94 C97 A96 D96 E98 
8 8 0	.DB.C..DB.C.AAB.C........EE......... B94 C97 A96 D96 E97 
8 8 0	.DB.C..DB.C.AAB.C.......EE.......... B94 C97 A96 D96 E96 
9 9 0	.D.....DB...AAB.C...B.C...EEC....... B95 C97 A96 D96 E98 
9 9 0	.D.....DB...AAB.....B.C...EEC.....C. B95 C96 A96 D96 E98 
9 9 0	.D.....DB...AAB.C...B.C..EE.C....... B95 C97 A96 D96 E97 
9 9 0	.D.....DB...AAB.....B.C..EE.C.....C. B95 C96 A96 D96 E97 
9 9 0	.D.....D..C.AAB.C...B.C.EEB......... B94 C98 A96 D96 E96 
9 9 0	.D.....D..C.AA..C...B.C.EEB.....B... B93 C98 A96 D96 E96 
9 9 0	.D.....DB...AAB.C...B.C.EE..C....... B95 C97 A96 D96 E96 
9 9 0	.D.....DB...AAB.....B.C.EE..C.....C. B95 C96 A96 D96 E96 
9 9 0	.DB....DB...AAB.C.....C...EEC....... B94 C97 A96 D96 E98 
9 9 0	.DB....DB...AAB.......C...EEC.....C. B94 C96 A96 D96 E98 
9 9 0	.DB....DB...AAB.C.....C..EE.C....... B94 C97 A96 D96 E97 
9 9 0	.DB....DB...AAB.......C..EE.C.....C. B94 C96 A96 D96 E97 
9 9 0	.DB....DB...AAB.C.....C.EE..C....... B94 C97 A96 D96 E96 
9 9 0	.DB....DB...AAB.......C.EE..C.....C. B94 C96 A96 D96 E96 
9 9 0	.D..C..D..C.AAB.C...B...EEB......... B94 C97 A96 D96 E96 
9 9 0	.D..C..D..C.AA..C...B...EEB.....B... B93 C97 A96 D96 E96 
