11 2 9	..D.B...DGB.AADGB....G..ECC...E.FF.. G99 B97 
11 5 6	....B...D.B.AAD.B.E.DG..ECCG...FFG.. D99 G99 B97 E99 F99 
11 2 9	..D.....D.B.AADGB....GB.ECCG..EFF... B98 F99 
11 5 6	..D.....DG..AADG..E..GB.ECC.B.FF..B. G97 E99 F98 
11 2 9	..D.....DG..AADGB....GB.ECC.B.E.FF.. G99 B99 
11 2 9	....B...D.B.AADGB...DG..ECCG..E.FF.. D99 B97 
11 5 6	........DG..AADG..E.DGB.ECC.B..FF.B. D99 G97 E99 F99 
11 2 9	..D.B...D.B.AADGB.E..G..ECCG....FF.. B97 E99 
11 5 6	........D...AADG..E.DGB.ECCGB..FF.B. D99 G98 E99 F99 
11 5 6	..D.....D.B.AAD.B.E..GB.ECCG.....GFF G99 B98 E99 F98 
11 2 9	........D.B.AADGB...DGB.ECCG..E.FF.. D99 B98 
11 2 9	..D.....D...AADGB.E..GB.ECCGB...FF.. B99 E99 
11 2 9	........D...AADGB...DGB.ECCGB.E.FF.. D99 B99 
11 5 6	..D.B...D.B.AAD.B.E..G..ECCG.....GFF G99 B97 E99 F98 
11 5 6	....B...D.B.AAD.B...DG..ECCG..E..GFF D99 B97 G99 F98 
11 5 6	........D...AAD.B.E.DGB.ECCGB....GFF D99 B99 G99 E99 F98 
11 2 9	..D.B...D.B.AADGB....G..ECCG..E..FF. B97 F99 
11 5 6	........DG..AADG..E.DGB.E.CCB.FF..B. D99 G99 E99 C99 F98 
11 5 6	...G....DG..AADG..E.D.B.ECC.B..FF.B. D99 G96 E99 F99 
11 2 9	..D.....D.B.AADGB.E..GB.ECCG....FF.. B98 E99 
11 5 6	........D.B.AAD.B...DGB.ECCG..E..GFF D99 B98 G99 F98 
11 2 9	..D.....D.B.AADGB....GB.ECCG..E..FF. B98 F99 
11 2 9	..D.....D.B.AADGB....GB.ECCG..E...FF B98 F98 
11 5 6	..DG....DG..AADG..E...B.ECC.B.FF..B. G96 E99 F98 
11 5 6	..D.B...D.B.AAD.B.E..G..ECCG..FF.G.. G99 B97 E99 F98 
11 5 6	........DG..AADG..E.DGB.E.CCB..FF.B. D99 G99 E99 C99 F99 
12 3 9	........D.B.AADGB.E.DGB.ECCG....FF.. D99 B98 E99 
12 3 9	........D...AADGB.E.DGB.ECCGB...FF.. D99 B99 E99 
12 3 9	..D.....DG..AADGB.E..GB.ECC.B...FF.. G99 B99 E99 
12 3 9	...GB...DGB.AADGB...D...ECC...E.FF.. D99 G98 B97 
12 3 9	..D.....DGB.AADGB....GB.ECC...E...FF G99 B98 F98 
12 3 9	....B...DGB.AADGB...DG..ECC...E.FF.. D99 G99 B97 
12 3 9	..D.B...DGB.AADGB....G..ECC...EFF... G99 B97 F99 
12 3 9	..DG....DGB.AADGB.....B.ECC...E...FF G98 B98 F98 
12 3 9	..D.....DG..AADGB....GB.ECC.B.EFF... G99 B99 F99 
12 3 9	........D.B.AADGB...DGB.ECCG..EFF... D99 B98 F99 
12 3 9	........D...AADGB...DGB.ECCGB.EFF... D99 B99 F99 
12 3 9	..D.....DGB.AADGB....GB.ECC...EFF... G99 B98 F99 
12 3 9	..D.....D...AADGB.E..GB.ECCGB....FF. B99 E99 F99 
12 3 9	..D.B...D.B.AADGB.E..G..ECCG......FF B97 E99 F98 
12 3 9	..D.B...DGB.AADGB....G..ECC...E..FF. G99 B97 F99 
12 3 9	....B...D.B.AADGB...DG..ECCG..EFF... D99 B97 F99 
12 3 9	........DGB.AADGB...DGB.ECC...E.FF.. D99 G99 B98 
12 3 9	........DG..AADGB...DGB.ECC.B.E.FF.. D99 G99 B99 
12 3 9	....B...D.B.AADGB...DG..ECCG..E..FF. D99 B97 F99 
12 3 9	..D.....D.B.AADGB.E..GB.ECCG.....FF. B98 E99 F99 
12 3 9	...G....DGB.AADGB...D.B.ECC...E.FF.. D99 G98 B98 
12 3 9	...G....DG..AADGB...D.B.ECC.B.E.FF.. D99 G98 B99 
12 3 9	..DG....DGB.AADGB.....B.ECC...EFF... G98 B98 F99 
12 3 9	..DGB...DGB.AADGB.......ECC...EFF... G98 B97 F99 
12 3 9	..D.B...DGB.AADGB....G..E...CCE.FF.. G99 B97 C97 
12 3 9	........D.B.AADGB...DGB.ECCG..E..FF. D99 B98 F99 
12 6 6	....B...D.B.AAD.B.E.DG..ECCG.....GFF D99 B97 E99 G99 F98 
12 3 9	..DG....DG..AADGB.....B.ECC.B.EFF... G98 B99 F99 
12 6 6	........D.B.AAD.B.E.DGB.ECCG.....GFF D99 B98 E99 G99 F98 
12 3 9	..DG....DGB.AADGB.E...B.ECC.....FF.. G98 B98 E99 
12 3 9	..DGB...DGB.AADGB.......ECC...E..FF. G98 B97 F99 
12 3 9	....B...D.B.AADGB...DG..ECCG..E...FF D99 B97 F98 
12 3 9	..DG....DG..AADGB.E...B.ECC.B...FF.. G98 B99 E99 
12 3 9	..DGB...DGB.AADGB.......E...CCE.FF.. G98 B97 C97 
12 3 9	..DGB...DGB.AADGB.......E..CC.E.FF.. G98 B97 C98 
12 3 9	..DG....DG..AADGB.....B.ECC.B.E..FF. G98 B99 F99 
12 3 9	..D.....DG..AADGB....GB.ECC.B.E..FF. G99 B99 F99 
12 3 9	..D.B...D.B.AADGB.E..G..ECCG.....FF. B97 E99 F99 
12 3 9	........D.B.AADGB...DGB.ECCG..E...FF D99 B98 F98 
12 3 9	........D...AADGB...DGB.ECCGB.E..FF. D99 B99 F99 
12 3 9	..D.....DGB.AADGB.E..GB.ECC.....FF.. G99 B98 E99 
12 3 9	..D.B...DGB.AADGB....G..E..CC.E.FF.. G99 B97 C98 
12 3 9	..DGB...DGB.AADGB.......E.CC..E.FF.. G98 B97 C99 
12 3 9	..D.B...D.B.AADGB.E..G..ECCG..FF.... B97 E99 F98 
12 3 9	..DG....DG..AADGB.....B.E.CCB.E.FF.. G98 B99 C99 
12 3 9	..D.....D...AADGB.E..GB.ECCGB.....FF B99 E99 F98 
12 3 9	..DG....DGB.AADGB.....B.E.CC..E.FF.. G98 B98 C99 
12 3 9	..DGB...DGB.AADGB.E.....ECC.....FF.. G98 B97 E99 
12 3 9	..DG....DG..AADGB.....B.ECC.B.E...FF G98 B99 F98 
12 3 9	..D.....DG..AADGB....GB.ECC.B.E...FF G99 B99 F98 
12 3 9	..D.....D.B.AADGB.E..GB.ECCG...FF... B98 E99 F99 
12 3 9	..D.B...D.B.AADGB.E..G..ECCG...FF... B97 E99 F99 
12 3 9	........D...AADGB...DGB.ECCGB.E...FF D99 B99 F98 
12 6 6	........D.B.AAD.B.E.DGB.ECCG..FF.G.. D99 G99 B98 E99 F98 
12 3 9	..D.....D...AADGB.E..GB.ECCGB..FF... B99 E99 F99 
12 3 9	..D.....D.B.AADGB.E..GB.ECCG..FF.... B98 E99 F98 
12 6 6	....B...D.B.AAD.B.E.DG..ECCG..FF.G.. D99 G99 B97 E99 F98 
12 3 9	..DG....DGB.AADGB.....B.ECC...E..FF. G98 B98 F99 
12 3 9	..DG....DGB.AADGB.....B.E...CCE.FF.. G98 B98 C97 
12 6 6	........D...AAD.B.E.DGB.ECCGB.FF.G.. D99 G99 B99 E99 F98 
12 6 6	........DG..AADG..E.DGB.ECC.B.FF..B. D99 G97 E99 F98 
12 3 9	..DG....DGB.AADGB.....B.E..CC.E.FF.. G98 B98 C98 
12 6 6	...G....DG..AADG..E.D.B.ECC.B.FF..B. D99 G96 E99 F98 
12 3 9	..D.B...DGB.AADGB.E..G..ECC.....FF.. G99 B97 E99 
12 3 9	..D.....DGB.AADGB....GB.ECC...E..FF. G99 B98 F99 
12 3 9	..D.....DGB.AADGB....GB.E..CC.E.FF.. G99 B98 C98 
12 3 9	..D.....DGB.AADGB....GB.E...CCE.FF.. G99 B98 C97 
12 3 9	..D.....D...AADGB.E..GB.ECCGB.FF.... B99 E99 F98 
12 3 9	..D.B...DGB.AADGB....G..E.CC..E.FF.. G99 B97 C99 
12 3 9	..D.....DGB.AADGB....GB.E.CC..E.FF.. G99 B98 C99 
12 3 9	..D.....DG..AADGB....GB.E.CCB.E.FF.. G99 B99 C99 
12 3 9	....B...D.B.AADGB.E.DG..ECCG....FF.. D99 B97 E99 
13 4 9	........D.B.AADGB.E.DGB.ECCG......FF D99 B98 E99 F98 
13 4 9	........D...AADGB.E.DGB.ECCGB....FF. D99 B99 E99 F99 
13 4 9	..DG....DG..AADGB.E...B.ECC.B....FF. G98 B99 E99 F99 
13 4 9	..D.....DG..AADGB.E..GB.ECC.B....FF. G99 B99 E99 F99 
13 4 9	....B...DGB.AADGB...DG..ECC...E..FF. D99 G99 B97 F99 
13 4 9	....B....GB.AADGB...DG..E.D.CCE.FF.. D98 B97 G99 C97 
13 4 9	..DGB...DGB.AADGB.......E..CC.EFF... G98 B97 C98 F99 
13 4 9	........DGB.AADGB...DGB.E.CC..E.FF.. D99 G99 B98 C99 
13 4 9	..D.....DGB.AADGB....GB.E...CCE...FF G99 B98 C97 F98 
11 5 6	.........GB.AA.GB...DGB.E.D.CCE.D.FF D97 G99 B98 C97 F98 
9 6 3	..........B.AA..B...DGB.E.DGCCE.DGFF G97 B98 D97 C97 F98 
10 7 3	....B.....B.AA..B...DG..E.DGCCE.DGFF G97 B97 D97 C97 F98 
10 7 3	..........B..AA.B...DGB.E.DGCCE.DGFF G97 B98 A99 D97 C97 F98 
10 7 3	..........B.AA..B.E.DGB.E.DGCC..DGFF G97 B98 D97 E99 C97 F98 
10 7 3	..........B...AAB...DGB.E.DGCCE.DGFF G97 B98 A98 D97 C97 F98 
11 8 3	....B.....B..AA.B...DG..E.DGCCE.DGFF G97 B97 A99 D97 C97 F98 
11 8 3	....B.....B...AAB...DG..E.DGCCE.DGFF G97 B97 A98 D97 C97 F98 
11 8 3	..........B..AA.B.E.DGB.E.DGCC..DGFF G97 B98 A99 D97 E99 C97 F98 
11 8 3	..........B.E.AAB.E.DGB...DGCC..DGFF G97 B98 A98 D97 E98 C97 F98 
11 8 3	......E...B.E.AAB...DGB...DGCC..DGFF G97 B98 A98 D97 E97 C97 F98 
11 8 3	E.....E...B...AAB...DGB...DGCC..DGFF G97 B98 A98 D97 E96 C97 F98 
11 8 3	E.....E...B..AA.B...DGB...DGCC..DGFF G97 B98 A99 D97 E96 C97 F98 
11 8 3	..........B...AAB.E.DGB.E.DGCC..DGFF G97 B98 A98 D97 E99 C97 F98 
11 8 3	..........B.EAA.B.E.DGB...DGCC..DGFF G97 B98 A99 D97 E98 C97 F98 
11 8 3	......E...B.EAA.B...DGB...DGCC..DGFF G97 B98 A99 D97 E97 C97 F98 
11 8 3	....B.....B.AA..B.E.DG..E.DGCC..DGFF G97 B97 D97 E99 C97 F98 
11 5 6	..D.....D.B.AAD.B....GB.E..GCCE..GFF G97 B98 C97 F98 
12 9 3	....B.E...B.EAA.B...DG....DGCC..DGFF G97 B97 A99 D97 E97 C97 F98 
12 9 3	E...B.E...B...AAB...DG....DGCC..DGFF G97 B97 A98 D97 E96 C97 F98 
