9 3 6	YI..DLYI..DL.AACD.E.GC..E.GC...OOPPP C98 L99 D98 
9 3 6	YI....YI....EAACD.E.GCDL..GCDL.OOPPP C98 L98 E99 
9 3 6	.I.CDLYI.CDLYAACD.E.G...E.G....OOPPP Y99 D98 L99 
9 3 6	YI..D.YI..D..AACD.E.GC.LE.GC.L.OOPPP C98 L98 D98 
9 3 6	YI....YI.....AACD...GCDLE.GCDLEOOPPP C98 L98 E99 
9 3 6	YI...LYI..DL.AACD.E.GCD.E.GC...OOPPP C98 L99 D99 
9 3 6	YI...LYI.CDL.AACD.E.GCD.E.G....OOPPP C99 L99 D99 
9 3 6	YI.C.LYI.CDLEAACD.E.G.D...G....OOPPP L99 D99 E99 
9 3 6	.I.C.LYI.CDLYAACD.E.G.D.E.G....OOPPP Y99 L99 D99 
9 3 6	.I.C..YI.C..YAACD...G.DLE.G.DLEOOPPP Y99 E99 L98 
9 3 6	.I.C..YI.C..YAACD.E.G.DLE.G.DLOO.PPP Y99 L98 O99 
9 3 6	YI....YI..D..AACD.E.GCDLE.GC.L.OOPPP C98 L98 D99 
9 3 6	YI...LYI...LEAACD.E.GCD...GCD..OOPPP C98 L99 E99 
9 3 6	YI....YI....AA.CD.E.GCDLE.GCDL.OOPPP C98 L98 A99 
9 3 6	YI...LYI.C.LEAACD.E.GCD...G.D..OOPPP C99 L99 E99 
9 3 6	YI.C.LYI.CDL.AACD...G.D.E.G...EOOPPP L99 D99 E99 
9 3 6	YI...LYI.C.L.AACD...GCD.E.G.D.EOOPPP C99 L99 E99 
9 3 6	YI.C.LYI.C.LAA.CD...G.D.E.G.D.EOOPPP L99 A99 E99 
9 3 6	YI...LYI...L.AACD...GCD.E.GCD.EOOPPP C98 L99 E99 
10 4 6	.I.CD.YI.CD.YAACD.E.G..LE.G..LOO.PPP Y99 D98 L98 O99 
10 4 6	.I.CDL.I.CDLYAACD.Y.G...E.G...EOOPPP Y98 L99 D98 E99 
10 4 6	.I....YI.C..YAACD...GCDLE.G.DLEOOPPP Y99 C99 E99 L98 
10 4 6	.I.CDLYI.CDLYAACD...G...E.G...EOOPPP Y99 L99 D98 E99 
10 4 6	YI...LYI.CDLEAACD.E.GCD...G....OOPPP C99 L99 D99 E99 
10 4 6	YI..D.YI.CD.EAACD.E.GC.L..G..L.OOPPP C99 L98 D98 E99 
10 4 6	YI.C..YI.C..AA.CD.E.G.DLE.G.DLOOPPP. L98 A99 O99 P99 
10 4 6	YI....YI.CD.EAACD.E.GCDL..G..L.OOPPP C99 L98 D99 E99 
10 1 9	YI.C..YI.C.L.AACDL..G.D.E.G.D.EOOPPP E99 
10 4 6	YI....YI.....AACD.E..CDLE.GCDLOOGPPP C98 L98 G99 O99 
10 4 6	YI.CDLYI.CDLEAACD.E.G.....G...OO.PPP L99 D98 E99 O99 
10 4 6	.I...LYI.C.LYAACD...GCD.E.G.D.EOOPPP Y99 C99 L99 E99 
10 4 6	.I.C...I.CD.YAACD.Y.G.DLE.G..LEOOPPP Y98 D99 L98 E99 
10 4 6	.I.C..YI.C..YAACD.E...DLE.G.DLOOGPPP Y99 L98 G99 O99 
10 4 6	.I...LYI..DLYAACD.E.GCD.E.GC...OOPPP Y99 L99 C98 D99 
10 4 6	YI..D.YI..D.AA.CD.E.GC.LE.GC.L.OOPPP C98 L98 A99 D98 
10 4 6	.I.....I....YAACD.Y.GCDLE.GCDLEOOPPP Y98 C98 L98 E99 
10 4 6	.I.CD..I.CD.YAACD.Y.G..LE.G..LEOOPPP Y98 D98 L98 E99 
10 4 6	YI...LYI.C.LAA.CD...GCD.E.G.D.EOOPPP C99 L99 A99 E99 
10 4 6	.I.....I.C..YAACD.Y.GCDLE.G.DLEOOPPP Y98 C99 L98 E99 
10 1 9	YI.C..YI.C.L.AACDLE.G.D.E.G.D.OO.PPP O99 
10 4 6	YI.C.LYI.C.LEAACD.E...D...G.D.OOGPPP L99 E99 G99 O99 
10 4 6	YI.C.LYI.C.LAA.CD.E.G.D.E.G.D.OOPPP. L99 A99 O99 P99 
10 4 6	YI.C..YI.C...AACD.E.G.D.E.G.DLOOPPPL L95 O99 P99 
10 4 6	YI.C..YI.CD.AA.CD...G.DLE.G..LEOOPPP L98 A99 D99 E99 
10 4 6	.I..DLYI.CDLYAACD.E.GC..E.G....OOPPP Y99 C99 L99 D98 
10 4 6	YI....YI....AA.CD...GCDLE.GCDLEOOPPP C98 L98 A99 E99 
10 4 6	YI..D.YI..D..AACD...GC.LE.GC.LEOOPPP C98 L98 D98 E99 
10 1 9	YI....YI...L.AACDLE.GCD.E.GCD..OOPPP C98 
10 4 6	YI...LYI...LAA.CD...GCD.E.GCD.EOOPPP C98 L99 A99 E99 
10 1 9	YI.C..YI.C.LAA.CDLE.G.D.E.G.D..OOPPP A99 
10 4 6	YI..DLYI..DLAA.CD.E.GC..E.GC...OOPPP C98 L99 A99 D98 
10 4 6	YIGC.LYIGCDLAA.CD.E...D.E......OOPPP L99 A99 D99 G97 
10 4 6	YI..DLYI.CDLAA.CD.E.GC..E.G....OOPPP C99 L99 A99 D98 
10 1 9	YI.C..YI.C...AACDLE.G.DLE.G.D..OOPPP L99 
10 4 6	YI...LYI.CDLAA.CD.E.GCD.E.G....OOPPP C99 L99 A99 D99 
10 4 6	YI...LYI..DLAA.CD.E.GCD.E.GC...OOPPP C98 L99 A99 D99 
10 4 6	YIGC..YIGC..AA.CD.....DLE...DLEOOPPP L98 A99 E99 G97 
10 4 6	.I.CD.YI.CD.YAACD...G..LE.G..LEOOPPP Y99 D98 E99 L98 
10 4 6	YIGC..YIGCD.AA.CD.E...DLE....L.OOPPP L98 A99 D99 G97 
10 4 6	YIGCD.YIGCD.AA.CD.E....LE....L.OOPPP L98 A99 D98 G97 
10 4 6	YI.CDLYI.CDLAA.CD...G...E.G...EOOPPP L99 A99 D98 E99 
10 4 6	YIGC..YIGC...AACD.E...DLE...DL.OOPPP L98 A98 G97 
10 4 6	YIG...YIG...AA.CD.E..CDLE..CDL.OOPPP C98 L98 A99 G97 
10 4 6	.I.C..YI.CD.YAACD.E.G.DLE.G..LOO.PPP Y99 D99 L98 O99 
10 4 6	.I..D.YI..D.YAACD.E.GC.LE.GC.L.OOPPP Y99 C98 D98 L98 
10 4 6	YIG...YIGC..AA.CD.E..CDLE...DL.OOPPP C99 L98 A99 G97 
10 4 6	YIG..LYIG..LAA.CD.E..CD.E..CD..OOPPP C98 L99 A99 G97 
10 4 6	.I..D.YI.CD.YAACD.E.GC.LE.G..L.OOPPP Y99 C99 D98 L98 
10 4 6	YIGC..YIGC..AA.CD.E...DLE...DLOO.PPP L98 A99 G97 O99 
10 4 6	YI.C..YI.C..AA.CD.E...DLE.G.DLOOGPPP L98 A99 G99 O99 
10 4 6	.I...LYI.C.LYAACD.E.GCD.E.G.D.OO.PPP Y99 L99 C99 O99 
10 4 6	YI.C..YI.CD.AA.CD.E.G.DLE.G..LOO.PPP L98 A99 D99 O99 
10 4 6	YI.CD.YI.CD.AA.CD.E.G..LE.G..LOO.PPP L98 A99 D98 O99 
10 4 6	.I.C..YI.CD.YAACD...G.DLE.G..LEOOPPP Y99 D99 E99 L98 
10 4 6	YI....YI....AA.CD.E.GCDLE.GCDLOO.PPP C98 L98 A99 O99 
10 4 6	.I....YI..D.YAACD.E.GCDLE.GC.L.OOPPP Y99 C98 D99 L98 
10 4 6	YI...LYI.C.L.AACD.E.GCD.E.G.D.OOPPP. C99 L99 O99 P99 
10 4 6	.I....YI.CD.YAACD.E.GCDLE.G..L.OOPPP Y99 C99 D99 L98 
10 4 6	.I.C.LYI.C.LYAACD.E.G.D.E.G.D.OOPPP. Y99 L99 O99 P99 
10 4 6	YI.C.LYI.CDL.AACD.E.G.D.E.G...OOPPP. L99 D99 O99 P99 
10 4 6	.I...LYI...LYAACD.E.GCD.E.GCD.OO.PPP Y99 L99 C98 O99 
10 4 6	YI.CD.YI.CD.EAACD.E.G..L..G..LOO.PPP L98 D98 E99 O99 
10 4 6	YI...LYI..DL.AACD.E.GCD.E.GC..OO.PPP C98 L99 D99 O99 
10 4 6	YIGC.LYIGC.LAA.CD.....D.E...D.EOOPPP L99 A99 E99 G97 
10 4 6	YI.C..YI.C..EAACD.E.G.DL..G.DLOOPPP. L98 E99 O99 P99 
10 4 6	YI...LYI.CDL.AACD.E.GCD.E.G...OO.PPP C99 L99 D99 O99 
10 4 6	.I.C.LYI.CDLYAACD.E.G.D.E.G...OO.PPP Y99 L99 D99 O99 
10 4 6	YI.CD.YI.CD.AA.CD...G..LE.G..LEOOPPP L98 A99 D98 E99 
10 4 6	YI..DLYI..DL.AACD...GC..E.GC..EOOPPP C98 L99 D98 E99 
10 4 6	YI..DLYI.CDL.AACD...GC..E.G...EOOPPP C99 L99 D98 E99 
10 4 6	YI.C.LYI.CDLEAACD.E.G.D...G...OO.PPP L99 D99 E99 O99 
10 4 6	YI..D.YI..D..AACD.E.GC.LE.GC.LOO.PPP C98 L98 D98 O99 
10 4 6	.I..DLYI..DLYAACD.E.GC..E.GC...OOPPP Y99 L99 C98 D98 
10 4 6	YI...LYI...LEAACD.E.GCD...GCD.OO.PPP C98 L99 E99 O99 
10 4 6	YI...LYI.C.LEAACD.E.GCD...G.D.OO.PPP C99 L99 E99 O99 
10 4 6	YI....YI....EAACD.E.GCDL..GCDLOO.PPP C98 L98 E99 O99 
10 1 9	YI.C..YI.C.LEAACDLE.G.D...G.D..OOPPP E99 
10 4 6	.I.CDLYI.CDLYAACD.E.G...E.G...OO.PPP Y99 D98 L99 O99 
10 4 6	YI.C.LYI.CDLAA.CD.E.G.D.E.G...OO.PPP L99 A99 D99 O99 
10 4 6	YI.CDLYI.CDLAA.CD.E.G...E.G...OO.PPP L99 A99 D98 O99 
10 4 6	YI...LYI...LAA.CD.E.GCD.E.GCD.OO.PPP C98 L99 A99 O99 
10 4 6	YI...LYI.C.LAA.CD.E.GCD.E.G.D.OO.PPP C99 L99 A99 O99 
10 4 6	YI....YI.CD.AA.CD.E.GCDLE.G..L.OOPPP C99 L98 A99 D99 
10 1 9	YI.CD.YI.CDL.AACDLE.G...E.G....OOPPP D98 
10 4 6	YI.C.LYI.C.LAA.CD.E...D.E.G.D.OOGPPP L99 A99 G99 O99 
10 4 6	YI...LYI...L.AACD.E..CD.E.GCD.OOGPPP C98 L99 G99 O99 
10 4 6	YI...LYI..DLEAACD.E.GCD...GC...OOPPP C98 L99 D99 E99 
10 4 6	YI...LYI.C.L.AACD.E..CD.E.G.D.OOGPPP C99 L99 G99 O99 
10 4 6	YI...LYI.CDL.AACD...GCD.E.G...EOOPPP C99 L99 D99 E99 
10 4 6	.I.C.LYI.C.LYAACD.E...D.E.G.D.OOGPPP Y99 L99 G99 O99 
10 4 6	YI..D.YI.CD.AA.CD.E.GC.LE.G..L.OOPPP C99 L98 A99 D98 
10 4 6	YI...LYI..DL.AACD...GCD.E.GC..EOOPPP C98 L99 D99 E99 
10 4 6	YI..D.YI.CD..AACD...GC.LE.G..LEOOPPP C99 L98 D98 E99 
10 4 6	.I....YI....YAACD.E.GCDLE.GCDLOO.PPP Y99 C98 L98 O99 
10 4 6	YI....YI.CD..AACD...GCDLE.G..LEOOPPP C99 L98 D99 E99 
10 4 6	YI....YI.C..AA.CD...GCDLE.G.DLEOOPPP C99 L98 A99 E99 
10 1 9	.I.C..YI.C.LYAACDLE.G.D.E.G.D..OOPPP Y99 
11 5 6	.I..D.YI.CD.YAACD...GC.LE.G..LEOOPPP Y99 C99 D98 E99 L98 
11 5 6	.I..DLYI.CDLYAACD...GC..E.G...EOOPPP Y99 C99 L99 D98 E99 
11 2 9	YI.C..YI.C...AACDL..G.DLE.G.D.EOOPPP L99 E99 
11 5 6	.I..D.YI.CD.YAACD.E.GC.LE.G..LOO.PPP Y99 C99 D98 L98 O99 
11 5 6	.I..D.YI..D.YAACD.E.GC.LE.GC.LOO.PPP Y99 C98 D98 L98 O99 
11 2 9	YI....YI...L.AACDL..GCD.E.GCD.EOOPPP C98 E99 
11 2 9	.I.C...I.C.LYAACDLY.G.D.E.G.D.EOOPPP Y98 E99 
11 2 9	YI.CD.YI.CDL.AACDL..G...E.G...EOOPPP D98 E99 
11 5 6	YI...LYI.C.LAA.CD.E..CD.E.G.D.OOGPPP C99 L99 A99 G99 O99 
