6 0 6	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
17 13 4	HJJJ.SHI..PS.IAAPUB.NDPUB.NDLOGGNDLO J99 P99 H98 A97 D99 N98 L99 B99 I97 G97 
17 12 5	H.JJJSH...PS.AADPUBINDPUBINDLOGGN.LO J98 P99 H98 A98 N98 L99 B99 I99 G97 
17 12 5	.JJJ.SH...PSHAADPUBINDPUBINDLOGGN.LO H97 J99 P99 A98 B99 I99 N98 L99 G97 
17 9 8	H.JJJSH..DPSAANDPU..NDPUBIN.LOBIGGLO J98 P99 H98 A99 D99 N99 L99 G99 
17 11 6	HJJJ.SH..DPSAA.DPUBINDPUBIN.LOGGN.LO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
17 11 6	H.JJJSH.N.PSAAN.PU.INDPUBI.DLOBGGDLO J98 P99 H98 A99 D99 N98 L99 I99 G98 
17 11 6	HJJJPSH..DPSBAADPUBINDLU.IN.LOGGN..O J99 H98 A98 D99 N98 B98 I99 G97 
18 10 8	HJJJPSH.NDPSAANDPU.IND.UBI..LOBGG.LO J99 H98 A99 D97 N98 L99 I99 G98 
18 10 8	HJJJ.SH..DPSAANDPUBINDPUBIN.LO..GGLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G99 
18 10 8	H.JJJSH..DPSAANDPUB.NDPUBIN.LO.IGGLO J98 P99 H98 A99 D99 N99 L99 B99 G99 
18 10 8	H.JJJSH.NDPSAANDPUB.NDPUBI..LO.IGGLO J98 P99 H98 A99 D99 N98 L99 B99 G99 
18 13 5	JJJ.PSH..DPSHAADPUBIND.UBIN.LOGGN.LO J98 H97 A98 D99 B99 I99 N98 L99 G97 
18 11 7	HJJJ.SH.N.PSAANDPUBINDPUBI.DLOGG..LO J99 P99 H98 A99 N96 L99 B99 I99 G97 
18 12 6	HJJJPSH..DPSBAADPUBIND.U.IN.LOGGN.LO J99 H98 A98 D99 N98 L99 B98 I99 G97 
18 12 6	HJJJPSH..DPS.AADPUBIND.UBIN.LOGGN.LO J99 H98 A98 D97 N98 L99 B99 I99 G97 
18 10 8	H.JJJSH...PSAANDPU.INDPUBINDLOB.GGLO J98 P99 H98 A99 N99 L99 I99 G97 
18 14 4	HJJJ.SH...PSBIAAPUBINDPU..NDLOGGNDLO J99 P99 H98 A97 D99 N98 L99 B98 I98 G97 
18 10 8	HJJJPSH.NDPSAANDPUBIND.UBI..LO.GG.LO J99 H98 A99 D99 N98 L99 B99 I99 G98 
18 13 5	JJJ..SH...PSHAADPUBINDPUBINDLOGGN.LO J98 P99 H97 A98 B99 I99 N98 L99 G97 
18 11 7	H.JJJSH.N.PSAANDPUBINDPUBI.DLO.GG.LO J98 P99 H98 A99 N98 L99 B99 I99 G98 
18 10 8	HJJJ.SH..DPSAANDPUBINDPUBIN.LO.GG.LO J99 P99 H98 A99 D99 N99 L99 B99 I99 G98 
18 10 8	HJJJ.SH.NDPSAANDPUBINDPUBI..LO..GGLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G99 
18 14 4	H.JJJSH...PSBAA.PUBINDPU.INDLOGGNDLO J98 P99 H98 A98 D99 N98 L99 B98 I99 G97 
18 14 4	HJJJ.SHI..PSBIAAPUB.NDPU..NDLOGGNDLO J99 P99 H98 A97 D99 N98 L99 B98 I97 G97 
18 11 7	HJJJ.SH..DPSAANDPUBINDPUBIN.LOGG..LO J99 P99 H98 A99 D97 N99 L99 B99 I99 G97 
18 14 4	..JJJSH...PSHAA.PUBINDPUBINDLOGGNDLO H97 J98 P99 A98 B99 I99 N98 D99 L99 G97 
18 12 6	H.JJJSH.N.PSAAN.PUBINDPUBI.DLO.GGDLO J98 P99 H98 A99 D99 N98 L99 B99 I99 G98 
18 12 6	H.JJJSH...PSAAN.PUBINDPUBINDLO.GGDLO J98 P99 H98 A99 D99 N99 L99 B99 I99 G96 
18 14 4	.JJJ.SH...PSHIAAPUBINDPUB.NDLOGGNDLO H97 J99 P99 I98 A97 B99 N98 D99 L99 G97 
18 10 8	H.JJJSH.NDPSAANDPU.INDPUBI..LOB.GGLO J98 P99 H98 A99 D99 N98 L99 I99 G99 
18 14 4	H.JJJSH...PS.IAAPUBINDPUB.NDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B99 I98 G97 
18 10 8	HJJJ.SH...PSAANDPUBINDPUBINDLO..GGLO J99 P99 H98 A99 N99 L99 B99 I99 G95 
18 10 8	H.JJJSH.N.PSAANDPUBINDPUBI.DLO..GGLO J98 P99 H98 A99 N98 L99 B99 I99 G99 
18 14 4	H.JJJSH...PSB.AAPUBINDPU.INDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B98 I99 G97 
18 10 8	HJJJ.SH.NDPSAANDPU.INDPUBI..LOBGG.LO J99 P99 H98 A99 D99 N98 L99 I99 G98 
18 14 4	JJJ.PSH...PSHIAAPUBIND.UB.NDLOGGNDLO J98 H97 I98 A97 B99 N98 D99 L99 G97 
18 14 4	JJJ.PSHI..PSHIAAPUB.ND.UB.NDLOGGNDLO J98 H97 I97 A97 B99 N98 D99 L99 G97 
18 13 5	JJJ.PSH..DPSHAADPUBINDLUBIN.LOGGN..O J98 H97 A98 B99 I99 N98 D97 G97 
18 14 4	JJJ..SH...PSHAA.PUBINDPUBINDLOGGNDLO J98 H97 P99 A98 B99 I99 N98 D99 L99 G97 
18 10 8	H.JJJSH..DPSAANDPU.INDPUBIN.LOBGG.LO J98 P99 H98 A99 D99 N99 L99 I99 G98 
18 10 8	H.JJJSH..DPSAANDPU.INDPUBIN.LOB.GGLO J98 P99 H98 A99 D99 N99 L99 I99 G99 
18 14 4	H.JJJSHI..PS.IAAPUB.NDPUB.NDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B99 I97 G97 
18 10 8	HJJJ.SH.NDPSAANDPUBINDPUBI..LOGG..LO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
18 14 4	.JJJ.SHI..PSHIAAPUB.NDPUB.NDLOGGNDLO H97 J99 P99 A97 B99 I97 N98 D99 L99 G97 
18 14 4	..JJJSH...PSH.AAPUBINDPUBINDLOGGNDLO H97 J98 P99 A97 B99 I99 N98 D99 L99 G97 
18 14 4	HIJJJSHI..PS..AAPUB.NDPUB.NDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B99 I96 G97 
18 14 4	JJJ..SH...PSH.AAPUBINDPUBINDLOGGNDLO J98 H97 P99 A97 B99 I99 N98 D99 L99 G97 
18 12 6	HJJJ.SH..DPS.AADPUBINDPUBIN.LOGGN.LO J99 P99 H98 A98 D99 N98 L99 B99 I99 G97 
18 13 5	H.JJJSH...PSBAADPUBINDPU.INDLOGGN.LO J98 P99 H98 A98 N98 L99 B98 I99 G97 
18 10 8	HJJJ.SH..DPSAANDPU.INDPUBIN.LOBGG.LO J99 P99 H98 A99 D97 N99 L99 I99 G98 
18 13 5	..JJJSH...PSHAADPUBINDPUBINDLOGGN.LO H97 J98 P99 A98 B99 I99 N98 L99 G97 
19 11 8	H.JJJSH..DPSAANDPUBINDPUBIN.LO..GGLO J98 P99 H98 A99 D99 N99 L99 B99 I99 G99 
19 13 6	JJJDPSH..DPSHAADPUBIN..UBIN.LOGGN.LO J98 H97 A98 D98 B99 I99 N98 L99 G97 
19 13 6	.JJJPSH..DPSHAADPUBIND.UBIN.LOGGN.LO H97 J99 A98 B99 I99 N98 D97 L99 G97 
19 15 4	HIJJJSHI..PSAA..PUB.NDPUB.NDLOGGNDLO J98 P99 H98 A95 D99 N98 L99 B99 I96 G97 
19 11 8	H.JJJSH...PSAANDPUBINDPUBINDLO..GGLO J98 P99 H98 A99 N99 L99 B99 I99 G95 
19 11 8	H.JJJSH.NDPSAANDPUBINDPUBI..LO..GGLO J98 P99 H98 A99 D99 N98 L99 B99 I99 G99 
19 14 5	JJJ..SH..DPSHAADPUBINDPUBIN.LOGGN.LO J98 P99 H97 A98 D99 B99 I99 N98 L99 G97 
19 12 7	H.JJJSH.N.PSAANDPUBINDPUBI.DLOGG..LO J98 P99 H98 A99 N96 L99 B99 I99 G97 
19 11 8	H.JJJSH..DPSAANDPUBINDPUBIN.LO.GG.LO J98 P99 H98 A99 D99 N99 L99 B99 I99 G98 
19 15 4	H.JJJSH...PSBIAAPUBINDPU..NDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B98 I98 G97 
19 11 8	HJJJ.SH.NDPSAANDPUBINDPUBI..LO.GG.LO J99 P99 H98 A99 D99 N98 L99 B99 I99 G98 
19 15 4	H.JJJSHI..PSBIAAPUB.NDPU..NDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B98 I97 G97 
19 13 6	H.JJJSH.N.PSAAN.PUBINDPUBI.DLOGG.DLO J98 P99 H98 A99 D99 N96 L99 B99 I99 G97 
19 15 4	JJJ..SH...PSHIAAPUBINDPUB.NDLOGGNDLO J98 H97 P99 I98 A97 B99 N98 D99 L99 G97 
19 15 4	HIJJJSHI..PSB.AAPUB.NDPU..NDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B98 I96 G97 
19 15 4	HIJJJSHI..PS.AA.PUB.NDPUB.NDLOGGNDLO J98 P99 H98 A96 D99 N98 L99 B99 I96 G97 
19 13 6	JJJDPSH..DPSHAADPUBIN.LUBIN.LOGGN..O J98 H97 A98 B99 I99 N98 D96 G97 
19 15 4	..JJJSH...PSHIAAPUBINDPUB.NDLOGGNDLO H97 J98 P99 I98 A97 B99 N98 D99 L99 G97 
19 12 7	H.JJJSH..DPSAANDPUBINDPUBIN.LOGG..LO J98 P99 H98 A99 D97 N99 L99 B99 I99 G97 
19 15 4	JJJ..SHI..PSHIAAPUB.NDPUB.NDLOGGNDLO J98 P99 H97 I97 A97 B99 N98 D99 L99 G97 
19 11 8	H.JJJSH.NDPSAANDPUBINDPUBI..LOGG..LO J98 P99 H98 A99 D99 N98 L99 B99 I99 G97 
19 15 4	..JJJSHI..PSHIAAPUB.NDPUB.NDLOGGNDLO H97 J98 I97 P99 A97 B99 N98 D99 L99 G97 
19 13 6	H.JJJSH..DPSAA.DPUBINDPUBIN.LOGGN.LO J98 P99 H98 A99 D97 N98 L99 B99 I99 G97 
19 11 8	H.JJJSH.NDPSAANDPU.INDPUBI..LOBGG.LO J98 P99 H98 A99 D99 N98 L99 I99 G98 
19 15 4	.IJJJSHI..PSH.AAPUB.NDPUB.NDLOGGNDLO H97 J98 P99 A97 B99 I96 N98 D99 L99 G97 
20 12 8	H.JJJSH.NDPSAANDPUBINDPUBI..LO.GG.LO J98 P99 H98 A99 D99 N98 L99 B99 I99 G98 
20 14 6	.JJJ.SH..DPSHAADPUBINDPUBIN.LOGGN.LO H97 J99 P99 A98 B99 I99 N98 D97 L99 G97 
20 14 6	HJJJ.SH..DPSBAADPUBINDPU.IN.LOGGN.LO J99 P99 H98 A98 D97 N98 L99 B98 I99 G97 
20 14 6	JJJD.SH..DPSHAADPUBIN.PUBIN.LOGGN.LO J98 P99 H97 A98 D98 B99 I99 N98 L99 G97 
20 16 4	HIJJJSHI..PSBAA.PUB.NDPU..NDLOGGNDLO J98 P99 H98 A96 D99 N98 L99 B98 I96 G97 
20 16 4	.IJJJSHI..PSHAA.PUB.NDPUB.NDLOGGNDLO H97 I96 J98 P99 A96 B99 N98 D99 L99 G97 
20 14 6	H.JJJSH..DPS.AADPUBINDPUBIN.LOGGN.LO J98 P99 H98 A98 D97 N98 L99 B99 I99 G97 
21 16 5	HIJJJSHI..PSAA.DPUB.NDPUB.NDLOGGN.LO J98 P99 H98 A95 D98 N98 L99 B99 I96 G97 
21 15 6	H.JJJSH..DPSBAADPUBINDPU.IN.LOGGN.LO J98 P99 H98 A98 D97 N98 L99 B98 I99 G97 
21 15 6	..JJJSH..DPSHAADPUBINDPUBIN.LOGGN.LO H97 J98 P99 A98 B99 I99 N98 D97 L99 G97 
21 16 5	HIJJJSHI..PS.AADPUB.NDPUB.NDLOGGN.LO J98 P99 H98 A96 D98 N98 L99 B99 I96 G97 
21 16 5	HIJJJSHI..PSAAN.PUB.NDPUB.NDLOGG.DLO J98 P99 H98 A95 D99 N97 L99 B99 I96 G97 
22 16 6	HIJJJSHI.DPSAA.DPUB.NDPUB.N.LOGGN.LO J98 P99 H98 A95 D97 N98 L99 B99 I96 G97 
22 17 5	.IJJJSHI..PSHAADPUB.NDPUB.NDLOGGN.LO H97 I96 J98 P99 A96 B99 N98 D98 L99 G97 
22 17 5	HIJJJSHI..PSBAADPUB.NDPU..NDLOGGN.LO J98 P99 H98 A96 D98 N98 L99 B98 I96 G97 
22 16 6	HIJJJSHIN.PSAAN.PUB.NDPUB..DLOGG.DLO J98 P99 H98 A95 D99 N96 L99 B99 I96 G97 
22 16 6	HIJJJSHI.DPS.AADPUB.NDPUB.N.LOGGN.LO J98 P99 H98 A96 D97 N98 L99 B99 I96 G97 
23 17 6	.IJJJSHI.DPSHAADPUB.NDPUB.N.LOGGN.LO H97 I96 J98 P99 A96 B99 N98 D97 L99 G97 
23 17 6	HIJJJSHI..PSAAN.PUB.NDPUB.NDLO.GGDLO J98 P99 H98 A95 D99 N97 L99 B99 I96 G96 
23 17 6	HIJJJSHI.DPSBAADPUB.NDPU..N.LOGGN.LO J98 P99 H98 A96 D97 N98 L99 B98 I96 G97 
23 17 6	HIJJJSHI..PSAANDPUB.NDPUB.NDLOGG..LO J98 P99 H98 A95 D98 N97 L99 B99 I96 G97 
23 17 6	HIJJJSHIN.PSAAN.PUB.NDPUB..DLO.GGDLO J98 P99 H98 A95 D99 N96 L99 B99 I96 G96 
24 17 7	HIJJJSHIN.PSAANDPUB.NDPUB..DLOGG..LO J98 P99 H98 A95 D98 N96 L99 B99 I96 G97 
24 18 6	HIJJJSHI..PSAAN.PU..NDPUB.NDLOBGGDLO J98 P99 H98 A95 D99 N97 L99 B98 I96 G96 
24 17 7	HIJJJSHI.DPSAANDPUB.NDPUB.N.LOGG..LO J98 P99 H98 A95 D97 N97 L99 B99 I96 G97 
24 18 6	HIJJJSHIN.PSAAN.PU..NDPUB..DLOBGGDLO J98 P99 H98 A95 D99 N96 L99 B98 I96 G96 
25 17 8	HIJJJSHINDPSAANDPUB.NDPUB...LOGG..LO J98 P99 H98 A95 D97 N96 L99 B99 I96 G97 
25 18 7	HIJJJSHIN.PSAANDPUB.NDPUB..DLO.GG.LO J98 P99 H98 A95 D98 N96 L99 B99 I96 G96 
25 18 7	HIJJJSHI..PSAANDPUB.NDPUB.NDLO.GG.LO J98 P99 H98 A95 D98 N97 L99 B99 I96 G96 
26 18 8	HIJJJSHI..PSAANDPUB.NDPUB.NDLO..GGLO J98 P99 H98 A95 D98 N97 L99 B99 I96 G95 
26 18 8	HIJJJSHI.DPSAANDPUB.NDPUB.N.LO..GGLO J98 P99 H98 A95 D97 N97 L99 B99 I96 G95 
26 18 8	HIJJJSHINDPSAANDPUB.NDPUB...LO..GGLO J98 P99 H98 A95 D97 N96 L99 B99 I96 G95 
26 19 7	HIJJJSHI..PSAANDPU..NDPUB.NDLOBGG.LO J98 P99 H98 A95 D98 N97 L99 B98 I96 G96 
26 18 8	HIJJJSHINDPSAANDPUB.NDPUB...LO.GG.LO J98 P99 H98 A95 D97 N96 L99 B99 I96 G96 
26 18 8	HIJJJSHI.DPSAANDPUB.NDPUB.N.LO.GG.LO J98 P99 H98 A95 D97 N97 L99 B99 I96 G96 
26 19 7	HIJJJSHIN.PSAANDPU..NDPUB..DLOBGG.LO J98 P99 H98 A95 D98 N96 L99 B98 I96 G96 
26 18 8	HIJJJSHIN.PSAANDPUB.NDPUB..DLO..GGLO J98 P99 H98 A95 D98 N96 L99 B99 I96 G95 
27 19 8	HIJJJSHI..PSAANDPU..NDPUB.NDLOB.GGLO J98 P99 H98 A95 D98 N97 L99 B98 I96 G95 
27 19 8	HIJJJSHI.DPSAANDPU..NDPUB.N.LOB.GGLO J98 P99 H98 A95 D97 N97 L99 B98 I96 G95 
27 19 8	HIJJJSHINDPSAANDPU..NDPUB...LOBGG.LO J98 P99 H98 A95 D97 N96 L99 B98 I96 G96 
27 19 8	HIJJJSHI.DPSAANDPU..NDPUB.N.LOBGG.LO J98 P99 H98 A95 D97 N97 L99 B98 I96 G96 
27 19 8	HIJJJSHINDPSAANDPU..NDPUB...LOB.GGLO J98 P99 H98 A95 D97 N96 L99 B98 I96 G95 
28 20 8	HIJJJSHIN.PSAANDPU..NDPUB..DLOB.GGLO J98 P99 H98 A95 D98 N96 L99 B98 I96 G95 
