3 0 3	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
8 5 3	....BB.CCCU..AAKUG.FFKUG...K.GEEETT. B96 K96 C99 T99 
8 5 3	..BBU.CCC.U..AAKUGFF.K.G...K.GEEETT. B98 K98 U99 F99 T99 
8 5 3	BB....CCC..GAA.KUG.FFKUG...KU.EEE.TT K96 U99 A99 G99 
8 5 3	.BB...CCC.UGAA.KUG.FFKUG...K..EEE.TT B99 K96 A99 G99 
8 5 3	.BB...CCC..G.AAKUG.FFKUG...KU.EEE.TT B99 K96 U99 G99 
8 5 3	..BB..CCCKUGAA.KUG.FFKUG......EEE.TT B98 K95 A99 G99 
8 5 3	BB...GCCC..G.AAKUGFF.KU....KU.EEE.TT K96 U99 G98 F99 
8 5 3	BB..UGCCCKUG.AAKUGFF.K........EEE.TT K95 U99 G98 F99 
8 5 3	BB..UGCCC.UG.AAKUGFF.K.....K..EEE.TT K96 U99 G98 F99 
8 5 3	BB...G.CCCUGAA.KUG.FFKU....K..EEE.TT K96 C99 A99 G98 
8 5 3	..BB..CCC.UG.AAKUGFF.KUG...K..EEE.TT B98 K96 G99 F99 
8 5 3	BB.KU.CCCKUGAA.KUG.FF..G......EEE.TT K94 U99 A99 G99 
8 5 3	BB....CCC..G.AAKUGFF.KUG...KU.EEE.TT K96 U99 G99 F99 
8 5 3	..BB..CCCK.G.AAKUG.FFKUG....U.EEE.TT B98 K95 U99 G99 
8 5 3	BB....CCC.UGAA.KUGFF.KUG...K..EEE.TT K96 A99 G99 F99 
8 5 3	BB...GCCCK.G.AAKUG.FFKU.....U.EEETT. K95 U99 G98 T99 
8 5 3	BB.....CCCU.AA.KUG.FFKUG...K.GEEETT. K96 C99 A99 T99 
8 5 3	.BB.U.CCC.U.AA.KUG.FFK.G...K.GEEE.TT B99 K96 U99 A99 
8 5 3	.BB...CCCK..AA.KUG.FFKUG....UGEEE.TT B99 K95 U99 A99 
8 5 3	.BB...CCC...AA.KUG.FFKUG...KUGEEE.TT B99 K96 U99 A99 
8 5 3	..BB..CCCKU.AA.KUG.FFKUG.....GEEETT. B98 K95 A99 T99 
8 6 2	..BB..CCCKU.AA.KU..FFKUG.....GEEETTG B98 K95 A99 G99 T99 
8 5 3	BB..UGCCCKUG.AAKUG.FFK.........EEETT K95 U99 G98 E99 
8 5 3	...BBGCCC..GAA.KUG.FFKU....KU.EEE.TT B97 K98 U99 A99 G98 
8 5 3	...BB.CCC.UGAA.KUG.FFKUG...K..EEETT. B97 K98 A99 G99 T99 
8 5 3	...BB.CCCKU..AAKUG.FFKUG.....GEEETT. B97 K95 T99 
8 5 3	.BB.U.CCCKU..AAKUGFF.K.G.....GEEE.TT B99 K95 U99 F99 
8 5 3	...BBG.CCCUGAA.KUG.FFKU....K..EEE.TT B97 K98 C99 A99 G98 
8 5 3	BB.K.GCCCK.GAA.KUG.FF.U.....U.EEE.TT K94 U99 A99 G98 
8 5 3	.BB...CCCK...AAKUGFF.KUG....UGEEE.TT B99 K95 U99 F99 
8 5 3	.BB...CCC....AAKUGFF.KUG...KUGEEE.TT B99 K96 U99 F99 
8 5 3	..BB.GCCCKUGAA.KUG.FFKU.......EEE.TT B98 K95 A99 G98 
8 5 3	..BBU.CCC.UG.AAKUG.FFK.G...K..EEE.TT B98 K96 U99 G99 
8 5 3	...KBBCCCKU.AA.KUGFF..UG.....GEEE.TT B96 K94 A99 F99 
8 5 3	.BB...CCCKU.AA.KUGFF.KUG.....GEEE.TT B99 K95 A99 F99 
8 5 3	..BB..CCC.U.AA.KUGFF.KUG...K.GEEE.TT B98 K96 A99 F99 
8 5 3	...BB....CCCAA.KUG.FFKUG...KUGEEE.TT B97 K98 C97 U99 A99 
8 5 3	.BBK.GCCCKUGAA.KUG.FF.U.......EEE.TT B99 K94 A99 G98 
8 5 3	BB...GCCC..G.AAKUG.FFKU....KU.EEETT. K96 U99 G98 T99 
8 5 3	BB.....CCC.G.AAKUG.FFKUG...KU.EEE.TT K96 C99 U99 G99 
8 5 3	...BB.CCC.U.AA.KUGFF.KUG...K.G.EEETT B97 K98 A99 F99 E99 
8 5 3	.BBK..CCCKUG.AAKUG.FF.UG......EEETT. B99 K94 G99 T99 
8 5 3	..BB.GCCC..G.AAKUGFF.KU....KU.EEE.TT B98 K98 U99 G98 F99 
8 5 3	..BB...CCCU.AA.KUG.FFKUG...K.GEEE.TT B98 K96 C99 A99 
8 5 3	.BB.U.CCCKUG.AAKUG.FFK.G......EEE.TT B99 K95 U99 G99 
8 5 3	BB.K..CCCKUG.AAKUG.FF.UG......EEETT. K94 G99 T99 
8 5 3	..BBUGCCC.UG.AAKUG.FFK.....K...EEETT B98 K98 U99 G98 E99 
8 5 3	BB....CCCKU.AA.KUGFF.KUG.....G.EEETT K95 A99 F99 E99 
8 5 3	..BB..CCC....AAKUG.FFKUG...KUG.EEETT B98 K98 U97 E99 
8 5 3	BB..UGCCC.UG.AAKUG.FFK.....K...EEETT K96 U99 G98 E99 
8 5 3	....BB.CCCU.AA.KUG.FFKUG...K.GEEE.TT B96 K96 C99 A99 
8 5 3	...BB.CCCKU..AAKUGFF.KUG.....G.EEETT B97 K95 F99 E99 
8 5 3	BB....CCC....AAKUG.FFKUG...KUG.EEETT K96 U97 E99 
8 5 3	...BB..CCC..AA.KUG.FFKUG...KUGEEE.TT B97 K98 C99 U99 A99 
8 5 3	BB...G.CCC.G.AAKUG.FFKU....KU.EEE.TT K96 C99 U99 G98 
8 5 3	..BBU.CCC.UG.AAKUG.FFK.G...K..EEETT. B98 K98 U99 G99 T99 
8 5 3	..BB..CCC...AA.KUG.FFKUG...KUG.EEETT B98 K98 U99 A99 E99 
8 5 3	BB....CCC.U.AA.KUG.FFKUG...K.G.EEETT B96 A99 K98 E99 
8 5 3	BB....CCCKUG.AAKUG.FFKUG.......EEETT K95 G97 E99 
8 5 3	BB...GCCC.UG.AAKUG.FFKU....K...EEETT K94 G98 E99 
8 5 3	...BBGCCC.UG.AAKUGFF.KU....K..EEE.TT B97 K96 G98 F99 
8 5 3	BB..U.CCCKUG.AAKUG.FFK.G.......EEETT K95 U99 G99 E99 
8 5 3	.BB..GCCCKUG.AAKUG.FFKU........EEETT B99 K95 G98 E99 
8 5 3	BB....CCCK...AAKUG.FFKUG....UG.EEETT K95 U97 E99 
8 5 3	BB.KU.CCCKU..AAKUG.FF..G.....G.EEETT K94 U99 E99 
8 5 3	.BBKUGCCCKUG.AAKUG.FF.........EEE.TT B99 K94 U99 G98 
8 5 3	..BBU.CCCKU..AAKUG.FFK.G.....G.EEETT B98 K95 U99 E99 
8 5 3	BB....CCCKU..AAKUG.FFKUG.....G.EEETT K95 U98 E99 
8 5 3	..BB..CCCK...AAKUG.FFKUG....UG.EEETT B98 K95 U99 E99 
8 5 3	.BB.U.CCCKU..AAKUG.FFK.G.....G.EEETT B99 K95 U99 E99 
8 5 3	BB..U..CCCUG.AAKUG.FFK.G...K..EEE.TT K96 C99 U99 G99 
8 5 3	..BB..CCC....AAKUG.FFKUG...KUGEEE.TT B98 K94 U99 
8 5 3	.BB...CCCKU.AA.KUG.FFKUG.....GEEE.TT B99 K95 A99 
8 5 3	...BB.CCC.U..AAKUGFF.KUG...K.GEEETT. B97 K96 F99 T99 
8 5 3	...KBBCCCKU.AA.KUG.FF.UG.....GEEETT. B96 K94 A99 T99 
8 5 3	..BB.GCCC.UGAA.KUG.FFKU....K..EEETT. B98 K98 A99 G98 T99 
8 5 3	....BBCCCK.G.AAKUG.FFKUG....U.EEE.TT B96 K95 U99 G99 
8 5 3	...BB.CCC...AA.KUG.FFKUG...KUGEEETT. B97 K98 U99 A99 T99 
8 5 3	BB.K.GCCCK.G.AAKUG.FF.U.....U.EEE.TT K94 U99 G98 
8 5 3	....BBCCC..G.AAKUG.FFKUG...KU.EEE.TT B96 K96 U99 G99 
8 5 3	BB.K.GCCCKUGAA.KUG.FF.U........EEETT K94 A99 G98 E99 
8 5 3	BB.K.GCCCKUGAA.KUG..FFU.......EEE.TT K94 A99 G98 F99 
8 5 3	.BBK.GCCCK.G.AAKUG.FF.U.....U.EEE.TT B99 K94 U99 G98 
8 5 3	.BB..GCCC.UG.AAKUG.FFKU....K...EEETT B99 K96 G98 E99 
8 5 3	.BB...CCC.UG.AAKUG.FFKUG...K...EEETT B99 K96 G99 E99 
8 5 3	BB....CCC.U..AAKUG.FFKUG...K.G.EEETT B92 K96 E99 
8 5 3	.BBK..CCCKU..AAKUG.FF.UG.....G.EEETT B99 K94 E99 
8 5 3	.BB...CCC.U.AA.KUG.FFKUG...K.G.EEETT B99 K96 A99 E99 
8 5 3	BB..U..CCCU.AA.KUG.FFK.G...K.GEEE.TT K96 C99 U99 A99 
8 5 3	..BB..CCC.U..AAKUG.FFKUG...K.G.EEETT B94 K96 E99 
8 5 3	...BB.CCC.U..AAKUG.FFKUG...K.G.EEETT B95 K96 E99 
8 5 3	BB...GCCC.UGAA.KUG.FFKU....K..EEETT. K96 A99 G98 T99 
8 5 3	..BB..CCC.U.AA.KUG.FFKUG...K.GEEETT. B98 K96 A99 T99 
8 5 3	BB...GCCCKUGAA.KUG.FFKU.......EEETT. K95 A99 G98 T99 
8 5 3	BB.......CCCAA.KUG.FFKUG...KUGEEE.TT K96 C97 U99 A99 
8 5 3	BB.....CCCU..AAKUGFF.KUG...K.GEEETT. K96 C99 F99 T99 
8 6 2	BB.....CCCU..AAKU.FF.KUG...K.GEEETTG K96 C99 G99 F99 T99 
8 5 3	BB.KU.CCCKUG.AAKUG..FF.G......EEE.TT K94 U99 G99 F99 
8 5 3	BB....CCCKUG.AAKUG.FFKUG......EEETT. K95 G99 T99 
8 5 3	BB.K..CCCKUGAA.KUG.FF.UG.......EEETT K94 A99 G99 E99 
8 5 3	..BB...CCC...AAKUGFF.KUG...KUGEEE.TT B98 K98 C99 U99 F99 
8 5 3	BB...GCCC.UG.AAKUGFF.KU....K...EEETT K96 G98 F99 E99 
8 5 3	....BBCCC.UG.AAKUGFF.KUG...K..EEE.TT B96 K96 G99 F99 
8 5 3	BB...G.CCCUG.AAKUG.FFKU....K...EEETT K96 C99 G98 E99 
8 5 3	BB......CCC.AA.KUG.FFKUG...KUGEEE.TT K96 C98 U99 A99 
8 5 3	BB......CCCG.AAKUG.FFKUG...KU.EEE.TT K96 C98 U99 G99 
8 5 3	..BB..CCC.UGAA.KUG.FFKUG...K...EEETT B98 K98 A99 G99 E99 
8 5 3	..BB..CCC.UGAA.KUGFF.KUG...K..EEE.TT B98 K98 A99 G99 F99 
8 5 3	BB...G..CCCG.AAKUG.FFKU....KU.EEE.TT K96 C98 U99 G98 
8 5 3	..BB..CCCKU..AAKUGFF.KUG.....G.EEETT B98 K95 F99 E99 
8 5 3	BB.KUGCCCKUG.AAKUG..FF........EEE.TT K94 U99 G98 F99 
8 5 3	BB....CCC.UG.AAKUGFF.KUG...K...EEETT K96 G99 F99 E99 
8 5 3	BB.KU.CCCKU.AA.KUG.FF..G.....GEEETT. K94 U99 A99 T99 
8 6 2	BB.KU.CCCKU.AA.KU..FF..G.....GEEETTG K94 U99 A99 G99 T99 
8 5 3	...KBBCCCKUG.AAKUGFF..UG......EEE.TT B96 K94 G99 F99 
8 5 3	BB.KU.CCCKU.AA.KUG.FF..G.....G.EEETT K94 U99 A99 E99 
8 5 3	BB.KU.CCCKU.AA.KUG...FFG.....GEEE.TT K94 U99 A99 F98 
8 5 3	..BB....CCC..AAKUG.FFKUG...KUGEEE.TT B98 K96 C98 U99 
8 5 3	BB.KU.CCCKU.AA.KUG..FF.G.....GEEE.TT K94 U99 A99 F99 
8 5 3	..BB..CCC.UG.AAKUG.FFKUG...K...EEETT B98 K96 G99 E99 
8 5 3	..BB...CCCU.AA.KUGFF.KUG...K.GEEE.TT B98 K98 C99 A99 F99 
8 5 3	BB.K..CCCKUG.AAKUGFF..UG......EEETT. K94 G99 F99 T99 
8 5 3	...BBGCCCK.G.AAKUG.FFKU.....U.EEE.TT B97 K95 U99 G98 
8 5 3	...BB....CCC.AAKUG.FFKUG...KUGEEE.TT B97 K96 C97 U99 
8 5 3	BB....CCCKU..AAKUG.FFKUG.....GEEETT. K95 F98 T99 
8 5 3	...BB...CCC..AAKUG.FFKUG...KUGEEE.TT B97 K96 C98 U99 
8 5 3	...BB..CCC...AAKUG.FFKUG...KUGEEE.TT B97 K96 C99 U99 
8 5 3	..BBU.CCC.U..AAKUGFF.K.G...K.GEEE.TT B98 K96 U99 F99 
8 5 3	BB....CCCKU.AA.KUGFF.KUG.....GEEETT. K95 A99 F99 T99 
8 5 3	BB....CCC.U.AA.KUGFF.KUG...K.G.EEETT K96 A99 F99 E99 
8 5 3	..BB..CCCKU..AAKUGFF.KUG.....GEEETT. B98 K95 F99 T99 
8 5 3	.BB...CCCKU..AAKUGFF.KUG.....GEEETT. B99 K95 F99 T99 
8 5 3	....BB.CCCUG.AAKUG.FFKUG...K..EEE.TT B96 K96 C99 G99 
8 5 3	..BBU..CCCU..AAKUG.FFK.G...K.GEEE.TT B98 K96 C99 U99 
8 5 3	...BB..CCCU.AA.KUG.FFKUG...K.GEEE.TT B97 K96 C99 A99 
8 5 3	.BB..GCCCK.G.AAKUG.FFKU.....U.EEE.TT B99 K95 U99 G98 
8 5 3	BB....CCC..G.AAKUG.FFKUG...KU.EEETT. K96 U99 G99 T99 
8 5 3	BB.......CCC.AAKUG.FFKUG...KUGEEETT. K96 C97 U99 T99 
8 5 3	...BB.CCCK..AA.KUG.FFKUG....UGEEE.TT B97 K95 U99 A99 
8 5 3	..BB..CCC....AAKUG.FFKUG...KUGEEETT. B98 K96 U99 T99 
8 5 3	BB......CCC..AAKUG.FFKUG...KUG.EEETT K96 C98 U99 E99 
8 5 3	.BB.U..CCCU..AAKUG.FFK.G...K.GEEE.TT B99 K96 C99 U99 
8 5 3	...BBGCCC.UGAA.KUG.FFKU....K...EEETT B97 K98 A99 G98 E99 
8 5 3	BB.....CCC...AAKUG.FFKUG...KUGEEE.TT K96 C97 U99 
8 5 3	.BBKU.CCCKU..AAKUG.FF..G.....G.EEETT B99 K94 U99 E99 
8 5 3	....BBCCCKU.AA.KUG.FFKUG.....GEEETT. B96 K95 A99 T99 
8 6 2	....BBCCCKU.AA.KU..FFKUG.....GEEETTG B96 K95 A99 G99 T99 
8 5 3	.BB.U.CCC.U..AAKUG.FFK.G...K.G.EEETT B99 K96 U99 E99 
8 5 3	....BBCCCKU.AA.KUG.FFKUG.....G.EEETT B96 K95 A99 E99 
8 5 3	...BB.CCCKUG.AAKUG.FFKUG.......EEETT B97 K95 G99 E99 
8 5 3	.BBK.GCCCKUG.AAKUGFF..U.......EEE.TT B99 K94 G98 F99 
8 5 3	.BB.U.CCCKU..AAKUG.FFK.G.....GEEE.TT B99 K95 U99 
8 5 3	BB.K..CCCKUG.AAKUGFF..UG.......EEETT K94 G99 F99 E99 
8 5 3	...BB.CCC.U.AA.KUGFF.KUG...K.GEEETT. B97 K98 A99 F99 T99 
8 5 3	...KBBCCCKU..AAKUGFF..UG.....GEEETT. B96 K94 F99 T99 
8 5 3	.BB..GCCCKUG.AAKUG.FFKU.......EEE.TT B95 G98 K95 
8 5 3	...BB.CCCK...AAKUG.FFKUG....UG.EEETT B97 K95 U99 E99 
8 5 3	...BB.CCCKU..AAKUG.FFKUG.....GEEE.TT B97 K95 U98 
8 5 3	..BBU..CCCU..AAKUGFF.K.G...K.GEEE.TT B98 K98 C99 U99 F99 
8 5 3	BB.K..CCCKU.AA.KUGFF..UG.....GEEETT. K94 A99 F99 T99 
8 6 2	BB.K..CCCKU.AA.KU.FF..UG.....GEEETTG K94 A99 G99 F99 T99 
8 5 3	BB..UGCCC.UG.AAKUG.FFK.....K..EEETT. K96 U99 G98 T99 
8 5 3	BB..U.CCC.U.AA.KUG.FFK.G...K.GEEETT. K96 U99 A99 T99 
8 5 3	...BB.CCCK.G.AAKUG.FFKUG....U.EEE.TT B97 K95 U99 G99 
8 5 3	.BB..GCCCKUGAA.KUG.FFKU.......EEE.TT B99 K95 A99 G98 
8 5 3	...BBGCCC.UG.AAKUG.FFKU....K...EEETT B97 K96 G98 E99 
8 5 3	BB..UGCCCKUGAA.KUG.FFK........EEE.TT K95 U99 A99 G98 
8 5 3	..BB.G.CCCUG.AAKUG.FFKU....K..EEETT. B98 K98 C99 G98 T99 
8 5 3	....BBCCC.U..AAKUGFF.KUG...K.GEEETT. B96 K96 F99 T99 
8 5 3	..BB..CCCK..AA.KUG.FFKUG....UGEEE.TT B98 K95 U99 A99 
8 5 3	..BB...CCC...AAKUG.FFKUG...KUGEEETT. B98 K98 C99 U99 T99 
8 5 3	...KBBCCCKU..AAKUGFF..UG.....G.EEETT B96 K94 F99 E99 
8 5 3	BB.....CCCU..AAKUG.FFKUG...K.GEEETT. B96 C99 K98 T99 
8 5 3	BB..U..CCCU..AAKUG.FFK.G...K.G.EEETT K96 C99 U99 E99 
8 5 3	....BBCCCKU..AAKUG.FFKUG.....G.EEETT K93 B96 E99 
8 5 3	BB.K..CCCKU..AAKUG..FFUG.....GEEE.TT K94 F97 
8 5 3	BB.....CCCU.AA.KUGFF.KUG...K.GEEE.TT K96 C99 A99 F99 
8 5 3	.BBK..CCCK...AAKUG.FF.UG....UG.EEETT B99 K94 U99 E99 
8 5 3	.BBK..CCCKUG.AAKUGFF..UG......EEE.TT B99 K94 G99 F99 
8 5 3	BB.K..CCCK...AAKUGFF..UG....UGEEETT. K94 U99 F99 T99 
8 6 2	BB.K..CCCK...AAKU.FF..UG....UGEEETTG K94 U99 G99 F99 T99 
8 5 3	....BBCCCKU..AAKUG.FFKUG.....GEEETT. B96 K95 T99 
8 5 3	.BBK..CCCKU.AA.KUGFF..UG.....GEEE.TT B99 K94 A99 F99 
8 5 3	BB.K..CCCK...AAKUGFF..UG....UG.EEETT K94 U99 F99 E99 
8 5 3	BB.K..CCCK...AAKUG..FFUG....UGEEE.TT K94 U99 F97 
8 5 3	...BBG.CCCUG.AAKUG.FFKU....K..EEE.TT B97 K96 C99 G98 
8 5 3	.BBK..CCCKUGAA.KUG.FF.UG......EEE.TT B99 K94 A99 G99 
8 5 3	....BBCCCKU..AAKUGFF.KUG.....G.EEETT B96 K95 F99 E99 
8 5 3	...KBBCCCKU..AAKUGFF..UG.....GEEE.TT B96 K94 F99 
8 5 3	...BB.CCC.U..AAKUGFF.KUG...K.G.EEETT B97 K96 F99 E99 
8 5 3	.BB...CCCKU..AAKUGFF.KUG.....GEEE.TT B93 K95 F99 
8 5 3	..BBUGCCCKUG.AAKUG.FFK........EEE.TT B98 K95 U99 G98 
8 5 3	.BB...CCC.U..AAKUGFF.KUG...K.GEEE.TT B95 K96 F99 
8 5 3	..BB..CCC.U..AAKUGFF.KUG...K.GEEE.TT B96 K96 F99 
8 5 3	...BB..CCCU..AAKUGFF.KUG...K.GEEE.TT B97 K96 C99 F99 
8 5 3	BB.KU.CCCKU..AAKUGFF...G.....G.EEETT K94 U99 F99 E99 
8 5 3	BB.KU.CCCKU..AAKUG...FFG.....GEEE.TT K94 U99 F96 
8 5 3	BB....CCCK..AA.KUG.FFKUG....UGEEETT. K95 U99 A99 T99 
8 6 2	BB....CCCK..AA.KU..FFKUG....UGEEETTG K95 U99 A99 G99 T99 
8 5 3	BB.KU.CCCKU..AAKUG..FF.G.....GEEE.TT K94 U99 F97 
8 5 3	.BB..GCCC.UG.AAKUG.FFKU....K..EEE.TT B95 G98 K96 
8 5 3	...BBGCCC.UGAA.KUGFF.KU....K..EEE.TT B97 K98 A99 G98 F99 
8 5 3	BB.K..CCCKU.AA.KUGFF..UG.....G.EEETT K94 A99 F99 E99 
8 5 3	BB.K..CCCKU.AA.KUG..FFUG.....GEEE.TT K94 A99 F97 
8 5 3	...KBBCCCKU..AAKUG..FFUG.....G.EEETT B96 K94 F99 E99 
8 5 3	..BB.GCCCKUG.AAKUGFF.KU.......EEE.TT B98 K95 G98 F99 
8 5 3	..BB..CCC....AAKUGFF.KUG...KUGEEE.TT B98 K96 U99 F99 
8 5 3	...BBGCCC.UGAA.KUG.FFKU....K..EEETT. B97 K98 A99 G98 T99 
8 5 3	...BB..CCCU.AA.KUG.FFKUG...K.GEEETT. B97 K98 C99 A99 T99 
8 5 3	BB.K.GCCCKUG.AAKUGFF..U.......EEETT. K94 G98 F99 T99 
8 5 3	BB.K..CCCKUG.AAKUG..FFUG......EEE.TT K94 G99 F97 
8 5 3	...BB.CCC....AAKUG.FFKUG...KUG.EEETT B97 K96 U99 E99 
8 5 3	.BB....CCC...AAKUG.FFKUG...KUGEEE.TT B99 K96 C99 U99 
8 5 3	BB.K.GCCCKUG.AAKUGFF..U........EEETT K94 G98 F99 E99 
8 5 3	BB.K.GCCCKUG.AAKUG..FFU.......EEE.TT K94 G98 F97 
8 5 3	..BB...CCCUG.AAKUG.FFKUG...K..EEE.TT B98 K96 C99 G99 
8 5 3	....BBCCC.UG.AAKUG.FFKUG...K...EEETT B96 K96 G99 E99 
8 5 3	.BBK..CCCKU.AA.KUG.FF.UG.....G.EEETT B99 K94 A99 E99 
8 5 3	....BBCCCK..AA.KUG.FFKUG....UGEEE.TT B96 K95 U99 A99 
8 5 3	.BB.....CCC..AAKUG.FFKUG...KUGEEE.TT B99 K96 C98 U99 
8 5 3	.BBK..CCCKU.AA.KUG..FFUG.....GEEE.TT B99 K94 A99 F99 
8 5 3	....BBCCCKUG.AAKUG.FFKUG.......EEETT B96 K95 G99 E99 
8 5 3	....BBCCC...AA.KUG.FFKUG...KUGEEE.TT B96 K96 U99 A99 
8 5 3	...BB.CCC.UG.AAKUG.FFKUG...K...EEETT B97 K96 G99 E99 
8 5 3	BB.....CCCU..AAKUGFF.KUG...K.G.EEETT K96 C99 F99 E99 
8 5 3	.BB....CCCU..AAKUGFF.KUG...K.GEEE.TT B99 K96 C99 F99 
8 5 3	.BB...CCCK...AAKUG.FFKUG....UG.EEETT B99 K95 U99 E99 
8 5 3	...KBBCCCK...AAKUG.FF.UG....UG.EEETT B96 K94 U99 E99 
8 5 3	...KBBCCCK...AAKUG..FFUG....UGEEE.TT B96 K94 U99 F99 
8 5 3	...KBBCCCKU.AA.KUG.FF.UG.....G.EEETT B96 K94 A99 E99 
8 5 3	...KBBCCCKU.AA.KUG..FFUG.....GEEE.TT B96 K94 A99 F99 
8 5 3	...BB.CCC...AA.KUG.FFKUG...KUG.EEETT B97 K98 U99 A99 E99 
8 5 3	...BB.CCC...AA.KUGFF.KUG...KUGEEE.TT B97 K98 U99 A99 F99 
8 5 3	..BBUG.CCCUG.AAKUG.FFK.....K..EEE.TT B98 K98 C99 U99 G98 
8 5 3	.BB....CCCUG.AAKUG.FFKUG...K..EEE.TT B99 K96 C99 G99 
8 5 3	BB..U..CCCU..AAKUGFF.K.G...K.GEEE.TT K96 C99 U99 F99 
8 5 3	.BB...CCC.U..AAKUGFF.KUG...K.GEEETT. B99 K96 F99 T99 
8 5 3	.BBK..CCCKU..AAKUG.FF.UG.....GEEETT. B99 K94 T99 
8 5 3	BB......CCC..AAKUGFF.KUG...KUGEEE.TT K96 C98 U99 F99 
8 5 3	.BB...CCC.U.AA.KUG.FFKUG...K.GEEETT. B99 K96 A99 T99 
8 5 3	.BB...CCCKU..AAKUG.FFKUG.....GEEETT. B99 K95 T99 
8 5 3	..BBU..CCCU..AAKUG.FFK.G...K.G.EEETT B98 K98 C99 U99 E99 
8 5 3	...BBGCCCKUG.AAKUG.FFKU........EEETT B97 K95 G98 E99 
8 5 3	....BBCCCKU.AA.KUGFF.KUG.....GEEE.TT B96 K95 A99 F99 
8 5 3	.BB.U.CCC.U..AAKUG.FFK.G...K.GEEETT. B99 K96 U99 T99 
8 5 3	.BB...CCC....AAKUG.FFKUG...KUGEEETT. B99 K96 U99 T99 
8 5 3	.BB....CCCU..AAKUG.FFKUG...K.GEEETT. B99 K96 C99 T99 
8 5 3	..BB..CCCK...AAKUGFF.KUG....UGEEE.TT B98 K95 U99 F99 
8 5 3	BB....CCC.U..AAKUG.FFKUG...K.GEEETT. B98 K96 T99 
8 5 3	....BB.CCCU..AAKUG.FFKUG...K.G.EEETT B96 K96 C99 E99 
8 5 3	BB..UGCCCKUG.AAKUG.FFK........EEETT. K95 U99 G98 T99 
8 5 3	...BBGCCCKUG.AAKUG.FFKU.......EEETT. B97 K95 G98 T99 
8 5 3	....BBCCCK...AAKUG.FFKUG....UGEEETT. B96 K95 U99 T99 
8 6 2	....BBCCCK...AAKU..FFKUG....UGEEETTG B96 K95 U99 G99 T99 
8 5 3	....BBCCC....AAKUG.FFKUG...KUG.EEETT B96 K96 U99 E99 
8 5 3	BB.K..CCCK..AA.KUG.FF.UG....UGEEETT. K94 U99 A99 T99 
8 6 2	BB.K..CCCK..AA.KU..FF.UG....UGEEETTG K94 U99 A99 G99 T99 
8 5 3	..BB..CCCKU.AA.KUG.FFKUG.....G.EEETT B98 K95 A99 E99 
8 5 3	BB.K..CCCK..AA.KUG.FF.UG....UG.EEETT K94 U99 A99 E99 
8 5 3	BB.K..CCCK..AA.KUG..FFUG....UGEEE.TT K94 U99 A99 F99 
8 5 3	..BBU.CCCKU..AAKUGFF.K.G.....GEEE.TT B98 K95 U99 F99 
8 5 3	BB..U.CCC.UG.AAKUG.FFK.G...K...EEETT K96 U99 G99 E99 
8 5 3	BB.....CCCU.AA.KUG.FFKUG...K.G.EEETT K96 C99 A99 E99 
8 5 3	BB...GCCCK.GAA.KUG.FFKU.....U.EEE.TT K95 U99 A99 G98 
8 5 3	BB...GCCC..GAA.KUG.FFKU....KU.EEE.TT K96 U99 A99 G98 
8 5 3	...BB.CCCKU.AA.KUG.FFKUG.....G.EEETT B97 K95 A99 E99 
8 5 3	...BB.CCCKUG.AAKUG.FFKUG......EEETT. B97 K95 G99 T99 
8 5 3	BB......CCC..AAKUG.FFKUG...KUGEEETT. K96 C98 U99 T99 
8 5 3	..BB.GCCC.UGAA.KUG.FFKU....K..EEE.TT B98 K96 A99 G98 
8 5 3	...BB.CCCK...AAKUGFF.KUG....UGEEE.TT B97 K95 U99 F99 
8 5 3	BB..U.CCCKU..AAKUGFF.K.G.....GEEE.TT K93 U99 F99 
8 5 3	....BBCCC.U..AAKUGFF.KUG...K.G.EEETT B96 K96 F99 E99 
8 5 3	...BB..CCCU..AAKUG.FFKUG...K.G.EEETT B97 K96 C99 E99 
8 5 3	.BBKU.CCCKU..AAKUG..FF.G.....GEEE.TT B99 K94 U99 F99 
8 5 3	.BB...CCC.U.AA.KUG.FFKUG...K.GEEE.TT B93 A99 K96 
8 5 3	..BB.GCCCKUG.AAKUG.FFKU.......EEETT. B98 K95 G98 T99 
8 5 3	..BB..CCC.UGAA.KUG.FFKUG...K..EEETT. B98 K98 A99 G99 T99 
8 5 3	BB.......CCC.AAKUG.FFKUG...KUG.EEETT K96 C97 U99 E99 
8 5 3	.BB..G.CCCUG.AAKUG.FFKU....K..EEE.TT B99 K96 C99 G98 
8 5 3	...BB.CCC.U.AA.KUGFF.KUG...K.GEEE.TT B97 K96 A99 F99 
8 5 3	..BB..CCC.UG.AAKUG.FFKUG...K..EEETT. B98 K96 G99 T99 
8 5 3	..BB...CCCU.AA.KUG.FFKUG...K.G.EEETT B98 K98 C99 A99 E99 
8 5 3	..BB...CCCUGAA.KUG.FFKUG...K..EEE.TT B98 K98 C99 A99 G99 
8 5 3	...BB.CCCKU.AA.KUGFF.KUG.....GEEE.TT B97 K95 A99 F99 
8 5 3	..BB..CCC..G.AAKUG.FFKUG...KU.EEE.TT B98 K96 U99 G99 
8 5 3	BB.K..CCCK..AA.KUGFF..UG....UGEEE.TT K94 U99 A99 F99 
8 5 3	.BB..GCCC.UGAA.KUG.FFKU....K..EEE.TT B99 K96 A99 G98 
