3 0 3	BB.K..CCCKU..AAKUG.FF.UG.....GEEE.TT 
5 3 2	BB.....CCCU.AA..UG.FFKUG...K.GEEEKTT K97 C99 A99 
5 2 3	..BB..CCC.U..AAKUG.FFKUG...K.GEEE.TT B98 K98 
5 2 3	...BB.CCC.U..AAKUG.FFKUG...K.GEEE.TT B97 K98 
6 4 2	BB...G.CCCUGAA..UG.FFKU....K..EEEKTT K97 C99 A99 G98 
6 4 2	BB..U.CCC.UGAA..UG.FFK.G...K..EEEKTT K97 U99 A99 G99 
6 4 2	..BB..CCC.UGAA..UG.FFKUG...K..EEEKTT B98 K97 A99 G99 
6 4 2	..BB..CCC.UG..AAUG.FFKUG...K..EEEKTT B98 K97 A99 G99 
6 4 2	....BBCCC....AA.UGFF.KUG...KUGEEEKTT B96 K97 U99 F99 
6 4 2	..BB..CCC..G.AA.UG.FFKUG...KU.EEEKTT B98 K97 U99 G99 
6 4 2	..BBU.CCC.UG.AA.UG.FFK.G...K..EEEKTT B98 K97 U99 G99 
6 4 2	..BBU.CCC.U...AAUG.FFK.G...K.GEEEKTT B98 K97 U99 A99 
6 4 2	..BB...CCCUG.AA.UG.FFKUG...K..EEEKTT B98 K97 C99 G99 
6 4 2	....BB..CCC..AA.UG.FFKUG...KUGEEEKTT B96 K97 C98 U99 
6 4 2	....BB...CCC.AA.UG.FFKUG...KUGEEEKTT B96 K97 C97 U99 
6 4 2	BB..UGCCC.UGAA..UG.FFK.....K..EEEKTT K97 U99 A99 G98 
6 4 2	....BB.CCC...AA.UG.FFKUG...KUGEEEKTT B96 K97 C99 U99 
6 4 2	BB...GCCC..GAA..UG.FFKU....KU.EEEKTT K97 U99 A99 G98 
6 4 2	..BB.GCCC.UGAA..UG.FFKU....K..EEEKTT B98 K97 A99 G98 
6 4 2	....BB.CCCU.AA..UG.FFKUG...K.GEEEKTT B96 K97 C99 A99 
6 4 2	....BBCCC.U.AA..UGFF.KUG...K.GEEEKTT B96 K97 A99 F99 
6 4 2	..BB.GCCC.UG..AAUG.FFKU....K..EEEKTT B98 K97 A99 G98 
6 4 2	..BB.GCCC..G.AA.UG.FFKU....KU.EEEKTT B98 K97 U99 G98 
6 4 2	..BBUGCCC.UG.AA.UG.FFK.....K..EEEKTT B98 K97 U99 G98 
6 4 2	BB..UGCCC.UG..AAUG.FFK.....K..EEEKTT K97 U99 A99 G98 
6 4 2	..BB.G.CCCUG.AA.UG.FFKU....K..EEEKTT B98 K97 C99 G98 
6 4 2	....BBCCC...AA..UG.FFKUG...KUGEEEKTT B96 K97 U99 A99 
6 4 2	BB....CCC..G..AAUG.FFKUG...KU.EEEKTT K97 U99 A99 G99 
6 4 2	BB.....CCCUG..AAUG.FFKUG...K..EEEKTT K97 C99 A99 G99 
6 4 2	..BB..CCC.....AAUG.FFKUG...KUGEEEKTT B98 K97 U99 A99 
6 4 2	.BB..GCCC.UG..AAUG.FFKU....K..EEEKTT B99 K97 A99 G98 
6 4 2	BB.....CCC....AAUG.FFKUG...KUGEEEKTT K97 C99 U99 A99 
6 4 2	BB...G.CCC.G.AA.UG.FFKU....KU.EEEKTT K97 C99 U99 G98 
6 4 2	..BB...CCCU...AAUG.FFKUG...K.GEEEKTT B98 K97 C99 A99 
6 4 2	BB.....CCC.G.AA.UG.FFKUG...KU.EEEKTT K97 C99 U99 G99 
6 4 2	.BB..GCCC.UGAA..UG.FFKU....K..EEEKTT B99 K97 A99 G98 
6 4 2	..BB...CCC...AA.UG.FFKUG...KUGEEEKTT B98 K97 C99 U99 
6 4 2	BB.....CCC..AA..UG.FFKUG...KUGEEEKTT K97 C99 U99 A99 
6 4 2	BB..U..CCCUG.AA.UG.FFK.G...K..EEEKTT K97 C99 U99 G99 
6 4 2	BB..UG.CCCUG.AA.UG.FFK.....K..EEEKTT K97 C99 U99 G98 
6 4 2	.BB.UGCCC.UG.AA.UG.FFK.....K..EEEKTT B99 K97 U99 G98 
6 4 2	.BB.U.CCC.U...AAUG.FFK.G...K.GEEEKTT B99 K97 U99 A99 
6 4 2	.BB..GCCC..G.AA.UG.FFKU....KU.EEEKTT B99 K97 U99 G98 
6 4 2	BB..U..CCCU.AA..UG.FFK.G...K.GEEEKTT K97 C99 U99 A99 
6 4 2	BB..U..CCCU...AAUG.FFK.G...K.GEEEKTT K97 C99 U99 A99 
6 4 2	BB.......CCC..AAUG.FFKUG...KUGEEEKTT K97 C97 U99 A99 
6 4 2	..BBU..CCCU..AA.UG.FFK.G...K.GEEEKTT B98 K97 C99 U99 
6 4 2	.BB..G.CCCUG.AA.UG.FFKU....K..EEEKTT B99 K97 C99 G98 
6 4 2	..BB.....CCC.AA.UG.FFKUG...KUGEEEKTT B98 K97 C97 U99 
6 4 2	BB.......CCCAA..UG.FFKUG...KUGEEEKTT K97 C97 U99 A99 
6 4 2	BB......CCCG.AA.UG.FFKUG...KU.EEEKTT K97 C98 U99 G99 
6 4 2	BB...G..CCCG.AA.UG.FFKU....KU.EEEKTT K97 C98 U99 G98 
6 4 2	....BBCCC.UG.AA.UGFF.KUG...K..EEEKTT B96 K97 G99 F99 
6 4 2	..BB....CCC..AA.UG.FFKUG...KUGEEEKTT B98 K97 C98 U99 
6 4 2	BB......CCC.AA..UG.FFKUG...KUGEEEKTT K97 C98 U99 A99 
6 4 2	BB......CCC...AAUG.FFKUG...KUGEEEKTT K97 C98 U99 A99 
6 4 2	....BBCCC.UGAA..UG.FFKUG...K..EEEKTT B96 K97 A99 G99 
6 4 2	...BB...CCC..AA.UG.FFKUG...KUGEEEKTT B97 K97 C98 U99 
6 4 2	...BB....CCC.AA.UG.FFKUG...KUGEEEKTT B97 K97 C97 U99 
6 4 2	....BBCCC..G.AA.UG.FFKUG...KU.EEEKTT B96 K97 U99 G99 
6 4 2	...BB..CCC...AA.UG.FFKUG...KUGEEEKTT B97 K97 C99 U99 
6 4 2	....BBCCC.UG..AAUG.FFKUG...K..EEEKTT B96 K97 A99 G99 
6 4 2	....BB.CCCUG.AA.UG.FFKUG...K..EEEKTT B96 K97 C99 G99 
6 4 2	...BB..CCCU...AAUG.FFKUG...K.GEEEKTT B97 K97 C99 A99 
6 4 2	...BB.CCC.....AAUG.FFKUG...KUGEEEKTT B97 K97 U99 A99 
6 4 2	...BB.CCC...AA..UG.FFKUG...KUGEEEKTT B97 K97 U99 A99 
6 4 2	...BB..CCCU.AA..UG.FFKUG...K.GEEEKTT B97 K97 C99 A99 
6 4 2	....BBCCC.....AAUG.FFKUG...KUGEEEKTT B96 K97 U99 A99 
6 4 2	BB..U.CCC.U...AAUGFF.K.G...K.GEEEKTT K97 U99 A99 F99 
6 4 2	...BB.CCC.UG..AAUG.FFKUG...K..EEEKTT B97 K97 A99 G99 
6 4 2	...BB.CCC.UGAA..UG.FFKUG...K..EEEKTT B97 K97 A99 G99 
6 4 2	....BB.CCCU...AAUG.FFKUG...K.GEEEKTT B96 K97 C99 A99 
6 4 2	...BB.CCC..G.AA.UG.FFKUG...KU.EEEKTT B97 K97 U99 G99 
6 4 2	...BB..CCCUG.AA.UG.FFKUG...K..EEEKTT B97 K97 C99 G99 
6 4 2	.BB..GCCC.UG.AA.UGFF.KU....K..EEEKTT B99 K97 G98 F99 
6 4 2	...BBGCCC..G.AA.UG.FFKU....KU.EEEKTT B97 K97 U99 G98 
6 4 2	...BBGCCC.UG..AAUG.FFKU....K..EEEKTT B97 K97 A99 G98 
6 4 2	...BBGCCC.UGAA..UG.FFKU....K..EEEKTT B97 K97 A99 G98 
6 4 2	.BB...CCC.UG.AA.UGFF.KUG...K..EEEKTT B99 K97 G99 F99 
6 4 2	...BBG.CCCUG.AA.UG.FFKU....K..EEEKTT B97 K97 C99 G98 
6 4 2	.BB...CCC.U.AA..UGFF.KUG...K.GEEEKTT B99 K97 A99 F99 
6 4 2	.BB...CCC.U...AAUGFF.KUG...K.GEEEKTT B99 K97 A99 F99 
6 4 2	...BB..CCCU..AA.UGFF.KUG...K.GEEEKTT B97 K97 C99 F99 
6 4 2	..BB...CCCU..AA.UGFF.KUG...K.GEEEKTT B98 K97 C99 F99 
6 4 2	.BB...CCC....AA.UGFF.KUG...KUGEEEKTT B99 K97 U99 F99 
6 4 2	.BB.U.CCC.U..AA.UGFF.K.G...K.GEEEKTT B99 K97 U99 F99 
6 4 2	.BB......CCC.AA.UG.FFKUG...KUGEEEKTT B99 K97 C97 U99 
6 4 2	.BB.....CCC..AA.UG.FFKUG...KUGEEEKTT B99 K97 C98 U99 
6 4 2	.BB....CCC...AA.UG.FFKUG...KUGEEEKTT B99 K97 C99 U99 
6 4 2	.BB....CCCU..AA.UGFF.KUG...K.GEEEKTT B99 K97 C99 F99 
6 4 2	BB.......CCC.AA.UGFF.KUG...KUGEEEKTT K97 C97 U99 F99 
6 4 2	BB.....CCC...AA.UGFF.KUG...KUGEEEKTT K97 C99 U99 F99 
6 4 2	BB......CCC..AA.UGFF.KUG...KUGEEEKTT K97 C98 U99 F99 
6 4 2	...BB.CCC....AA.UGFF.KUG...KUGEEEKTT B97 K97 U99 F99 
6 4 2	BB...G.CCCUG..AAUG.FFKU....K..EEEKTT K97 C99 A99 G98 
6 4 2	..BB..CCC....AA.UGFF.KUG...KUGEEEKTT B98 K97 U99 F99 
6 4 2	BB..U..CCCU..AA.UGFF.K.G...K.GEEEKTT K97 C99 U99 F99 
6 4 2	..BBU.CCC.U..AA.UGFF.K.G...K.GEEEKTT B98 K97 U99 F99 
6 4 2	.BB.U..CCCU..AA.UG.FFK.G...K.GEEEKTT B99 K97 C99 U99 
6 4 2	BB....CCC.....AAUGFF.KUG...KUGEEEKTT K97 U99 A99 F99 
6 4 2	BB.....CCCU...AAUGFF.KUG...K.GEEEKTT K97 C99 A99 F99 
6 4 2	...BB.CCC.U...AAUGFF.KUG...K.GEEEKTT B97 K97 A99 F99 
6 4 2	..BB..CCC.U...AAUGFF.KUG...K.GEEEKTT B98 K97 A99 F99 
6 4 2	BB..U.CCC.U.AA..UGFF.K.G...K.GEEEKTT K97 U99 A99 F99 
6 4 2	BB.....CCCU.AA..UGFF.KUG...K.GEEEKTT K97 C99 A99 F99 
6 4 2	BB....CCC...AA..UGFF.KUG...KUGEEEKTT K97 U99 A99 F99 
6 4 2	...BB.CCC.U.AA..UGFF.KUG...K.GEEEKTT B97 K97 A99 F99 
6 4 2	..BB..CCC.U.AA..UGFF.KUG...K.GEEEKTT B98 K97 A99 F99 
6 4 2	BB...GCCC..G..AAUG.FFKU....KU.EEEKTT K97 U99 A99 G98 
6 4 2	.BB...CCC...AA..UG.FFKUG...KUGEEEKTT B99 K97 U99 A99 
6 4 2	.BB.U.CCC.U.AA..UG.FFK.G...K.GEEEKTT B99 K97 U99 A99 
6 4 2	.BB....CCCU.AA..UG.FFKUG...K.GEEEKTT B99 K97 C99 A99 
6 4 2	BB....CCC.UG..AAUGFF.KUG...K..EEEKTT K97 A99 G99 F99 
6 4 2	BB..U.CCC.UG.AA.UGFF.K.G...K..EEEKTT K97 U99 G99 F99 
