2 2 0	.OOTT.YIIIP.YAA.PL.CCHHLMUUU..MKKEE. M99 L98 
2 2 0	.OOTT.YIIIPLYAA.PL.CCHH.MUUU..MKKEE. M99 L97 
2 2 0	.OOTTLYIIIPLYAA.P..CCHH.MUUU..MKKEE. M99 L96 
2 2 0	.OOTT.YIIIP.YAA.P.M.CCHHMUUU.L.KKEEL C99 H99 
2 2 0	.OOTT.YIIIP.YAA.P.MCC.HHM.UUUL.KKEEL H99 U99 
2 2 0	.OOTT.YIIIP.YAA.P.MCC.HHMUUU.LKK.EEL H99 K99 
2 2 0	.OOTT.YIIIP.YAA.P.MCCHHLM.UUUL.KKEE. U99 L99 
2 2 0	.OOTT.YIIIP.YAA.PLMCCHHLM.UUU..KKEE. U99 L98 
2 2 0	.OOTT.YIIIPLYAA.PLMCCHH.M.UUU..KKEE. U99 L97 
2 2 0	.OOTTLYIIIPLYAA.P.MCCHH.M.UUU..KKEE. U99 L96 
2 2 0	.OOTT.YIIIP.YAA.P.MCCHH.M.UUULKK.EEL U99 K99 
2 2 0	.OOTT.YIIIP.YAA.P.MCCHHLMUUU.LKK.EE. L99 K99 
2 2 0	.OOTT.YIIIP.YAA.P.MCCHHLMUUU.L.KK.EE L99 E99 
2 2 0	.OOTT.YIIIP.YAA.PLMCCHHLM..UUU.KKEE. U98 L98 
2 2 0	.OOTT.YIIIP.YAA.PLMCCHHLMUUU..KK.EE. L98 K99 
2 2 0	.OOTT.YIIIP.YAA.PLMCCHHLMUUU...KK.EE L98 E99 
2 2 0	.OOTT.YIIIPLYAA.PLMCC.HHMUUU...KKEE. H99 L97 
2 2 0	.OOTT.YIIIPLYAA.PLMCCHH.M..UUU.KKEE. U98 L97 
2 2 0	.OOTT.YIIIPLYAA.PLMCCHH.MUUU..KK.EE. L97 K99 
2 2 0	.OOTT.YIIIPLYAA.PLMCCHH.MUUU...KK.EE L97 E99 
2 2 0	.OOTTLYIIIPLYAA.P.MCC.HHMUUU...KKEE. H99 L96 
2 2 0	.OOTTLYIIIPLYAA.P.MCCHH.M..UUU.KKEE. U98 L96 
2 2 0	.OOTTLYIIIPLYAA.P.MCCHH.MUUU..KK.EE. L96 K99 
2 2 0	.OOTTLYIIIPLYAA.P.MCCHH.MUUU...KK.EE L96 E99 
2 2 0	.OOTT.YIIIP.YAA.P.MCCHH.MUUU.LKKEE.L K99 E99 
3 3 0	OOTTP.YIIIP.YAA...MCCHH.MUUU.L.KKEEL O99 T99 P99 
3 3 0	OOTT..YIIIP.Y.AAP.MCCHH.MUUU.L.KKEEL O99 T99 A99 
3 3 0	OOTT..YIIIP.YAA.P..CCHH.MUUU.LMKKEEL O99 T99 M99 
3 3 0	OOTT..YIIIP.YAA.P.MCC.HHMUUU.L.KKEEL O99 T99 H99 
3 3 0	OOTT..YIIIP.YAA.P.MCCHH.M.UUUL.KKEEL O99 T99 U99 
3 3 0	OOTT..YIIIP.YAA.P.MCCHHLMUUU.L.KKEE. O99 T99 L99 
3 3 0	OOTT..YIIIP.YAA.PLMCCHHLMUUU...KKEE. O99 T99 L98 
3 3 0	OOTT..YIIIPLYAA.PLMCCHH.MUUU...KKEE. O99 T99 L97 
3 3 0	OOTT.LYIIIPLYAA.P.MCCHH.MUUU...KKEE. O99 T99 L96 
3 3 0	OOTT..YIIIP.YAA.P.MCCHH.MUUU.LKK.EEL O99 T99 K99 
3 3 0	OO..TTYIIIP.Y.AAP.MCCHH.MUUU.L.KKEEL O99 T99 A99 
3 3 0	OO..TTYIIIP.YAA.P..CCHH.MUUU.LMKKEEL O99 T99 M99 
3 3 0	OO..TTYIIIP.YAA.P.MCC.HHMUUU.L.KKEEL O99 T99 H99 
3 3 0	OO..TTYIIIP.YAA.P.MCCHH.M.UUUL.KKEEL O99 T99 U99 
3 3 0	OO..TTYIIIP.YAA.P.MCCHHLMUUU.L.KKEE. O99 T99 L99 
3 3 0	OO..TTYIIIP.YAA.PLMCCHHLMUUU...KKEE. O99 T99 L98 
3 3 0	OO..TTYIIIPLYAA.PLMCCHH.MUUU...KKEE. O99 T99 L97 
3 3 0	OO..TTYIIIP.YAA.P.MCCHH.MUUU.LKK.EEL O99 T99 K99 
3 3 0	OO.TT.YIIIP.Y.AAP..CCHH.MUUU.LMKKEEL O99 A99 M99 
3 3 0	OO.TT.YIIIP.Y.AAP.MCC.HHMUUU.L.KKEEL O99 A99 H99 
3 3 0	OO.TT.YIIIP.Y.AAP.MCCHH.M.UUUL.KKEEL O99 A99 U99 
3 3 0	OO.TT.YIIIP.Y.AAP.MCCHHLMUUU.L.KKEE. O99 A99 L99 
3 3 0	OO.TT.YIIIP.Y.AAPLMCCHHLMUUU...KKEE. O99 A99 L98 
3 3 0	OO.TT.YIIIPLY.AAPLMCCHH.MUUU...KKEE. O99 A99 L97 
3 3 0	OO.TTLYIIIPLY.AAP.MCCHH.MUUU...KKEE. O99 A99 L96 
3 3 0	OO.TT.YIIIP.Y.AAP.MCCHH.MUUU.LKK.EEL O99 A99 K99 
3 3 0	OO.TT..IIIP.YAA.P.YCCHH.MUUU.LMKKEEL O99 Y99 M99 
3 3 0	OO.TT.YIIIP.YAA.P.CC.HH.MUUU.LMKKEEL O99 M99 C99 
3 3 0	OO.TT.YIIIP.YAA.P..CC.HHMUUU.LMKKEEL O99 M99 H99 
3 3 0	OO.TT.YIIIP.YAA.P..CCHH.M.UUULMKKEEL O99 M99 U99 
3 3 0	OO.TT.YIIIP.YAA.P..CCHHLMUUU.LMKKEE. O99 M99 L99 
3 3 0	OO.TT.YIIIP.YAA.PL.CCHHLMUUU..MKKEE. O99 M99 L98 
3 3 0	OO.TT.YIIIPLYAA.PL.CCHH.MUUU..MKKEE. O99 M99 L97 
3 3 0	OO.TTLYIIIPLYAA.P..CCHH.MUUU..MKKEE. O99 M99 L96 
3 3 0	OO.TT.YIIIP.YAA.P.M.CCHHMUUU.L.KKEEL O99 C99 H99 
3 3 0	OO.TT.YIIIP.YAA.P.MCC.HHM.UUUL.KKEEL O99 H99 U99 
3 3 0	OO.TT.YIIIP.YAA.P.MCC.HHMUUU.LKK.EEL O99 H99 K99 
3 3 0	OO.TT.YIIIP.YAA.P.MCCHHLM.UUUL.KKEE. O99 U99 L99 
3 3 0	OO.TT.YIIIP.YAA.PLMCCHHLM.UUU..KKEE. O99 U99 L98 
3 3 0	OO.TT.YIIIPLYAA.PLMCCHH.M.UUU..KKEE. O99 U99 L97 
3 3 0	OO.TTLYIIIPLYAA.P.MCCHH.M.UUU..KKEE. O99 U99 L96 
3 3 0	OO.TT.YIIIP.YAA.P.MCCHH.M.UUULKK.EEL O99 U99 K99 
3 3 0	OO.TT.YIIIP.YAA.P.MCCHHLMUUU.LKK.EE. O99 L99 K99 
3 3 0	OO.TT.YIIIP.YAA.P.MCCHHLMUUU.L.KK.EE O99 L99 E99 
3 3 0	OO.TT.YIIIP.YAA.PLMCCHHLM..UUU.KKEE. O99 U98 L98 
3 3 0	OO.TT.YIIIP.YAA.PLMCCHHLMUUU..KK.EE. O99 L98 K99 
3 3 0	OO.TT.YIIIP.YAA.PLMCCHHLMUUU...KK.EE O99 L98 E99 
3 3 0	OO.TT.YIIIPLYAA.PLMCC.HHMUUU...KKEE. O99 H99 L97 
3 3 0	OO.TT.YIIIPLYAA.PLMCCHH.M..UUU.KKEE. O99 U98 L97 
3 3 0	OO.TT.YIIIPLYAA.PLMCCHH.MUUU..KK.EE. O99 L97 K99 
3 3 0	OO.TT.YIIIPLYAA.PLMCCHH.MUUU...KK.EE O99 L97 E99 
3 3 0	OO.TTLYIIIPLYAA.P.MCC.HHMUUU...KKEE. O99 H99 L96 
3 3 0	OO.TTLYIIIPLYAA.P.MCCHH.M..UUU.KKEE. O99 U98 L96 
3 3 0	OO.TTLYIIIPLYAA.P.MCCHH.MUUU..KK.EE. O99 L96 K99 
3 3 0	OO.TTLYIIIPLYAA.P.MCCHH.MUUU...KK.EE O99 L96 E99 
3 3 0	OO.TT.YIIIP.YAA.P.MCCHH.MUUU.LKKEE.L O99 K99 E99 
3 3 0	Y.OOTTYIIIP..AA.P.MCCHH.MUUU.L.KKEEL O99 T99 Y99 
3 3 0	..OOTTYIIIP.Y.AAP.MCCHH.MUUU.L.KKEEL O99 T99 A99 
3 3 0	..OOTTYIIIP.YAA.P..CCHH.MUUU.LMKKEEL O99 T99 M99 
3 3 0	..OOTTYIIIP.YAA.P.MCC.HHMUUU.L.KKEEL O99 T99 H99 
3 3 0	..OOTTYIIIP.YAA.P.MCCHH.M.UUUL.KKEEL O99 T99 U99 
3 3 0	..OOTTYIIIP.YAA.P.MCCHHLMUUU.L.KKEE. O99 T99 L99 
3 3 0	..OOTTYIIIP.YAA.PLMCCHHLMUUU...KKEE. O99 T99 L98 
3 3 0	..OOTTYIIIPLYAA.PLMCCHH.MUUU...KKEE. O99 T99 L97 
3 3 0	..OOTTYIIIP.YAA.P.MCCHH.MUUU.LKK.EEL O99 T99 K99 
3 3 0	YOO.TTYIIIP.AA..P.MCCHH.MUUU.L.KKEEL T99 Y99 A99 
