4 4 0	...BYYGGGB..FAA.STF..CSTF..CPPDD.C.. S99 C99 F99 D98 
4 4 0	...BYYGGGB..FAA.STF..CSTF..CPP...CDD S99 C99 F99 D98 
4 4 0	....YYGGGB...AABSTF..CSTF..CPPFDDC.. B99 S99 C99 D99 
4 4 0	...BYYGGGB....AASTF..CSTF..CPPFDDC.. S99 A99 C99 D99 
4 4 0	....YYGGGB...AABSTF..CSTF..CPPF..CDD B99 S99 C99 D98 
4 4 0	...BYYGGGB....AASTF..CSTF..CPPF..CDD S99 A99 C99 D98 
4 4 0	...BYYGGGBSTAA..STF..C..F..CPPFDDC.. A99 C99 T99 D99 
4 4 0	...BYYGGGBSTAA..STF..C..F..CPPF..CDD A99 C99 T99 D98 
4 4 0	....YYGGGBS.AA.BSTF..C.TF..CPPFDDC.. B99 A99 C99 D99 
4 4 0	....YYGGGBS.AA.BSTF..C.TF..CPPF..CDD B99 A99 C99 D98 
4 4 0	...BYYGGGBSTFAA.STF..C..F..CPP.DDC.. C99 T99 F99 D99 
4 4 0	...BYYGGGBSTFAA.STF..C..F..CPPDD.C.. C99 T99 F99 D98 
4 4 0	...BYYGGGBSTFAA.STF..C..F..CPP...CDD C99 T99 F99 D98 
4 4 0	....YYGGGBST.AABSTF..C..F..CPPFDDC.. B99 T99 C99 D99 
4 4 0	...BYYGGGBST..AASTF..C..F..CPPFDDC.. A99 C99 T99 D99 
4 4 0	....YYGGGBST.AABSTF..C..F..CPPF..CDD B99 T99 C99 D98 
4 4 0	...BYYGGGBST..AASTF..C..F..CPPF..CDD A99 C99 T99 D98 
4 4 0	....YYGGGBS.FAABSTF..C.TF..CPP.DDC.. B99 F99 C99 D99 
4 4 0	...BYYGGGBS.F.AASTF..C.TF..CPP.DDC.. A99 C99 F99 D99 
4 4 0	....YYGGGBS.FAABSTF..C.TF..CPPDD.C.. B99 F99 C99 D98 
4 4 0	...BYYGGGBS.F.AASTF..C.TF..CPPDD.C.. A99 C99 F99 D98 
4 4 0	....YYGGGBS.FAABSTF..C.TF..CPP...CDD B99 F99 C99 D98 
4 4 0	...BYYGGGBS.F.AASTF..C.TF..CPP...CDD A99 C99 F99 D98 
4 4 0	...YY.GGGBS..AABSTF..C.TF..CPPFDDC.. Y99 B99 C99 D99 
4 4 0	..YY..GGGBS..AABSTF..C.TF..CPPFDDC.. Y98 B99 C99 D99 
4 4 0	.YY...GGGBS..AABSTF..C.TF..CPPFDDC.. Y97 B99 C99 D99 
4 4 0	YY....GGGBS..AABSTF..C.TF..CPPFDDC.. Y96 B99 C99 D99 
4 4 0	...YY.GGGBS..AABSTF..C.TF..CPPF..CDD Y99 B99 C99 D98 
4 4 0	..YY..GGGBS..AABSTF..C.TF..CPPF..CDD Y98 B99 C99 D98 
4 4 0	.YY...GGGBS..AABSTF..C.TF..CPPF..CDD Y97 B99 C99 D98 
4 4 0	YY....GGGBS..AABSTF..C.TF..CPPF..CDD Y96 B99 C99 D98 
5 5 0	...BYYGGGB.TAA..STF..CS.F..CPPFDDC.. S99 A99 C99 T99 D99 
5 5 0	...BYYGGGB.TAA..STF..CS.F..CPPF..CDD S99 A99 C99 T99 D98 
5 5 0	....YYGGGB..AA.BSTF..CSTF..CPPFDDC.. B99 A99 S99 C99 D99 
