6 4 2	CC.BBBHH.FL.GAAFL.G.DFL...DUUY...EEY C99 G98 D99 Y98 
6 4 2	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY....EE Y99 G99 D99 E99 
6 4 2	.CCBBBHH.FL..AAFL.G.DFL.G.DUUYEE...Y Y98 G99 D99 E97 
6 4 2	.CCBBB.HHFL.GAAFL.G..FLY..DUUY..D.EE H99 Y99 G98 E99 
6 4 2	.CCBBBHH.FL.AA.FL...DFLYG.DUUYG.EE.. A99 Y99 D99 E99 
6 4 2	CC.BBBHH.FL..AAFL...DFLYG.DUUYG.EE.. C99 D99 Y99 E99 
6 4 2	.CCBBB.HHFL..AAFL.G..FLYG.DUUY..D.EE H99 Y99 G99 E99 
6 4 2	.CCBBBHH.FL..AAFL.G.DFLYG.DUUY.EE... Y99 G99 D99 E98 
6 4 2	.CCBBBGHHFL.GAAFL....FLY..DUUY..D.EE H99 Y99 G97 E99 
6 4 2	.CCBBB.HHFL.AA.FL....FLYG.DUUYG.D.EE H99 A99 Y99 E99 
6 4 2	CC.BBB.HHFL..AAFL....FLYG.DUUYG.D.EE C99 H99 Y99 E99 
6 4 2	.CCBBBHH.FL.GAAFL.G.DFLY..DUUY.EE... Y99 G98 D99 E98 
6 4 2	CC.BBBGHHFL.GAAFL....FLY..DUUY..DEE. C99 G97 H99 Y99 
6 4 2	.CCBBB.HHFL..AAFL...DFLYG.DUUYG...EE H99 Y99 D99 E99 
6 4 2	CC.BBBHH.FL..AAFL...DFLYG.DUUYGEE... C99 D99 Y99 E98 
6 4 2	.CCBBBHH.FL.AA.FL...DFLYG.DUUYGEE... A99 Y99 D99 E98 
6 4 2	CC.BBB.HHFL.GAAFL.G..FL...DUUY..DEEY C99 H99 G98 Y98 
6 4 2	CC.BBB.HHFL..AAFL...DFL.G.DUUYG..EEY C99 H99 D99 Y98 
6 4 2	GCCBBBGHHFL..AAFL....FLY..DUUY..D.EE H99 Y99 G96 E99 
6 4 2	CC.BBB.HHFL..AAFL.G..FL.G.DUUY..DEEY C99 H99 G99 Y98 
6 4 2	GCCBBBGHHFL.AA.FL....FLY..DUUY..DEE. H99 A99 Y99 G96 
6 4 2	.CCBBB.HHFL.AA.FL.G..FL.G.DUUY..DEEY H99 A99 Y98 G99 
6 4 2	.CCBBB.HHFL.AA.FL...DFL.G.DUUYG..EEY H99 A99 Y98 D99 
