0 0 0	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
6 6 0	HJJJPSH.NDPSAANDPU..NDLUBI..LOBIGG.O J99 H98 A99 D99 N98 G99 
6 6 0	HJJJPSH..DPSAA.DPUBINDLUBIN.LO..NGGO J99 H98 A99 D99 B99 I99 
6 6 0	HJJJPSH...PSAANDPUBINDLUBINDLO...GGO J99 H98 A99 N99 B99 I99 
6 6 0	HJJJPSH...PSAANDPUB.NDLUBINDLO.IGG.O J99 H98 A99 N99 B99 G99 
6 6 0	HJJJPSH...PSAANDPU.INDLUBINDLOB.GG.O J99 H98 A99 N99 I99 G99 
6 6 0	HJJJPSH...PSAANDPU.INDLUBINDLOBGG..O J99 H98 A99 N99 I99 G98 
6 6 0	HJJJPSH...PSAANDPU..ND.UBINDLOBIGGLO J99 H98 A99 N99 L99 G99 
6 6 0	HJJJPSH.N.PSAANDPUBINDLUBI.DLO...GGO J99 H98 A99 N98 B99 I99 
6 6 0	HJJJPSH.N.PSAANDPUB.NDLUBI.DLO.IGG.O J99 H98 A99 N98 B99 G99 
6 6 0	HJJJPSH.N.PSAANDPU.INDLUBI.DLOB.GG.O J99 H98 A99 N98 I99 G99 
6 6 0	HJJJPSH.N.PSAANDPU.INDLUBI.DLOBGG..O J99 H98 A99 N98 I99 G98 
6 6 0	HJJJPSH.N.PSAANDPU..ND.UBI.DLOBIGGLO J99 H98 A99 N98 L99 G99 
7 7 0	HJJJPSH..DPSAANDPUBINDLUBIN.LO...GGO J99 H98 A99 D99 N99 B99 I99 
7 7 0	HJJJPSH..DPSAANDPUB.NDLUBIN.LO.IGG.O J99 H98 A99 D99 N99 B99 G99 
7 7 0	HJJJPSH..DPSAANDPU.INDLUBIN.LOB.GG.O J99 H98 A99 D99 N99 I99 G99 
7 7 0	HJJJPSH..DPSAANDPU.INDLUBIN.LOBGG..O J99 H98 A99 D99 N99 I99 G98 
7 7 0	HJJJPSH..DPSAANDPU..ND.UBIN.LOBIGGLO J99 H98 A99 D99 N99 L99 G99 
7 7 0	HJJJPSH.NDPSAANDPUBINDLUBI..LO...GGO J99 H98 A99 D99 N98 B99 I99 
7 7 0	HJJJPSH.NDPSAANDPUB.NDLUBI..LO.IGG.O J99 H98 A99 D99 N98 B99 G99 
7 7 0	HJJJPSH.NDPSAANDPU.INDLUBI..LOB.GG.O J99 H98 A99 D99 N98 I99 G99 
7 7 0	HJJJPSH.NDPSAANDPU.INDLUBI..LOBGG..O J99 H98 A99 D99 N98 I99 G98 
7 7 0	HJJJPSH.NDPSAANDPU..ND.UBI..LOBIGGLO J99 H98 A99 D99 N98 L99 G99 
7 7 0	HJJJPSH...PSAANDPUBINDLUBINDLO..GG.O J99 H98 A99 N99 B99 I99 G99 
7 7 0	HJJJPSH...PSAANDPUBINDLUBINDLO.GG..O J99 H98 A99 N99 B99 I99 G98 
7 7 0	HJJJPSH...PSAANDPUBINDLUBINDLOGG...O J99 H98 A99 N99 B99 I99 G97 
7 7 0	HJJJPSH...PSAANDPUB.ND.UBINDLO.IGGLO J99 H98 A99 N99 L99 B99 G99 
7 7 0	HJJJPSH...PSAANDPU.IND.UBINDLOB.GGLO J99 H98 A99 N99 L99 I99 G99 
7 7 0	HJJJPSH...PSAAN.PU.INDLUBINDLOBGGD.O J99 H98 A99 D99 N99 I99 G98 
7 7 0	HJJJPSH...PSAANDPU.IND.UBINDLOBGG.LO J99 H98 A99 N99 L99 I99 G98 
7 7 0	HJJJ.SH...PSAANDPU..NDPUBINDLOBIGGLO J99 P99 H98 A99 N99 L99 G99 
7 7 0	HJJJPSH.N.PSAANDPUBINDLUBI.DLO..GG.O J99 H98 A99 N98 B99 I99 G99 
7 7 0	HJJJPSH.N.PSAANDPUBINDLUBI.DLO.GG..O J99 H98 A99 N98 B99 I99 G98 
7 7 0	HJJJPSH.N.PSAANDPUBINDLUBI.DLOGG...O J99 H98 A99 N98 B99 I99 G97 
7 7 0	HJJJPSH.N.PSAANDPUB.ND.UBI.DLO.IGGLO J99 H98 A99 N98 L99 B99 G99 
7 7 0	HJJJPSH.N.PSAANDPU.IND.UBI.DLOB.GGLO J99 H98 A99 N98 L99 I99 G99 
7 7 0	HJJJPSH.N.PSAAN.PU.INDLUBI.DLOBGGD.O J99 H98 A99 D99 N98 I99 G98 
7 7 0	HJJJPSH.N.PSAANDPU.IND.UBI.DLOBGG.LO J99 H98 A99 N98 L99 I99 G98 
7 7 0	HJJJ.SH.N.PSAANDPU..NDPUBI.DLOBIGGLO J99 P99 H98 A99 N98 L99 G99 
8 8 0	HJJJPSH..DPSAANDPUBINDLUBIN.LO..GG.O J99 H98 A99 D99 N99 B99 I99 G99 
8 8 0	HJJJPSH..DPSAANDPUBINDLUBIN.LO.GG..O J99 H98 A99 D99 N99 B99 I99 G98 
