4 4 0	.GGG....E..DAAE..DH....DHBBCC.ZZ..FF G99 D99 B99 C99 
4 4 0	.GGG....E..DAAE..DH....DHBB.CC.ZZ.FF G99 D99 B99 Z99 
4 4 0	.GGG....E..DAAE..DH....DHBB.CC..ZZFF G99 D99 B99 Z98 
4 4 0	.GGG....E..DAAE..DH....DHBB.CCZZ.FF. G99 D99 B99 F99 
4 4 0	.GGG....E..DAAE..DH....DHBB.CCZZFF.. G99 D99 B99 F98 
4 4 0	.GGG....E..DAAE..D.....DH.BBCCHZZ.FF G99 D99 H99 Z99 
4 4 0	.GGG....E..DAAE..DH....DH.BBCC.ZZFF. G99 D99 Z99 F99 
4 4 0	.GGG....E..DAAE..D.....DH.BBCCH.ZZFF G99 D99 H99 Z98 
4 4 0	.GGG.D.....DAAE..DH.E...HBBCC.ZZ..FF G99 E99 B99 C99 
4 4 0	.GGG.D.....DAAE..DH.E...HBB.CC.ZZ.FF G99 E99 B99 Z99 
4 4 0	.GGG.D.....DAAE..DH.E...HBB.CC..ZZFF G99 E99 B99 Z98 
4 4 0	.GGG.D.....DAAE..DH.E...HBB.CCZZ.FF. G99 E99 B99 F99 
4 4 0	.GGG.D.....DAAE..DH.E...HBB.CCZZFF.. G99 E99 B99 F98 
4 4 0	.GGG.D.....DAAE..D..E...H.BBCCHZZ.FF G99 E99 H99 Z99 
4 4 0	.GGG.D.....DAAE..DH.E...H.BBCC.ZZFF. G99 E99 Z99 F99 
4 4 0	.GGG.D.....DAAE..D..E...H.BBCCH.ZZFF G99 E99 H99 Z98 
4 4 0	.GGG....E...AAE..DH....DHBBCCDZZ..FF G99 D98 B99 C99 
4 4 0	.GGG.D..E..DAAE..DH.....HBBCC..ZZ.FF G99 B99 C99 Z99 
4 4 0	.GGG.D..E..DAAE..DH.....HBBCC...ZZFF G99 B99 C99 Z98 
4 4 0	.GGG.D..E..DAAE..DH.....HBBCC.ZZ.FF. G99 B99 C99 F99 
4 4 0	.GGG.D..E..DAAE..DH.....HBBCC.ZZFF.. G99 B99 C99 F98 
4 4 0	.GGG.D..E..DAAE..D......HBB.CCHZZ.FF G99 H99 B99 Z99 
4 4 0	.GGG.D..E..DAAE..DH.....HBB.CC.ZZFF. G99 B99 Z99 F99 
4 4 0	.GGG.D..E..DAAE..D......HBB.CCH.ZZFF G99 H99 B99 Z98 
4 4 0	.GGG.D..E..DAAE..D......H.BBCCHZZFF. G99 H99 Z99 F99 
4 4 0	GGG........DAAE..DH.E..DHBB.CCZZ..FF G98 D99 E99 B99 
4 4 0	GGG........DAAE..DH.E..DH.BBCC.ZZ.FF G98 D99 E99 Z99 
4 4 0	GGG........DAAE..DH.E..DH.BBCC..ZZFF G98 D99 E99 Z98 
4 4 0	GGG........DAAE..DH.E..DH.BBCCZZ.FF. G98 D99 E99 F99 
4 4 0	GGG........DAAE..DH.E..DH.BBCCZZFF.. G98 D99 E99 F98 
