6 0 6	CHH..YC....YCFAADE.F..DE..RITTBBRIPP C98 
4 1 3	CHH.DYC...DYCFAA.E.F...E..RITTBBRIPP D98 
5 2 3	.HH.DYC...DYCFAA.ECF...E..RITTBBRIPP C99 D98 
5 2 3	C.HHDYC...DYCFAA.E.F...E..RITTBBRIPP H99 D98 
5 2 3	CHH.DYCF..DYCFAA.E.....E..RITTBBRIPP F99 D98 
5 2 3	CHH.DYC...DYCF.AAE.F...E..RITTBBRIPP A99 D98 
5 2 3	CHH.DYC...DYC.AA.E.F...E.FRITTBBRIPP F99 D98 
5 2 3	.HH.DY....DYCFAA.ECF...EC.RITTBBRIPP C98 D98 
5 2 3	CHH.DYC...DYCFAA.E.FR..E..RITTBB.IPP D98 R99 
5 2 3	CHH.DYC...DYCFAA.E.F.I.E..RITTBBR.PP D98 I99 
6 3 3	CFHHDYCF..DYC.AA.E.....E..RITTBBRIPP H99 F98 D98 
6 3 3	C.HHDYC...DYCFAA.E.FR..E..RITTBB.IPP H99 D98 R99 
6 3 3	.HH.DY.F..DYCFAA.EC....EC.RITTBBRIPP C98 D98 F99 
6 3 3	CHH.DYCF..DYCFAA.E...I.E..RITTBBR.PP F99 D98 I99 
6 3 3	CHH.DYC...DYCFAA.E.FR..E..RITT.BBIPP D98 R99 B99 
6 3 3	C.HHDYC...DYCF.AAE.F...E..RITTBBRIPP H99 A99 D98 
6 3 3	C.HHDYC...DYC.AA.E.F...E.FRITTBBRIPP H99 F99 D98 
6 3 3	C.HHDYCF..DYCFAA.E.....E..RITTBBRIPP H99 F99 D98 
6 3 3	C.HHDYC...DYCFAA.E.F.I.E..RITTBBR.PP H99 D98 I99 
6 3 3	.HH.DYC...DYCFAA.ECF.I.E..RITTBBR.PP C99 D98 I99 
6 3 3	CHH.DYC...DYCFAA.E.F.I.E..RITTBBRPP. D98 I99 P99 
6 3 3	..HHDY....DYCFAA.ECF...EC.RITTBBRIPP C98 H99 D98 
6 3 3	CHH.DYC...DYCFAA.E.FRI.E..RITTBB..PP D98 R99 I99 
6 3 3	.HH.DYC...DYC.AA.ECF...E.FRITTBBRIPP C99 D98 F99 
6 3 3	.HH.DYC...DYCF.AAECF...E..RITTBBRIPP C99 D98 A99 
6 3 3	.HH.DYC...DYCFAA.ECFR..E..RITTBB.IPP C99 D98 R99 
6 3 3	.HH.DY....DYCFAA.ECFR..EC.RITTBB.IPP C98 D98 R99 
6 3 3	.HH.DY....DYCFAA.ECF.I.EC.RITTBBR.PP C98 D98 I99 
