0 0 0	.T.YYY.T.HHHAAFFFDGGGG.DR.BBBDREEVVV 
5 5 0	.T.YYY.THHH.AAFFFDRGGGGDR.BBBDEEVVV. H99 G99 R99 E99 V99 
5 5 0	.T.YYY.T.HHHAAFFFDRGGGGDRBBB.DEEVVV. G99 R99 B99 E99 V99 
5 5 0	.T.YYY.T.HHHAAFFF.RGGGGDR.BBBDEEVVVD D99 G99 R99 E99 V99 
6 6 0	.TYYY..THHHDAAFFFDRGGGGDRBBB...EEVVV Y99 H99 D99 G99 R99 B99 
6 6 0	.TYYY..THHHDAAFFFDRGGGGDR..BBB.EEVVV Y99 H99 D99 G99 R99 B99 
6 6 0	.TYYY..THHHDAAFFFDRGGGGDR.BBB.EE.VVV Y99 H99 D99 G99 R99 E99 
6 6 0	.TYYYD.THHHDAAFFFDRGGGG.RBBB...EEVVV Y99 H99 D98 G99 R99 B99 
6 6 0	.TYYYD.THHHDAAFFFDRGGGG.R..BBB.EEVVV Y99 H99 D98 G99 R99 B99 
6 6 0	.TYYYD.THHHDAAFFFDRGGGG.R.BBB.EE.VVV Y99 H99 D98 G99 R99 E99 
6 6 0	.TYYYD.THHHDAAFFFDR.GGGGRBBB...EEVVV Y99 H99 D98 G98 R99 B99 
6 6 0	.TYYYD.THHHDAAFFFDR.GGGGR..BBB.EEVVV Y99 H99 D98 G98 R99 B99 
6 6 0	.TYYYD.THHHDAAFFFDR.GGGGR.BBB.EE.VVV Y99 H99 D98 G98 R99 E99 
6 6 0	.TYYY..THHH.AAFFFDRGGGGDRBBB.DEE.VVV Y99 H99 G99 R99 B99 E99 
6 6 0	.TYYY..THHH.AAFFFDRGGGGDR.BBBDEEVVV. Y99 H99 G99 R99 E99 V99 
6 6 0	.TYYY..T.HHHAAFFFDRGGGGDRBBB.DEEVVV. Y99 G99 R99 B99 E99 V99 
6 6 0	.TYYY..T.HHHAAFFF.RGGGGDR.BBBDEEVVVD Y99 D99 G99 R99 E99 V99 
6 6 0	.T.YYY.THHHDAAFFFDRGGGGDRBBB..EE.VVV H99 D99 G99 R99 B99 E99 
6 6 0	.T.YYY.THHHDAAFFFDRGGGGDR..BBBEE.VVV H99 D99 G99 R99 B99 E99 
6 6 0	.T.YYY.THHHDAAFFFDRGGGGDR.BBB.EEVVV. H99 D99 G99 R99 E99 V99 
6 6 0	.T.YYY.THHH.AAFFFDRGGGGDRBBB.DEEVVV. H99 G99 R99 B99 E99 V99 
6 6 0	.T.YYY.THHH.AAFFF.RGGGGDR.BBBDEEVVVD H99 D99 G99 R99 E99 V99 
6 6 0	.T.YYY.T.HHHAAFFF.RGGGGDRBBB.DEEVVVD D99 G99 R99 B99 E99 V99 
6 6 0	.T.YYY.T.HHHAA....RGGGGDR.BBBDEEVVVD F99 D99 G99 R99 E99 V99 
7 7 0	.TYYY..THHHDAAFFFDRGGGGDRBBB..EE.VVV Y99 H99 D99 G99 R99 B99 E99 
7 7 0	.TYYY..THHHDAAFFFDRGGGGDR..BBBEE.VVV Y99 H99 D99 G99 R99 B99 E99 
