3 3 0	CCBBB.HH.FL..AAFL....FL.G.DUUYG.DEEY C99 B99 Y98 
3 3 0	CCBBB.HH.FLY.AAFLY...FL.G.DUU.G.DEE. C99 B99 Y99 
3 3 0	CCBBBYHH.FLY.AAFL....FL.G.DUU.G.DEE. C99 B99 Y98 
3 3 0	CCBBB.HH.FL..AAFLYG..FLYG.DUU...DEE. C99 B99 G99 
3 3 0	CCBBB.HH.FL.GAAFLYG..FLY..DUU...DEE. C99 B99 G98 
3 3 0	CCBBB.HH.FL..AAFLY..DFLYG.DUU.G..EE. C99 B99 D99 
3 3 0	CCBBB.HH.FL..AAFLY...FLYG.D.UUG.DEE. C99 B99 U99 
3 3 0	CCBBB.HH.FL..AAFLY...FLYG.DUU.G.D.EE C99 B99 E99 
3 3 0	CC.BBB.HHFL.AA.FLY...FLYG.DUU.G.DEE. C99 H99 A99 
3 3 0	CC.BBB.HHFL..AAFL....FLYG.DUUYG.DEE. C99 H99 Y99 
3 3 0	CC.BBB.HHFL..AAFL....FL.G.DUUYG.DEEY C99 H99 Y98 
3 3 0	CC.BBB.HHFLY.AAFLY...FL.G.DUU.G.DEE. C99 H99 Y99 
3 3 0	CC.BBB.HHFL..AAFLYG..FLYG.DUU...DEE. C99 H99 G99 
3 3 0	CC.BBB.HHFL.GAAFLYG..FLY..DUU...DEE. C99 H99 G98 
3 3 0	CC.BBBGHHFL.GAAFLY...FLY..DUU...DEE. C99 H99 G97 
3 3 0	CC.BBB.HHFL..AAFLY..DFLYG.DUU.G..EE. C99 H99 D99 
3 3 0	CC.BBB.HHFL..AAFLY...FLYG.D.UUG.DEE. C99 H99 U99 
3 3 0	CC.BBB.HHFL..AAFLY...FLYG.DUU.G.D.EE C99 H99 E99 
3 3 0	CC.BBBHH.FL.AA.FL....FLYG.DUUYG.DEE. C99 A99 Y99 
3 3 0	CC.BBBHH.FL.AA.FL....FL.G.DUUYG.DEEY C99 A99 Y98 
3 3 0	CC.BBBHH.FLYAA.FLY...FL.G.DUU.G.DEE. C99 A99 Y99 
3 3 0	CC.BBBHH.FL.AA.FLYG..FLYG.DUU...DEE. C99 A99 G99 
3 3 0	CC.BBBHH.FL.AA.FLY..DFLYG.DUU.G..EE. C99 A99 D99 
3 3 0	CC.BBBHH.FL.AADFLY..DFLYG..UU.G..EE. C99 A99 D98 
3 3 0	CC.BBBHHDFL.AADFLY...FLYG..UU.G..EE. C99 A99 D97 
