9 0 9	JJJ.PS....PSHAADPUH.NDLUBINDLOBINGGO 
16 7 9	HJJJPSH...PSAAN.PU.INDLUBINDLOBGGD.O J99 H98 A99 D99 N99 I99 G98 
17 8 9	HJJJPSH.N.PSAAN.PU.INDLUBI.DLOBGGD.O J99 H98 A99 D99 N98 I99 G98 
17 8 9	HJJJPSH...PSAAN.PU.IND.UBINDLOBGGDLO J99 H98 A99 D99 N99 L99 I99 G98 
17 8 9	HJJJPSH...PSAAN.PUBINDLUBINDLO.GGD.O J99 H98 A99 D99 N99 B99 I99 G98 
18 6 12	HJJJPSH.NDPSAANDPU..NDLUBI..LOBIGG.O J99 H98 A99 D99 N98 G99 
18 9 9	HJJJPSH...PSAAN.PUBIND.UBINDLO.GGDLO J99 H98 A99 D99 N99 L99 B99 I99 G98 
18 9 9	HJJJPSH...PSAAN.PUBINDLUBINDLOGG.D.O J99 H98 A99 D99 N99 B99 I99 G97 
16 10 6	HJJJPSH...PSAA..PUBINDLUBINDLOGGND.O J99 H98 A99 D99 N98 B99 I99 G97 
17 11 6	HJJJPSH...PS.AA.PUBINDLUBINDLOGGND.O J99 H98 A98 D99 N98 B99 I99 G97 
17 11 6	HJJJPSH...PS..AAPUBINDLUBINDLOGGND.O J99 H98 A97 D99 N98 B99 I99 G97 
17 11 6	HJJJPSH...PSAA..PUBIND.UBINDLOGGNDLO J99 H98 A99 D99 N98 L99 B99 I99 G97 
18 9 9	HJJJ.SH...PSAAN.PU.INDPUBINDLOBGGDLO J99 P99 H98 A99 D99 N99 L99 I99 G98 
18 6 12	HJJJPSH.NDPSAANDPUB.NDLUBI..LO.I.GGO J99 H98 A99 D99 N98 B99 
18 12 6	HJJJPSH...PS.IAAPUBINDLUB.NDLOGGND.O J99 H98 A97 D99 N98 B99 I98 G97 
18 12 6	HJJJPSH...PS..AAPUBIND.UBINDLOGGNDLO J99 H98 A97 D99 N98 L99 B99 I99 G97 
18 12 6	HJJJ.SH...PSAA..PUBINDPUBINDLOGGNDLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
18 12 6	HJJJPSHI..PS.IAAPUB.NDLUB.NDLOGGND.O J99 H98 A97 D99 N98 B99 I97 G97 
18 6 12	HJJJPSH.N.PSAANDPUBINDLUBI.DLO...GGO J99 H98 A99 N98 B99 I99 
18 6 12	HJJJPSH.N.PSAANDPUB.NDLUBI.DLO.IGG.O J99 H98 A99 N98 B99 G99 
18 12 6	HJJJPSH...PS.AA.PUBIND.UBINDLOGGNDLO J99 H98 A98 D99 N98 L99 B99 I99 G97 
18 12 6	.JJJPSH...PSH.AAPUBINDLUBINDLOGGND.O H97 J99 A97 B99 I99 N98 D99 G97 
18 12 6	HJJJPSH...PSB.AAPUBINDLU.INDLOGGND.O J99 H98 A97 D99 N98 B98 I99 G97 
18 6 12	HJJJPSH.N.PSAANDPU.INDLUBI.DLOBGG..O J99 H98 A99 N98 I99 G98 
18 12 6	HJJJPSH...PSBAA.PUBINDLU.INDLOGGND.O J99 H98 A98 D99 N98 B98 I99 G97 
18 12 6	.JJJPSH...PSHAA.PUBINDLUBINDLOGGND.O H97 J99 A98 B99 I99 N98 D99 G97 
18 9 9	HJJJPSH.N.PSAAN.PUBINDLUBI.DLO.GGD.O J99 H98 A99 D99 N98 B99 I99 G98 
18 9 9	HJJJPSH.N.PSAAN.PU.IND.UBI.DLOBGGDLO J99 H98 A99 D99 N98 L99 I99 G98 
18 6 12	HJJJPSH..DPSAANDPU.INDLUBIN.LOB..GGO J99 H98 A99 D99 N99 I99 
18 6 12	HJJJPSH...PSAANDPU.INDLUBINDLOB.GG.O J99 H98 A99 N99 I99 G99 
18 6 12	HJJJPSH.N.PSAANDPU..ND.UBI.DLOBIGGLO J99 H98 A99 N98 L99 G99 
18 6 12	HJJJPSH...PSAANDPUB.NDLUBINDLO.IGG.O J99 H98 A99 N99 B99 G99 
18 6 12	HJJJPSH.N.PSAANDPU.INDLUBI.DLOB.GG.O J99 H98 A99 N98 I99 G99 
18 6 12	HJJJPSH...PSAANDPU..ND.UBINDLOBIGGLO J99 H98 A99 N99 L99 G99 
19 7 12	HJJJPSH...PSAANDPUBINDLUBINDLOGG...O J99 H98 A99 N99 B99 I99 G97 
19 13 6	HJJJPSHI..PS.IAAPUB.ND.UB.NDLOGGNDLO J99 H98 A97 D99 N98 L99 B99 I97 G97 
19 7 12	HJJJ.SH.N.PSAANDPU..NDPUBI.DLOBIGGLO J99 P99 H98 A99 N98 L99 G99 
19 7 12	HJJJ.SH...PSAANDPU..NDPUBINDLOBIGGLO J99 P99 H98 A99 N99 L99 G99 
19 7 12	HJJJPSH.NDPSAANDPU..ND.UBI..LOBIGGLO J99 H98 A99 D99 N98 L99 G99 
19 13 6	HJJJ.SH...PS.AA.PUBINDPUBINDLOGGNDLO J99 P99 H98 A98 D99 N98 L99 B99 I99 G97 
19 7 12	HJJJPSH...PSAANDPUBINDLUBINDLO..GG.O J99 H98 A99 N99 B99 I99 G99 
19 13 6	H.JJJSH...PSAA..PUBINDPUBINDLOGGNDLO J98 P99 H98 A99 D99 N98 L99 B99 I99 G97 
19 7 12	HJJJPSH..DPSAANDPUBINDLUBIN.LO...GGO J99 H98 A99 D99 N99 B99 I99 
19 13 6	HJJJPSH...PSBIAAPUBINDLU..NDLOGGND.O J99 H98 A97 D99 N98 B98 I98 G97 
19 13 6	.JJJPSH...PSH.AAPUBIND.UBINDLOGGNDLO H97 J99 A97 B99 I99 N98 D99 L99 G97 
19 7 12	HJJJPSH.NDPSAANDPU.INDLUBI..LOB.GG.O J99 H98 A99 D99 N98 I99 G99 
19 13 6	.JJJPSH...PSHIAAPUBINDLUB.NDLOGGND.O H97 J99 I98 A97 B99 N98 D99 G97 
19 13 6	HJJJPSH...PS.IAAPUBIND.UB.NDLOGGNDLO J99 H98 A97 D99 N98 L99 B99 I98 G97 
19 10 9	HJJJ.SH.N.PSAAN.PU.INDPUBI.DLOBGGDLO J99 P99 H98 A99 D99 N98 L99 I99 G98 
19 7 12	HJJJPSH..DPSAANDPU.INDLUBIN.LOB.GG.O J99 H98 A99 D99 N99 I99 G99 
19 10 9	H.JJJSH...PSAAN.PU.INDPUBINDLOBGGDLO J98 P99 H98 A99 D99 N99 L99 I99 G98 
19 7 12	HJJJPSH...PSAANDPU.IND.UBINDLOBGG.LO J99 H98 A99 N99 L99 I99 G98 
19 7 12	HJJJPSH...PSAANDPUB.ND.UBINDLO.IGGLO J99 H98 A99 N99 L99 B99 G99 
19 7 12	HJJJPSH..DPSAANDPU.INDLUBIN.LOBGG..O J99 H98 A99 D99 N99 I99 G98 
19 7 12	HJJJPSH.NDPSAANDPUBINDLUBI..LO...GGO J99 H98 A99 D99 N98 B99 I99 
19 7 12	HJJJPSH...PSAANDPUBINDLUBINDLO.GG..O J99 H98 A99 N99 B99 I99 G98 
19 10 9	HJJJPSH.N.PSAAN.PUBINDLUBI.DLOGG.D.O J99 H98 A99 D99 N98 B99 I99 G97 
19 13 6	JJJ.PSH...PSHAA.PUBINDLUBINDLOGGND.O J98 H97 A98 B99 I99 N98 D99 G97 
19 7 12	HJJJPSH...PSAANDPU.IND.UBINDLOB.GGLO J99 H98 A99 N99 L99 I99 G99 
19 7 12	HJJJPSH.N.PSAANDPUBINDLUBI.DLOGG...O J99 H98 A99 N98 B99 I99 G97 
17 8 9	HJJJPSH...PSAA.DPUBINDLUBINDLOGGN..O J99 H98 A99 N96 B99 I99 G97 
18 9 9	HJJJPSH...PSAA.DPUBIND.UBINDLOGGN.LO J99 H98 A99 N96 L99 B99 I99 G97 
19 10 9	HJJJ.SH...PSAA.DPUBINDPUBINDLOGGN.LO J99 P99 H98 A99 N96 L99 B99 I99 G97 
19 10 9	HJJJ.SH...PSAAN.PUBINDPUBINDLO.GGDLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G98 
20 8 12	HJJJPSH.N.PSAANDPUBIND.UBI.DLOGG..LO J99 H98 A99 N98 L99 B99 I99 G97 
18 9 9	HJJJPSH.N.PSAAN.PUBIND.UBI.DLOGG.DLO J99 H98 A99 D99 N98 L99 B99 I99 G97 
19 10 9	HJJJ.SH.N.PSAAN.PUBINDPUBI.DLOGG.DLO J99 P99 H98 A99 D99 N98 L99 B99 I99 G97 
19 10 9	HJJJPSH.N.PSAAN.PUBIND.UBI.DLO.GGDLO J99 H98 A99 D99 N98 L99 B99 I99 G96 
20 14 6	HJJJPSH...PSBIAAPUBIND.U..NDLOGGNDLO J99 H98 A97 D99 N98 L99 B98 I98 G97 
20 14 6	JJJ.PSH...PSHIAAPUBINDLUB.NDLOGGND.O J98 H97 I98 A97 B99 N98 D99 G97 
20 8 12	HJJJPSH.NDPSAANDPUBINDLUBI..LO..GG.O J99 H98 A99 D99 N98 B99 I99 G99 
20 8 12	HJJJPSH.NDPSAANDPU.INDLUBI..LOBGG..O J99 H98 A99 D99 N98 I99 G98 
20 8 12	HJJJPSH.NDPSAANDPU.IND.UBI..LOB.GGLO J99 H98 A99 D99 N98 L99 I99 G99 
20 11 9	HJJJ.SH...PSAAN.PUBINDPUBINDLOGG.DLO J99 P99 H98 A99 D99 N99 L99 B99 I99 G97 
20 11 9	H.JJJSH.N.PSAAN.PUBINDPUBI.DLOGG.DLO J98 P99 H98 A99 D99 N98 L99 B99 I99 G97 
20 8 12	HJJJPSH...PSAANDPUBIND.UBINDLOGG..LO J99 H98 A99 N99 L99 B99 I99 G97 
20 11 9	H.JJJSH.N.PSAAN.PU.INDPUBI.DLOBGGDLO J98 P99 H98 A99 D99 N98 L99 I99 G98 
20 8 12	HJJJPSH.NDPSAANDPU.INDLUBI..LOBGG..O J99 H98 A99 D99 N98 I99 G98 
20 8 12	HJJJPSH..DPSAANDPUB.ND.UBIN.LO.IGGLO J99 H98 A99 D99 N99 L99 B99 G99 
20 14 6	JJJ.PSH...PSH.AAPUBINDLUBINDLOGGND.O J98 H97 A97 B99 I99 N98 D99 G97 
20 8 12	HJJJPSH..DPSAANDPUBINDLUBIN.LO.GG..O J99 H98 A99 D99 N99 B99 I99 G98 
20 14 6	JJJ.PSH...PSH.AAPUBIND.UBINDLOGGNDLO J98 H97 A97 B99 I99 N98 D99 L99 G97 
20 14 6	HJJJ.SH...PSBAA.PUBINDPU.INDLOGGNDLO J99 P99 H98 A98 D99 N98 L99 B98 I99 G97 
20 8 12	HJJJPSH..DPSAANDPUBINDLUBIN.LO..GG.O J99 H98 A99 D99 N99 B99 I99 G99 
20 14 6	H.JJJSH...PS..AAPUBINDPUBINDLOGGNDLO J98 P99 H98 A97 D99 N98 L99 B99 I99 G97 
20 8 12	HJJJPSH...PSAANDPUBIND.UBINDLO.GG.LO J99 H98 A99 N99 L99 B99 I99 G98 
20 8 12	HJJJPSH..DPSAANDPU.IND.UBIN.LOBGG.LO J99 H98 A99 D99 N99 L99 I99 G98 
20 11 9	HJJJPSH...PSAA.DPUBINDLUBINDLOGGN..O J99 H98 A99 D98 N98 B99 I99 G97 
