2 2 0	BB.K..CCCKUGAA.KUG.FF.UG......EEE.TT A99 G99 
2 2 0	BB.K.GCCCKUGAA.KUG.FF.U.......EEE.TT A99 G98 
2 2 0	BB.K..CCCKU.AA.KUGFF..UG.....GEEE.TT A99 F99 
2 2 0	BB.K..CCCKU.AA.KUG..FFUG.....GEEE.TT A99 F99 
2 2 0	BB.K..CCCKU.AA.KUG.FF.UG.....G.EEETT A99 E99 
2 2 0	BB.K..CCCKU.AA.KUG.FF.UG.....GEEETT. A99 T99 
2 2 0	BB.K..CCCKUG.AAKUGFF..UG......EEE.TT G99 F99 
2 2 0	BB.K..CCCKUG.AAKUG..FFUG......EEE.TT G99 F99 
2 2 0	BB.K..CCCKUG.AAKUG.FF.UG.......EEETT G99 E99 
2 2 0	BB.K..CCCKUG.AAKUG.FF.UG......EEETT. G99 T99 
2 2 0	BB.K.GCCCKUG.AAKUGFF..U.......EEE.TT G98 F99 
2 2 0	BB.K.GCCCKUG.AAKUG..FFU.......EEE.TT G98 F99 
2 2 0	BB.K.GCCCKUG.AAKUG.FF.U........EEETT G98 E99 
2 2 0	BB.K.GCCCKUG.AAKUG.FF.U.......EEETT. G98 T99 
2 2 0	BB.K..CCCKU..AAKUGFF..UG.....G.EEETT F99 E99 
2 2 0	BB.K..CCCKU..AAKUGFF..UG.....GEEETT. F99 T99 
2 2 0	BB.K..CCCKU..AAKUG..FFUG.....G.EEETT F99 E99 
2 2 0	BB.K..CCCKU..AAKUG..FFUG.....GEEETT. F99 T99 
2 2 0	BB.K..CCCKU..AAKU..FF.UG.....GEEETTG G99 T99 
3 3 0	.BB...CCCK...AAKUG.FFKUG....UGEEE.TT B99 K99 U99 
3 3 0	.BB.U.CCCKU..AAKUG.FFK.G.....GEEE.TT B99 K99 U99 
3 3 0	.BB...CCCKU.AA.KUG.FFKUG.....GEEE.TT B99 K99 A99 
3 3 0	.BB...CCCKUG.AAKUG.FFKUG......EEE.TT B99 K99 G99 
3 3 0	.BB..GCCCKUG.AAKUG.FFKU.......EEE.TT B99 K99 G98 
3 3 0	.BB...CCCKU..AAKUGFF.KUG.....GEEE.TT B99 K99 F99 
3 3 0	.BB...CCCKU..AAKUG.FFKUG.....G.EEETT B99 K99 E99 
3 3 0	.BB...CCCKU..AAKUG.FFKUG.....GEEETT. B99 K99 T99 
3 3 0	.BB....CCCU..AAKUG.FFKUG...K.GEEE.TT B99 K98 C99 
3 3 0	.BB...CCC....AAKUG.FFKUG...KUGEEE.TT B99 K98 U99 
3 3 0	.BB.U.CCC.U..AAKUG.FFK.G...K.GEEE.TT B99 K98 U99 
3 3 0	.BB...CCC.U.AA.KUG.FFKUG...K.GEEE.TT B99 K98 A99 
3 3 0	.BB...CCC.UG.AAKUG.FFKUG...K..EEE.TT B99 K98 G99 
3 3 0	.BB..GCCC.UG.AAKUG.FFKU....K..EEE.TT B99 K98 G98 
3 3 0	.BB...CCC.U..AAKUGFF.KUG...K.GEEE.TT B99 K98 F99 
3 3 0	.BB...CCC.U..AAKUG.FFKUG...K.G.EEETT B99 K98 E99 
3 3 0	.BB...CCC.U..AAKUG.FFKUG...K.GEEETT. B99 K98 T99 
3 3 0	.BB....CCCU..AA.UG.FFKUG...K.GEEEKTT B99 K97 C99 
3 3 0	.BB...CCC....AA.UG.FFKUG...KUGEEEKTT B99 K97 U99 
3 3 0	.BB.U.CCC.U..AA.UG.FFK.G...K.GEEEKTT B99 K97 U99 
3 3 0	.BB...CCC.U.AA..UG.FFKUG...K.GEEEKTT B99 K97 A99 
3 3 0	.BB...CCC.U...AAUG.FFKUG...K.GEEEKTT B99 K97 A99 
3 3 0	.BB...CCC.UG.AA.UG.FFKUG...K..EEEKTT B99 K97 G99 
3 3 0	.BB..GCCC.UG.AA.UG.FFKU....K..EEEKTT B99 K97 G98 
3 3 0	.BB...CCC.U..AA.UGFF.KUG...K.GEEEKTT B99 K97 F99 
3 3 0	.BBK..CCCK..AA.KUG.FF.UG....UGEEE.TT B99 U99 A99 
3 3 0	.BBK..CCCK.G.AAKUG.FF.UG....U.EEE.TT B99 U99 G99 
3 3 0	.BBK.GCCCK.G.AAKUG.FF.U.....U.EEE.TT B99 U99 G98 
3 3 0	.BBK..CCCK...AAKUGFF..UG....UGEEE.TT B99 U99 F99 
3 3 0	.BBK..CCCK...AAKUG..FFUG....UGEEE.TT B99 U99 F99 
3 3 0	.BBK..CCCK...AAKUG.FF.UG....UG.EEETT B99 U99 E99 
3 3 0	.BBK..CCCK...AAKUG.FF.UG....UGEEETT. B99 U99 T99 
3 3 0	.BBKU.CCCKU.AA.KUG.FF..G.....GEEE.TT B99 U99 A99 
3 3 0	.BBKU.CCCKUG.AAKUG.FF..G......EEE.TT B99 U99 G99 
3 3 0	.BBKUGCCCKUG.AAKUG.FF.........EEE.TT B99 U99 G98 
