6 3 3	GG..OR..DFORAADFO.TVDF..TVKKJJ.III.. G98 V99 I99 
6 2 4	..GG....DFO.AADFORT.DFORTVKKJJ.VIII. O99 R98 
6 3 3	..DGGR..DFORAADFO.T..FO.TVKKJJ.VIII. G99 O99 D99 
6 3 3	..GG.R..DFORAADFO.TVDFO.TVKKJJIII... O99 V99 I98 
6 3 3	GG..OR..DFORAADFO.TVDF..TVKKJJIII... G98 V99 I98 
6 3 3	GG.FOR..DFORAADFO...D...TVKKJJTVIII. G98 F99 T99 
6 3 3	.GG..R..DFORAADFO...DFO.TVKKJJTVIII. G99 O99 T99 
6 2 4	..GG....DFORAADFORT.DFO.TVKKJJ.VIII. O99 R99 
7 3 4	.GG.....DFO.AADFORT.DFORTVKKJJ.VIII. G99 O99 R98 
7 3 4	GG.FO...DFO.AADFORT.D..RTVKKJJ.VIII. G98 R98 F99 
7 4 3	...GGR..DFORAADFO.TVDFO.TVKKJJ...III G99 O99 V99 I99 
7 4 3	.GG.OR..DFORAADFO..VDF..TVKKJJTIII.. G99 T99 V99 I99 
7 3 4	.GG.O...DFO.AADFORT.DF.RTVKKJJ.V.III G99 R98 I99 
7 4 3	GGDFOR..DFORAADFO.T.....TVKKJJ.V.III G98 D99 F99 I99 
7 3 4	.GG.O...DFORAADFORT.DF..TVKKJJ.V.III G99 R99 I99 
7 3 4	.GG.....DFORAADFORT.DFO.TVKKJJ.VIII. G99 O99 R99 
7 3 4	GG.FO...DFORAADFORT.D...TVKKJJ.VIII. G98 R99 F99 
7 4 3	GGD..R..DFORAADFO.T..FO.TVKKJJ.V.III G98 O99 D99 I99 
7 4 3	GG.FOR..DFORAADFO..VD...TVKKJJT.III. G98 F99 T99 V99 
7 4 3	.GGFOR..DFORAADFO.TVD...TVKKJJ...III G99 F99 V99 I99 
7 4 3	.GGFOR..DFORAADFO..VD...TVKKJJT.III. G99 F99 T99 V99 
7 4 3	GGD.OR..DFORAADFO..V.F..TVKKJJT.III. G98 D99 T99 V99 
7 4 3	.GGFOR..DFORAADFO.TVD...TVKKJJIII... G99 F99 V99 I98 
7 4 3	GG...R..DFORAADFO..VDFO.TVKKJJT.III. G98 O99 T99 V99 
7 4 3	.GG..R..DFORAADFO.TVDFO.TVKKJJ...III G99 O99 V99 I99 
7 4 3	GGD.OR..DFORAADFO.TV.F..TVKKJJ...III G98 D99 V99 I99 
7 4 3	GG.FOR..DFORAADFO.TVD...TVKKJJ...III G98 F99 V99 I99 
7 4 3	.GG..R..DFORAADFO...DFO.TVKKJJTV.III G99 O99 T99 I99 
7 3 4	.GG.O...DFO.AADFORTVDF.RTVKKJJ..III. G99 R98 V99 
7 4 3	.GGFOR..DFORAADFO.TVD...TVKKJJ.III.. G99 F99 V99 I99 
7 4 3	GG...R..DFORAADFO.TVDFO.TVKKJJ...III G98 O99 V99 I99 
7 4 3	GG..OR..DFORAADFO..VDF..TVKKJJT..III G98 T99 V99 I99 
7 4 3	GG...R..DFORAADFO.TVDFO.TVKKJJIII... G98 O99 V99 I98 
7 4 3	.GGF.R..DFORAADFO.TVD.O.TVKKJJ..III. G99 O99 F99 V99 
7 3 4	.GG.O...DFORAADFORTVDF..TVKKJJ..III. G99 R99 V99 
7 4 3	.GG..R..DFORAADFO..VDFO.TVKKJJT.III. G99 O99 T99 V99 
7 4 3	.GG.OR..DFORAADFO..VDF..TVKKJJT..III G99 T99 V99 I99 
7 4 3	.GG..R..DFORAADFO.TVDFO.TVKKJJ.III.. G99 O99 V99 I99 
7 4 3	GG..OR..DFORAADFO..VDF..TVKKJJTIII.. G98 T99 V99 I99 
7 4 3	GGD.OR..DFORAADFO....F..TVKKJJTV.III G98 D99 T99 I99 
7 4 3	GG.F.R..DFORAADFO.T.D.O.TVKKJJ.V.III G98 F99 O99 I99 
7 3 4	GG......DFO.AADFORT.DFORTVKKJJ.VIII. G98 R98 O99 
7 4 3	.GG..R..DFORAADFO.TVDFO.TVKKJJIII... G99 O99 V99 I98 
7 3 4	GG......DFORAADFORT.DFO.TVKKJJ.VIII. G98 R99 O99 
7 4 3	.GGF.R..DFORAADFO...D.O.TVKKJJTVIII. G99 O99 F99 T99 
7 4 3	GG...R..DFORAADFO...DFO.TVKKJJTV.III G98 O99 T99 I99 
7 4 3	.GGFOR..DFORAADFO...D...TVKKJJTV.III G99 F99 T99 I99 
7 3 4	..GGO...DFO.AADFORTVDF.RTVKKJJIII... R98 V99 I98 
7 3 4	GGD.O...DFO.AADFORT..F.RTVKKJJ.VIII. G98 R98 D99 
7 4 3	.GGF.R..DFORAADFO.T.D.O.TVKKJJ.V.III G99 O99 F99 I99 
7 4 3	GGDFOR..DFORAADFO.......TVKKJJTVIII. G98 D99 F99 T99 
7 3 4	GG..O...DFO.AADFORT.DF.RTVKKJJ.V.III G98 R98 I99 
7 4 3	...GGR..DFORAADFO...DFO.TVKKJJTV.III G99 O99 T99 I99 
7 4 3	..DGGR..DFORAADFO.T..FO.TVKKJJ.V.III G99 O99 D99 I99 
7 3 4	GG..O...DFORAADFORT.DF..TVKKJJ.V.III G98 R99 I99 
7 4 3	GG.FOR..DFORAADFO...D...TVKKJJTV.III G98 F99 T99 I99 
7 3 4	..GGO...DFORAADFORTVDF..TVKKJJ...III R99 V99 I99 
7 3 4	..GGO...DFO.AADFORTVDF.RTVKKJJ...III R98 V99 I99 
7 3 4	..GG....DFORAADFORTVDFO.TVKKJJ..III. O99 R99 V99 
7 3 4	..GG....DFORAADFOR..DFO.TVKKJJTVIII. O99 R99 T99 
7 3 4	GG..O...DFO.AADFORTVDF.RTVKKJJ..III. G98 R98 V99 
7 4 3	GG.FOR..DFORAADFO.TVD...TVKKJJIII... G98 F99 V99 I98 
7 3 4	....GG..DFORAADFORT.DFO.TVKKJJ.VIII. G98 O99 R99 
7 3 4	GG..O...DFORAADFORTVDF..TVKKJJ..III. G98 R99 V99 
7 3 4	..GG....DFO.AADFORT.DFORTVKKJJ.V.III O99 R98 I99 
7 3 4	..GGO...DFO.AADFORTVDF.RTVKKJJ.III.. R98 V99 I99 
7 3 4	..GG....DFORAADFORT.DFO.TVKKJJ.V.III O99 R99 I99 
7 4 3	GGD.OR..DFORAADFO.TV.F..TVKKJJIII... G98 D99 V99 I98 
7 3 4	..GGO...DFORAADFOR..DF..TVKKJJTV.III R99 T99 I99 
7 4 3	...GGR..DFORAADFO.TVDFO.TVKKJJ.III.. G99 O99 V99 I99 
7 3 4	..GGO...DFO.AADFOR.VDF.RTVKKJJT.III. R98 T99 V99 
7 4 3	..DGGR..DFORAADFO.TV.FO.TVKKJJ..III. G99 O99 D99 V99 
7 3 4	..GGO...DFORAADFOR.VDF..TVKKJJT.III. R99 T99 V99 
7 3 4	..GGO...DFO.AADFOR..DF.RTVKKJJTV.III R98 T99 I99 
7 3 4	GGD.O...DFORAADFORT..F..TVKKJJ.VIII. G98 R99 D99 
7 4 3	...GGR..DFORAADFO..VDFO.TVKKJJT.III. G99 O99 T99 V99 
7 3 4	.GGFO...DFORAADFORT.D...TVKKJJ.VIII. G99 R99 F99 
7 4 3	..GG.R..DFORAADFO..VDFO.TVKKJJT..III O99 T99 V99 I99 
7 3 4	..GG....DFO.AADFORTVDFORTVKKJJ..III. O99 R98 V99 
7 3 4	..GGO...DFORAADFORTVDF..TVKKJJ.III.. R99 V99 I99 
7 4 3	GG.FOR..DFORAADFO.TVD...TVKKJJ.III.. G98 F99 V99 I99 
7 4 3	GGD.OR..DFORAADFO.TV.F..TVKKJJ.III.. G98 D99 V99 I99 
7 4 3	GGDFOR..DFORAADFO.TV....TVKKJJ..III. G98 D99 F99 V99 
7 3 4	..GGO...DFORAADFORTVDF..TVKKJJIII... R99 V99 I98 
7 3 4	..GG....DFO.AADFOR..DFORTVKKJJTVIII. O99 R98 T99 
7 4 3	..GG.R..DFORAADFO..VDFO.TVKKJJTIII.. O99 T99 V99 I99 
7 4 3	..DGGR..DFORAADFO....FO.TVKKJJTVIII. G99 O99 D99 T99 
